GenSymb	LAU125_TPM	LAU355_TPM	LAU1255_TPM	LAU1314_TPM
FCHO1	0.23	8.1	1.32	11.24
UNC13A	0.19	0	0.01	0
MAP1S	1.31	1.81	1.44	2.27
KLHDC7B	0.06	1.62	1.44	1.04
SCO2	1.55	5.19	7.05	4.5
PXDN	0.21	0.45	0.46	1.72
SSBP4	1.89	2.27	2.27	2.12
GDF15	57.74	0.11	66.42	2.77
PGPEP1	4.28	2.43	3.64	5.38
KIAA1683	0.93	4.11	0.63	2.2
LSM4	51.6	27.48	28.44	33.48
JUND	59.2	184.84	175.02	140.87
HRC	0.09	0	0.02	0
TRPM4	0.63	0.14	0.28	0.12
OR11H1	0	0	0	0.05
SULT4A1	0.12	0.01	0	0
ZNF557	1.73	2.33	0.92	1.46
CRB3	0.08	0.38	0.1	0.35
OLFM1	5.71	0.59	0.96	0.39
CAMSAP1	4.21	6.18	4.04	7.24
UBAC1	7.84	11.89	8.09	9.45
SAG	0.53	0.6	0.33	0.68
ZBTB46	0.69	0.66	0.31	0.44
HELZ2	1.43	5.62	4.24	7.72
SAMD10	0.75	4	1.58	3.75
MIR7847	6.73	190.25	57.33	204.7
TNNT3	0.33	0.66	0.22	0.27
TNNI2	0.15	3.61	0.63	2.39
MIR675	22.35	0.01	2.71	0.11
CYP2G1P	0.02	0.02	0	0
COL5A1	0.32	0.03	0.05	0.12
ATXN10	84.62	78.29	70.6	82.18
TUBGCP2	5.32	12.66	11.91	12.81
CALY	0	0.27	0.15	0.03
CYP2E1	0.1	1.02	0.59	0.6
PNPLA7	0.06	2.43	0.27	2.83
HBZ	0	0	0	0
PAK4	5.24	1.63	5.58	1.81
MNX1	0	0	0.05	0.02
ZNF337	11.39	5.25	4.85	8.14
CEP85	6.45	6.3	5.83	8.9
MIR1257	6.23	6.24	3.87	7.62
GATA5	0	0	0	0
RBBP8NL	0	0	0	0
MIR4758	3.35	1.95	1.64	1.4
OSBPL2	25.57	22.97	10.26	21.22
ADRM1	25.37	29.63	25.97	39.63
ASS1	0.65	0.44	5.13	0.7
PRDM12	0	0.04	0	0
EXOSC2	25.71	20.49	10.79	24.05
POMT1	6.71	5.48	3.43	7.02
UCK1	12.32	10.91	10.23	11.5
FIBCD1	0.07	0	0.16	0.01
PRRC2B	20.88	45.36	16.34	52.48
CHMP2A	132.75	58.31	91.9	68.97
UBE2M	26.81	20.6	27.1	22.25
TRIM28	35.53	41.16	30	48.12
METTL26	22.67	27.78	21.51	20.43
YIPF2	7.9	3.17	5.17	3.83
ATG4D	2.07	3.06	2.02	3.47
EIF2S3	106.86	168.53	72.23	132.11
TMEM160	0.23	0.27	0.63	0.59
ZC3H4	3.82	4.37	2.61	7.05
NPAS1	0.09	0.05	0	0.05
GMFG	6.7	230.22	70.81	209.1
MAP3K10	0.38	0.81	0.7	0.76
ARHGEF16	1.22	0.03	0.09	0.01
LRRC47	38.54	12.16	11.14	13.98
SESN2	4	2.02	3.76	2.46
SMPDL3B	0.44	0.35	0.59	0.44
ATPIF1	46.39	60.31	49.14	76.29
MED18	7.41	5.67	3.49	10.09
THEMIS2	2.34	28.37	21.44	21.47
CLIP1	36.53	19.15	25.67	20.66
CCDC62	0.24	0.85	0.12	0.64
HIP1R	1.88	13.24	3	15.62
ZNF317	16.79	27.14	11.6	18.74
PPAN	11.19	19.47	13.14	17.77
EIF3G	175.54	246.67	162.62	276.73
ANGPTL6	0	1.47	0.37	1.01
C19orf66	14.1	27.41	16.91	20.33
DNMT1	26.9	14.52	13.77	32
ZNF426	7.37	6.35	5.63	4.41
SLC6A8	142.78	0.24	30.77	1.06
PNCK	7.71	0.17	0.21	0.02
MIR664B	101.2	49.52	48.69	85.91
PLXNA3	2.73	7.89	6.88	4.19
DUSP9	0.42	0.01	0.18	0
MPP1	22.88	20.09	42.17	13.5
ZNF331	12.57	32.69	77.3	9.35
ZNF236	2.21	3.51	1.83	3.75
SLC7A10	0.01	0.32	0	0.95
LRP3	0.28	0.05	0.28	0.1
C12orf65	10.1	14.33	5.63	15.22
NOL11	29.72	21.44	16.48	28.95
UBE4B	25.9	17.29	10.8	17.37
CASZ1	0.85	1.67	1.23	2.49
PKDREJ	0.09	0.2	0.03	0.1
HSD17B3	0.03	0	0.1	0.08
NUTM2F	0	0.01	0.02	0
HABP4	11.32	7.18	7.32	6.05
FBP2	0.04	0.02	0	0.05
SLC35D2	23.76	23.01	19.66	21.18
PRRG1	13.46	0.04	5.62	0.09
UBA1	56.61	83.73	60.87	81.58
RGN	0.17	0.01	1.14	0.13
POLN	0.29	0.66	0.2	0.89
TXLNGY	1.88	0.01	1.41	6.29
TTTY9B	0	0.01	0	0
PPIL4	48.24	18.68	13.17	21.21
ULBP2	1.12	0.49	0.89	0.54
AKAP12	624.89	0.55	8.63	1.96
SYNE1	17.32	50.01	16.45	53.61
ULBP3	3.02	0.4	0.27	0.28
LATS1	13.62	18.74	5.31	22.22
EPS8L1	0.77	0.09	0.76	0.08
LILRB2	0.72	9.35	8.63	2.82
AAR2	22.59	9.06	9.64	9.84
TTLL9	0.19	0.22	0.08	0.12
BPIFA2	0.05	0	0	0
RBM39	195.65	271.61	182.34	254.83
COX4I2	0.56	0.13	0	0.15
BPIFA3	0	0	0	0
ZNF341	0.88	2.23	0.99	1.8
GGT7	6.23	3.24	4.83	3.1
DEFB118	0	0	0	0
ACSS2	55.62	8.14	20.74	8.11
EDA2R	8.16	0.28	1.79	0.42
ARHGEF9	11.65	10.33	8.91	10.14
C1QL1	0.32	0	0.11	0
GFAP	0	0	0.01	0.02
PYY	0.07	0	0.04	0.02
HIGD1B	0.04	0.11	0.04	0
ATP6V1E1	86.23	86.75	154.14	95.94
ZNF227	10.66	10	5.38	10.99
ZNF428	15.91	8.82	8.67	9.12
TEX101	0	0.02	0	0
ZNF141	7.62	14.33	4.02	16.91
CCL25	0	0.18	0.32	0.24
COX4I1	516.34	562.74	330.99	470.09
EMC8	11.31	5.7	6.75	7.5
GSE1	17.57	10.56	6.48	11.17
GINS2	12.34	3.77	7.04	6.6
CHMP1A	10	13.42	10.48	16.04
SH3BGRL	163.39	227.51	117.3	228.8
COX7B	230.16	92.02	130.26	115.57
SLC34A1	0.02	0.01	0.01	0.02
F12	0.06	0	0.03	0.04
PRR7	0.07	0.04	0.23	0.16
NFATC1	2.01	18.59	2.18	13.72
IDO1	0.25	9.98	14.4	12.42
GJA9	0.09	0	0.03	0.03
CAP1	305.71	384.12	265.59	452.05
PPT1	359.35	150.1	188.68	114.86
MIR4724	2.3	8.23	3.28	7.86
RLIM	17.14	11.61	14.37	8.75
CDX4	0	0	0	0
ABCB7	21.38	21.58	10.83	19.92
TRAF3	7.07	19.68	7.41	18.64
HAUS8	5.94	10.68	6.36	12.61
ADGRE3	0.09	0.62	0	0.78
MRPS25	45.32	26.59	52.76	23.02
SH3BP5	18.18	55.51	39.58	55.17
HACL1	12.69	16	11.11	14.52
TBC1D5	42.97	47.36	20.23	41.93
CAPN7	25.38	41.69	21.84	28.54
RFTN1	1.45	106.39	21	150.61
C3orf20	0.06	0.26	0	0.84
RBSN	10.23	9.56	6.63	6.75
GALNT15	0.33	0.2	0.39	0.05
SLC6A6	9.31	14.96	7.84	16
KCNC3	0.58	1.62	0.73	2.39
NAPSA	0.18	0.67	0.7	0.77
NAPSB	3.44	219.67	25.39	198.26
NR1H2	4.49	12.06	11.32	14.53
LRRC4B	0.2	0	0.02	0.01
PDLIM4	0.41	0.09	4.57	1.56
KIF3A	38.84	12.39	13.36	14.13
MGAT1	54.41	34.07	45.19	35.95
GFPT2	5.63	0.13	5.7	0.28
TUBG1	32.67	7.43	21.56	13.87
PSME3	72.15	40.82	47.91	42.99
RPL27	1019.84	2357.22	1060.91	2143.26
PSMC3IP	6.73	1.22	6.07	2.62
AOC3	0.15	0.08	0.15	0.05
ACLY	67.35	39.99	30.18	48.02
VPS25	84.9	21.88	48.48	28.48
RAMP2	16.85	0.16	2.49	0
AOC2	0.14	0.4	0.42	0.36
G6PC	0	0.07	0.01	0.1
NDUFA2	15.29	17.4	21.45	22.54
ANKHD1	53.95	58.23	36.03	65.42
DIAPH1	26.9	108.66	45.47	141.13
NDFIP1	58.99	29.97	40.13	30.84
UBE2D2	59.43	81.46	53.12	99.13
TTTY6	0.09	0	0	0
TTTY6B	0.09	0	0	0
EXOC4	122.78	32.81	27.11	40.4
ACAP3	8.53	1.55	4.09	3.16
C1orf159	1.18	0.51	0.67	0.94
ANO1	0.18	0.03	0.03	0
PPFIA1	35.75	22.6	70.65	21.2
TMEM204	3.34	4.7	0.26	1.94
KREMEN2	0.18	0.1	0.39	0.09
THOC6	4.64	8.91	5.41	10.87
TRAF7	6.36	9.24	6.64	8.89
BARX1	0.04	0.02	0	0
NINJ1	40.76	11.49	27.32	8.56
CA6	0.02	0.56	0.47	0.06
NPHP4	3.23	0.85	1.39	0.94
MAP1B	8.33	0.08	3.88	1.09
RHOXF2	0	0.02	0.03	0
IL13RA1	134.8	25.11	23.79	18.49
WDR44	7.52	18.22	7.71	16.13
CKMT2	0.69	0.1	10.84	0.51
ZCCHC9	27.57	17.16	20.05	19.58
KRT34	0	0	0	0
KRT33B	0	0	0	0
TNS4	0.04	0.28	0.18	0.57
TOP2A	63.91	11.69	15.93	40.15
STARD3	10.56	19.26	12.57	20.35
RARA	28.03	19.91	13.03	17.04
PPP1R1B	0.15	0.1	0.1	0.18
KHDRBS3	177.96	0.47	19.54	3.58
CHD1L	110.04	30.03	22.72	36.47
PEX11B	25.97	12.95	23.47	20.79
FMO5	7.58	3.93	1.74	3.71
PIAS3	7.52	7.81	7.42	9.24
PRKAB2	32.1	4.49	7.95	4.27
CLUHP3	0.33	6.51	1.95	7.44
FSHB	0	0	0	0
PDHA1	148.85	67.43	72.59	82.06
RAI2	0.02	0.59	0.02	0.85
MCCC2	36.76	28.47	25.97	31.22
ZNF304	4.4	3.39	2.82	4.67
ZSCAN5A	0.86	1.88	0.62	1.4
ZNF132	1.01	1.36	0.49	1.45
USP29	0.01	0.02	0.02	0.01
SELENOS	64.94	24.34	60.71	29.26
CHSY1	39.19	18.83	12.83	21.75
SNRPA1	42	38.6	24.01	40.11
LLGL1	2.09	2.13	2.29	3.01
NR0B2	0	0	0	0
LIN28A	0.07	0.04	0.07	0.01
THAP1	9.54	12.84	4.35	13.56
RHPN2	3.76	1.13	2.35	1.11
C19orf12	6.81	6.77	10.73	7.16
FAAP24	1.72	2.34	1.4	1.67
LRRC9	0.01	0	0	0
ACTR10	34.32	17.37	18.33	18.43
ABHD12B	8.59	0	0.04	0.13
GCH1	0.72	13.82	12.41	15.93
LGALS3	221.88	22.58	585.89	11.81
PODNL1	0.49	0.05	0.01	0
DNAJB1	177.29	203.96	266.73	178.06
ZSWIM4	1.35	1.31	0.88	1.47
FBXW9	1.27	0.7	0.96	0.76
RFX1	0.57	1.12	0.51	1.17
ZNF20	1.81	2.16	1.81	2.41
C19orf57	1.05	0.08	0.34	0.12
DCAF15	3.2	6.13	3.46	7.79
CC2D1A	5.84	3.26	3.46	4.04
RTBDN	0	0.06	0.12	0
MATN3	0.25	0	0.34	0
TRIM21	14.31	23.07	25.7	22.42
SPATA6	31.89	3.08	7.4	2.17
LRRC41	21.58	8.96	13.68	10.92
CCT6B	1.06	1.33	0.63	0.73
DHX30	40.53	25.5	30.23	27.2
RAF1	51.34	50.4	38.5	43.13
SLC6A11	0.05	0.09	0	0.02
PPARG	2.13	0.86	2.28	0.59
NUP210	7	55.55	41.03	53.32
FCRLA	6.81	199.85	44.62	229.18
HSD17B7	8.03	10.01	5.34	13.53
ENOSF1	7.3	4.08	8.27	2.3
EMILIN2	5.4	10.65	10.02	4.45
SLX1A	0	0	0	7.4
ARFIP2	13.46	20.74	18.29	21.94
TRIM5	17.63	12.38	10.19	14.42
CNGA4	0.03	0.19	0.07	0.04
TRIM22	18.65	157.37	80.91	179.91
RRP8	17.83	12.36	11.26	15.15
TIMM10B	37.51	17.61	22.05	16.51
EFR3A	33.06	25.77	17.51	31.95
HHLA1	3.11	3.31	52.55	3.1
PTCD3	65.04	38.14	35.51	43.92
IMMT	81.15	41.76	50.56	50.99
MRPL35	54.27	21.88	27.31	27.06
IQCA1	1.07	0.25	0.06	0.36
ILKAP	15.5	13.69	12.45	18.85
PER2	1.86	4.6	1.68	4.72
RAMP1	0	0.07	14.16	0.23
SCLY	5.73	4.02	3.85	7.65
PTPRE	0.79	27.12	17.61	25.07
RAN	408.41	247.77	279.52	354.25
PRKAA1	42.69	54.39	33.75	70.97
CARD6	3.87	2.47	2.9	4.21
RAP1GAP2	0.2	1.77	0.59	1.92
CLUH	5.29	3.49	2.11	3.92
INPP5K	23.07	21.21	13.95	19.85
MYBBP1A	7.1	5.67	3.6	7.27
RPA1	55.79	36.14	16.16	38.97
SERPINF1	192.5	18.54	226.11	11.1
UBE2G1	18.2	22.51	8.82	31.86
EEFSEC	5.4	8.35	6.23	8.01
TBC1D14	33.46	22.14	30.14	23.48
TMEM128	33.6	14.8	16.83	14.28
COQ3	9.3	3.25	4.18	3.23
PNISR	54.44	79.99	35.67	67.95
POPDC3	10.16	0	2.6	0.3
SEC61G	172.22	61.12	75.14	73.21
LANCL2	21.92	6.38	8.27	6.22
FIGNL1	10.45	7.37	4.73	8.55
DDC	0.08	0	0.12	0.02
FTHL17	0	0	0	0
GRSF1	79.39	53.1	72.29	60.68
ENAM	0.02	0.46	0.14	0.6
JCHAIN	6.98	281.18	208.35	669.37
ANKRD17	39.51	21.02	18.82	26.07
UTP3	18.47	22.36	24.38	36.63
ITGB4	0.63	0.1	0.71	0.08
WBP2	44.49	65.86	91.88	56.92
MIR4738	409.6	348.75	282.63	268.65
UNK	3.95	4.73	3.3	5.18
TRIM47	1.21	0.71	7.81	0.57
ZRANB2	40.8	30.57	30.68	44.4
EIF5A	194.76	146.61	114.5	162.32
KDM6B	2.06	7.25	5.32	5.97
CLEC10A	0.82	20.59	10.11	14.14
SLC52A1	0.03	0.06	0.04	0.06
GUCY2D	0	0.1	0.04	0.12
GPS2	36.23	38.05	25.45	42.17
XAF1	19.07	19.61	18.4	16.88
DLG4	12.22	2.67	3.04	1.99
RIDA	24.41	7.66	7.5	10.3
VPS13B	22.3	23.36	14.03	21.9
RGS22	0.02	0	0	0.02
MATN2	25.5	0.78	34.67	2.43
REEP2	0.72	0.98	2.47	0.5
PCBD2	4.41	6	4.8	5.39
SDF2	28.1	19.14	15.63	24.29
FLOT2	32.45	100.72	24.95	114.64
ERAL1	33.61	16.4	11.22	18.57
PRMT7	10.58	5.8	5.84	5.38
NIP7	24.43	17.01	19.07	21.94
TERF2	17.22	22.25	9.44	31.45
VPS4A	43.96	31.92	34.71	33.09
MTSS1L	13.79	0.28	8.52	0.23
HSPA12B	0.16	0.04	0.08	0.05
ANKEF1	0.07	2.58	0.31	2.33
SCP2D1	0	0	0	0
PCED1A	8.19	6.33	7.42	6.64
SNAP25	0.16	0.16	0	0.03
BTBD3	36.97	2.11	9.22	2.76
PCNA	155.93	64.33	114.9	103.86
NXT1	20.29	21.56	21.32	17.91
POLR3F	11.9	6.13	5.84	7.06
RIN2	7.67	1.2	5.57	0.32
PTPRA	196.12	59.07	65.41	65.87
SSTR4	0	0.03	0	0
DAP3	112.48	118.55	90.26	99.9
RHBG	0.15	0.26	0.17	0.38
KIAA0907	21.2	10.46	11.72	19.87
ATP1A4	0.21	0.55	0.19	0.4
NES	82.81	0.04	35.01	1.47
BCAN	317.93	0.06	0.39	0.2
CRP	0	0	0	0
ARHGEF11	16.93	2.83	11.53	1.43
RAB25	0.04	0.88	0.23	0.52
HAPLN2	0.06	0	0	0.04
APCS	0	0.02	0	0
FCRL2	0.41	39.79	1.71	21.65
DCAF8	71.17	88.94	58.06	79.12
SYT11	24.74	4.68	9.75	8.83
IGHMBP2	1.99	2.76	6.07	2.54
ACY3	0.07	3.5	0.39	6.42
ALDH3B2	0.32	0.01	1.74	0.13
TESMIN	3.37	0.48	0.98	0.43
MMACHC	9.6	0.58	3.88	1.05
DPH2	10.84	13.6	8.28	13.68
TOE1	8.11	10.98	13.06	11.23
NASP	138.78	116.46	112.13	148.16
MUTYH	15.42	13.85	14.13	12.19
CTNNBL1	60.35	66.3	40.55	55.26
LPIN3	2.01	0.14	2.28	0.17
ZSWIM3	1.43	1.59	0.48	2.33
RBM38	2.53	41.45	11.51	42.41
VSTM2L	4.03	0	0.37	0.02
OSER1	31.4	39.48	30.01	30.59
SERINC3	97.75	46.97	38.45	54.61
PPP1R3D	2.64	1.2	1.8	2.06
DMGDH	2.93	0.03	0	0.15
BHMT2	7.29	0.48	0.15	0.39
AP3B1	25.28	27.1	21.55	31.37
ZBED3	3.89	1.3	3.07	1.22
PATJ	5.4	8.72	4.94	7.42
KANK4	0.05	0.02	0	0
ANGPTL3	0.12	0	0.04	0
SYT4	0	0.03	0	0.02
SLC14A2	0.03	0.17	0.09	0.28
FBXO44	8.86	6.59	5.65	5.07
RSG1	4	2.04	1.27	3.02
CASP9	12.67	10.94	8.05	11.91
NMUR2	0	0	0	0
DCTN4	70.37	27.77	29.49	24.3
PDE6A	0.72	1.32	0.64	1.45
ATP8A2	0.77	0.47	0.15	0.25
MTUS2	0.03	0.12	0.01	0.06
ZMYM5	10.09	23.62	10.28	24.1
USPL1	9.57	24.12	7.37	30.16
XPO4	6.12	9.58	2.92	9.23
TPTE2	0.1	0.03	0.01	0.12
POMP	36.46	42.17	47.15	45.62
CDK8	4.08	8.89	4.17	8.32
ALOX5AP	5.85	160.29	78.52	162.39
WASF3	0.64	0.16	0.17	0.59
RNF17	0	0.02	0	0.56
GPR12	0	0	0	0.06
CHRM3	0.01	0.82	0.27	0.16
MYH8	0	0.02	0	0
MYH10	162.7	1.99	15.5	4.27
PEMT	10.26	5.43	5.06	3.67
SCO1	22.87	9.36	7.88	12.1
MPRIP	49.35	35.06	18.6	43.16
CHI3L1	0.14	1.63	18.82	1.05
MYBPH	0	0.03	0.09	0.01
PIK3C2B	5.92	34.53	5.58	43.41
DSTYK	13.4	4.5	6.47	4.5
CHIT1	0.31	1.2	8.63	1.03
SLC41A1	13.35	16.45	12.31	16.51
LGR6	0	0.41	0.15	1.55
TMCC2	3.18	0.45	6.55	0.7
DCLK1	25.75	0.04	4.51	0.22
CCNA1	0.04	0.42	0	0.15
COG6	11.57	8.05	4.37	11.99
SPG20	82.78	36.19	43.69	33.44
RXFP2	0	0.01	0	0
EPSTI1	1.9	32.85	25.15	19.98
TRPC4	0.08	0.03	0	0.01
POSTN	1767.43	0.31	0.81	15.52
RFXAP	1.28	5.37	2.22	6.74
TPT1	3974.18	11552.46	3307.93	9943.37
GPALPP1	13.52	16.95	7.03	21.02
STOML3	0	0	0.06	0.08
KL	0.02	0.06	0.04	0.12
RFC3	10.78	7.3	7.25	13.95
STARD13	6.53	0.19	0.95	0.19
IRS4	0	0	0	0
MORC4	14.16	1.97	3.27	2.1
BEX2	2.7	30.06	15.3	20.82
RNF128	0.35	0.01	0.07	0.53
TBC1D8B	13.92	12.54	7.11	11.6
TCEAL4	294.56	36.68	163.79	41.84
BEX1	0.06	0.48	0.23	0.5
FAM104A	13.55	19.81	11.8	24.16
SLC39A11	2.88	5.09	10.9	4.56
EPHB2	0.13	0.22	1.2	0.13
SRRM1	202.16	93.29	77.13	72.14
BTBD2	6.7	8.59	5.82	9.72
PRAM1	0.03	0.48	0.89	0.51
KMT5C	1.36	2.28	1.76	1.62
ZNF414	0.75	1.82	1.17	2.27
PDE6B	4	10.94	2.41	7.74
HSPBP1	4.65	2.66	4.94	4.83
CSNK1G2	4.69	12.46	6.07	12.19
SLF1	7.95	8	5.13	11.16
CNDP2	40.9	67.99	60.24	69.28
MACROD1	4.09	0.22	6.34	0.43
WDR74	15.35	20.72	17	19.6
LGALS12	0.04	0.02	0.03	0.08
RTN3	66.14	25.17	42.23	31.18
RARRES3	22.08	93.97	104.16	83.73
HRASLS2	0.23	0.18	0.13	0.19
MYH11	0.09	1	0.04	0.95
FOPNL	43.04	27	14.81	32.32
MED10	23.48	30.5	19.75	30.16
PDZD2	13.8	0.36	1.57	0.37
MORC2	10.25	20.73	11.54	20.3
LARGE1	5.7	4.04	17.61	5.95
GSTT2B	0.16	0	0	0
MYO18B	0	0.02	0	0.01
SLC2A11	2.7	4.21	5.3	4.39
C1QTNF6	6.7	1.22	2.38	2.09
GGT2	0.13	0.29	0.1	0.33
FAM83F	0.15	0	0	0
SEC14L4	0.25	0.37	1.07	0.23
GIMAP6	0.25	22.69	6.88	32.79
GIMAP4	1.23	81.73	33.35	91.8
ADCK2	16.47	19.96	13.27	24.79
MKRN1	133.74	80.31	73.81	75.43
AGAP3	22.89	6.01	23.9	6.03
KRBA1	1.79	1.94	1.65	1.79
ZNF767P	3.32	6.46	3.23	6.89
ACTR3B	10.5	3.48	3.48	4.92
NTS	0.26	0.37	0.02	0.08
BTG1	57.64	197.12	92.96	176.41
LRRIQ1	0.21	0	0.02	0.15
C12orf29	24.71	10.21	7.57	12.13
ATP13A3	37.15	24.71	27.92	31.21
SFTPD	0.02	0.25	0.04	0.13
DYDC2	0.05	0.02	0.06	0.13
TMEM254	23.53	12.83	23.34	14.41
TMTC1	1.69	0.11	0.43	0.08
KRAS	11.77	22.92	13.98	31.69
IPO8	23.17	15.35	8.47	17.14
LARS	88.75	60.61	37	69.85
SPINK5	0	0.01	1.05	0
IMPA1	33.61	16.96	19.76	21.8
LRRCC1	21.7	3.62	7.57	5.11
E2F5	5.54	26.02	6.31	33.77
CA1	0	0	0	0
CCDC59	33.18	30.49	29.56	26.6
SWAP70	135.76	150.44	33.19	203.51
ARNTL	6.9	16.32	9.47	13.61
LYVE1	0.58	0.52	0.2	0.7
AMPD3	3.7	24.69	5.68	22.79
MICALCL	0.01	0.14	0.09	0.14
SBF2	29.75	4.6	8.92	3.65
MICAL2	1.68	7.75	6.13	8.24
RRAS2	16.03	61.4	16.49	73.74
HSD17B4	141.13	115.65	71.22	95.56
ZFC3H1	3.85	12.55	4.74	15.91
TEX15	4.09	0.02	0	0.03
SARAF	1301.32	484.59	312.63	409.1
RNF122	4.29	10.04	4.51	9.62
DUSP26	0	0.03	0.02	0
DPF2	48.76	40.92	16.63	47.2
MEN1	10.03	13.25	5.62	16.38
C14orf1	28.47	12.78	15.81	13.69
GSC	0	0	0	0
C14orf159	10.67	31.59	13.49	24.84
UNC79	0.1	0.02	0	0.03
LOC101928143	33.67	34.86	19.51	31.03
CATSPERB	0.01	0.14	0.05	0.17
VRTN	0	0.01	0	0
COX16	23.49	17.78	14.32	19.72
TTC9	0.25	14.12	1.13	15.84
MED6	21.46	22.54	16.32	27.55
EIF2S1	72.58	28.41	45.94	37.73
ADAM20	0.05	0.03	0.05	0.03
LOXL2	11.93	4.1	0.98	8.16
ELP3	67.82	27.06	17.4	36.96
PEBP4	1.58	0.66	0.32	0.77
ADAMDEC1	0.36	7.89	12.2	2.16
CTIF	1.99	0.88	2.07	0.72
MRO	4.7	0.52	0.46	0.14
MBD2	17.37	40.13	27.37	54.59
IER3IP1	52.83	25.14	34.07	29.73
MRPS36	26.83	19.8	29.5	28.13
CCNB1	52.51	16.76	25.74	37.57
CDK7	23.99	19.13	23.28	21.23
CD180	1.72	44.56	4.74	84.83
IRAK2	2.62	11.03	1.83	8.44
CAMK1	7.29	4.51	12.24	9.44
THUMPD3	62.9	26.12	46.35	34.26
VHL	20.49	39.92	15.63	35.49
BHLHE40	159.48	37.15	114.31	25.39
ARL8B	84.3	39.02	75.32	43.3
EDEM1	9.87	47.71	22.14	51.7
CNTN6	0.11	0.01	0.67	0.02
CHL1	634.32	7.83	57.31	12.46
MEIS2	12.17	0.07	4.97	0.19
DPH6	14.01	3.27	5.22	4.58
KATNBL1	7.13	9.45	5.28	7.05
EMC7	173.47	68.91	109.78	60.93
TRPM1	26.67	0.02	14.69	0.03
GNAT2	0.41	0.17	0.1	0.05
GSTM1	0.06	46.3	0.05	0.21
PRPF38B	21.39	49.68	29.16	57.35
REG4	0.07	0.38	0.37	0.07
TSPAN2	0.09	1.02	0.76	0.55
TSHB	0	0	0	0.06
GSTM5	0.01	0.1	0.05	0.03
GSTM3	457.52	5.09	7.64	3.73
SYT6	0.52	0.01	0.86	0.46
VAV3	7.9	26.85	31.54	33.2
CHIA	0	0.15	0	0
PSRC1	16.9	0.71	5.59	1.69
HMGCS2	0	0	0	0.01
PTPN22	1.18	45.46	19.88	52.83
SORT1	79.51	1.22	66.46	2.6
WNT2B	0.09	0.22	0.13	0.22
PTGFRN	65.91	0.45	10.09	0.87
LAMTOR5	61.38	53.34	83.3	71.52
ADAM30	0.01	0.01	0	0.01
NOTCH2	62.49	32.92	20.2	26.7
TRIM45	2.85	0.1	1.4	0.19
CEPT1	14.67	61.39	17.16	70.48
CD101	3.04	13.7	4.07	2.82
VTCN1	0.1	0.08	0.02	0
NGF	0.02	0	0	0
AP4B1	11.97	14.87	8.13	19.67
NAPG	14.07	8.37	8.97	7.61
SPIRE1	91.44	1.31	26.97	0.69
PPHLN1	48.97	65	38.74	76.89
FKBP11	67.21	19.24	42.36	26.08
ARF3	91.84	56.04	98.15	66.45
TMEM106C	79.05	16.84	42.14	24.51
SLC38A2	138.07	47.21	62.38	47.09
PLEKHA8P1	1.45	0.95	0.69	2.41
YWHAQ	122.84	141.13	196.59	169.66
KIDINS220	36.53	22.8	22.24	26.21
GRHL1	0.2	0.27	0.26	0.28
ROCK2	13.6	8.17	9.51	10.59
RSAD2	1.01	4.03	4.89	4.57
MYCN	0.08	0.09	16.61	0.39
LPIN1	7.61	26.58	12.98	24.01
CMPK2	1.32	4.59	5.15	4.71
IAH1	28.97	36.38	37.63	39.62
LDHA	2260.58	254.72	890.18	329.02
SAA2	0.11	0.02	0.21	0.21
ANO3	0.01	0.01	0	0.06
IL6ST	99.17	39.67	49.38	31.83
FST	0.19	0	2.65	0.05
CFHR4	0.06	0	0.05	0
NAV1	18.63	3.03	5.27	2.75
CDC73	27.62	18.95	17.16	23.32
TIMM17A	44.17	26.56	35.47	38.27
CRB1	112.71	0.1	0.17	0.21
CFHR5	0	0	0	0
ERN2	0.03	0	0.01	0.01
RPS15A	2272.87	4707.08	1865.86	4377.54
RAX	0	0	0	0
NARS	161.84	42.33	74.44	53.18
GRP	0	0	0	0
KIAA1468	5.59	9.04	4.82	8.52
FBXO18	22.97	40.1	34.29	44.2
RBM17	59.66	116.41	87.4	125.3
IL2RA	0.62	37.33	8.86	21.33
ANKRD16	1.81	2.86	2.13	2.35
ECHDC3	9.64	1.55	5.75	1.23
IL15RA	0.21	6.8	6.22	5.34
CCNH	30.54	59.08	62.58	53.56
HRH4	0.04	0.12	0.01	0.08
TMEM241	3.22	3.42	1.63	4.06
KCTD1	27.27	1.38	5.93	1.35
CABLES1	37.26	0.47	43.23	0.71
DOCK2	3.73	128.96	41.96	142.3
EMP1	166.57	0.76	331.77	1.97
SOX5	13.83	0.25	2.3	0.63
RERG	0.03	0	0	0
SLCO1B1	0	0	0.15	0
KLRD1	1.56	13.54	25.7	13.07
KLRC1	0.21	3.59	1.57	3.69
SPX	0.09	0.17	0.31	0.27
PRH2	0.08	0.07	0.01	0.04
LRP4	19.71	0.05	2.11	0.04
MYBPC3	0.01	0.02	0.03	0.02
DDB2	34.86	17.25	20.99	18.69
ACP2	15.14	12.36	19.86	6.01
USP26	0	0	0	0
FAM127A	54.84	6.76	42.6	9.58
RAB33A	1.12	4.71	1.1	5.58
SOX3	0	0	0	0
RBMX2	33.39	27.99	19.61	32.28
STK26	0.56	43.72	6.8	52.74
PIWIL4	1.13	0.86	0.68	0.43
MTNR1B	0	0.06	0	0
PUM1	63.02	37.59	25.69	41.5
SPOCD1	0.65	0.04	0.17	0.14
