GenSymb	LAU125_FPKM	LAU355_FPKM	LAU1255_FPKM	LAU1314_FPKM
GJB6	9.3	0.33	0.04	0.67
GJA3	4.76	0.09	0.02	0.17
TBC1D15	55.52	47.88	34.44	39.8
ADGRB2	2.55	0.24	0.39	0.6
HCRTR1	0.05	0.03	0	0
ZCCHC17	100.11	27.96	50.93	34.79
FABP3	9.97	8.07	9.98	0.84
KHDRBS1	49.51	90.86	58.41	107.6
TMEM39B	3.76	6.16	4.06	8.28
CCRL2	0.29	2.19	4.07	1.4
CCR2	0.23	2.94	2.7	5.9
POLR3GL	31.44	41.29	31.22	44.16
GHSR	0	0	0	0
TNFSF10	1.12	36.79	30.7	34.64
ZNF639	28.67	37.7	28.17	34.54
SLITRK3	0	0	0	0.01
PIK3CA	14.02	31.22	14.14	27.73
PDS5A	28.04	49.16	24.45	55.9
TMEM156	1.12	46.58	10.17	56.74
LIAS	12.11	10.28	9.72	10.6
CPXM2	0.04	0.05	5.07	0.02
TMEM54	4.68	0	12.36	0.38
ZSCAN20	1.6	0.47	0.94	0.74
CSMD2	0	0.01	0	0.03
HPCA	0.27	0.01	0.25	0
LRIF1	6.86	14.91	6.49	20.89
TMIGD3	1.62	1.14	11.03	0.98
CLCC1	23.66	14.51	21.06	18.49
GPSM2	9.83	4.23	6.2	12.12
GTDC1	36.64	23.02	23.52	29.5
CXCR4	35.59	1216.9	375.78	878.77
ZRANB3	4.4	3.17	3.19	4.88
ACVR2A	8.58	4.64	3.13	2.57
POLK	19.55	16.27	11.28	16.26
SV2C	0.01	0.07	0.01	0
FLT3	0.07	6.33	0.9	4.14
RPL21	1106.63	5264.63	1520.63	5773.3
MTIF3	20.29	39.98	24.44	47.48
GTF3A	47.16	183.32	75.11	175.1
RASL11A	0.13	3.28	1.28	7.41
UBL3	115.62	34.91	69.4	34.18
FYTTD1	56.39	46.85	45.04	59.62
MTERF4	20.54	75.57	19.7	53.81
XPNPEP2	0.01	0.11	0.05	0.24
SASH3	1.25	123.12	21.99	121.21
OCRL	14.22	2.71	9.49	3.66
PAEP	0.1	0.16	1.39	0.09
OBP2A	0	0	0	0
MRPS2	6.94	12.3	7.48	14.58
TBX22	5.67	0	0.22	0
FMOD	0.18	2.87	0.13	1.22
MYOG	0	0	0	0
LAX1	0.22	18.36	5.85	14.75
PLG	0.1	0.43	0.12	0.49
KIAA1191	44.89	33.01	33.45	33.84
COPA	57.72	23.92	38.28	32.73
CD244	0.49	7.57	5.94	4.9
LY9	2.39	175.85	52.12	107.59
HS3ST2	0.08	0.74	0.09	0.1
RBBP6	18.81	29.16	15.56	22.54
ZC3H7A	62.32	28.99	18.6	27.94
PRM2	0	0	0	0
SERAC1	2.32	0.67	1.85	0.79
ANXA11	31.56	197.2	157.04	184.4
LDB3	3	0.13	4.7	0.05
OPN4	0	0	0	0
FAM35A	9.41	14.48	9.32	13.99
FAM213A	69.28	13.65	64.09	14.26
ZNF205	2.23	0.14	1.96	0.15
NAA60	17.91	18.78	15.03	18.24
RPL5	511.96	2178.1	853.23	1944.28
ODF2L	15.41	17.39	14.19	15.35
PTGFR	0	0	0	0.04
TRMT13	6.9	6.34	3.09	10.73
LRRC39	4.08	0.22	0.63	0.28
RWDD3	5.81	17.32	10.56	17.65
ZNF644	27.56	15.51	15.2	16.91
CCDC18	1.76	3.9	1.89	7.15
RPAP2	6.88	13.77	11.85	17.99
PQLC1	5.08	13.23	7.59	13.26
BBS9	12.7	6.01	7.06	6.7
PMS2	27.55	16.83	9.45	17.56
ZMIZ2	7.36	18.83	10.15	18.5
OCM	0	0.73	0.17	0.46
7-Sep	495.63	223.44	121.3	264.96
EEPD1	1.45	3.61	2.36	4.32
KIAA0087	0.05	0.07	0.16	0.13
KLHL7	24	10.12	11	13.79
HERPUD2	24.11	39.23	24.85	27.74
CBX3	287.82	128.89	182.41	188.93
HNRNPA2B1	856	778.02	575.36	996.03
WIPF3	0.08	0.03	4.08	0
NXPH1	0	0	0.01	0
NPY	0	0.11	0	0.04
FAM126A	22.14	13.17	7.56	15.67
HOXA7	0.93	0.05	0.11	0.24
INHBA	0.17	0.06	0.41	0.08
FKBP9	360.02	0.88	72.81	4.87
NT5C3A	156.72	41.4	29.19	49.91
ARL4A	107.19	43.97	50.6	21.63
CCZ1	47.16	33.49	50.35	48.83
MIR6838	6.46	16.69	4.94	16.54
RAMP3	0.07	0.04	0	0.11
MRM2	29.79	17.46	12.82	18.59
TWIST1	0.18	0.03	8.46	0.02
SMU1	7.42	10.77	6.09	12.24
GLIPR2	4.62	23.7	15.7	25.68
SLC25A51	1.67	4.56	3.39	5.16
CLTA	55.52	49.41	60.25	58.81
RECK	4.89	7.1	2.43	6.16
SPINK4	0	0	0	0
TAF1L	0.02	0.01	0.02	0.02
ACO1	7.1	3.33	4.26	3.37
PHF24	0.13	0	0.05	0
DNAI1	0.08	0	0.21	0
DCAF10	8.71	14.13	5.74	13.47
CNTFR	1.43	0	0.05	0
KIAA1549	2.43	0.07	0.57	0.06
TRIM24	16.21	11.17	8.28	9.61
C7orf49	37.2	30.52	26.35	34.82
CALD1	161.77	0.26	53.89	2.11
AKR1D1	0.03	0.02	0.02	0.06
NUDT10	0.01	0.2	0.13	0.64
SFTPA1	0	0.1	0.06	0.48
NEUROG3	0	0.01	0.02	0
PLAU	0.6	1.68	6.1	0.8
SRGN	38.15	392.67	467.59	242.07
CHST3	3.08	0.01	2.68	0.07
BICC1	0.01	0.05	0.02	0.07
CISD1	24.06	14.44	12.11	18.23
EGR2	2.92	12.27	19.57	11.05
ECD	14.93	24.47	23.03	29.48
P4HA1	93.91	18.68	44.75	19.01
SLC25A16	4.33	5.7	8.08	5.73
ZWINT	32.79	13.66	22.51	37.22
VPS26A	49.69	36.57	57.09	36.56
RBM19	7.08	6.25	7.94	8.72
MIR1178	5.15	0.78	2.78	1.66
IFT81	14.33	0.86	13.41	1.29
ACADS	2.24	1.15	1.25	0.95
HVCN1	4.81	92.07	15.7	124.1
DDX54	4.6	6.89	4.42	8.29
MED13L	12.22	26.98	11.47	24.88
CDKN2C	24.32	5.87	7.3	11.08
RNF11	86.66	34.22	58.81	27.86
RASSF8	26.04	0.67	14.49	1.44
BHLHE41	25.62	15.03	61.53	16.17
SSPN	10.49	2.79	8.06	2.62
ITPR2	1.26	11.86	6.76	12.12
CCDC91	20.73	22.35	15.99	21.75
NECAB1	0.05	0	0.03	0.01
WWP1	22.42	36.39	31.74	31.24
ACOT9	16.15	17.87	26.51	16.12
PRDX4	113.32	26.84	62.8	27.68
DDX39A	15.33	37.61	16.4	44.35
PKN1	13.21	30.36	24.84	28.26
C19orf43	51.82	103.56	69.78	105.46
ADGRE5	9.73	37.01	31.57	39.97
WDR83	0.78	2.04	1.77	2.3
GIPC1	20.46	4.88	14.07	5.26
ACTRT1	0	0	0	0
CCDC70	0	0	0	0
SPRYD7	3.47	3.59	2.51	3.59
EBPL	18.47	19.22	8.02	19.88
ATP7B	0.33	0.1	0.13	0.08
ZC3H13	31.38	24.19	30.17	32.85
GUCY1B2	0.02	0.02	0.04	0.06
NLN	7.79	4.87	12.97	4.67
CENPK	10.12	12.57	10.37	9.65
OPTN	11.38	19.88	58.04	25.12
ITIH5	0.32	0.82	0.09	0.59
ATF1	10.26	25.11	9.61	26.47
TSFM	18.79	12.49	18.76	15.81
NEUROD4	0	0	0	0.01
ARHGAP9	0.69	42.95	14.86	36.41
NCKAP1L	1	64.8	22.85	77.55
MMP19	0.91	1.64	3.06	0.11
PFDN5	510.66	671.22	425.04	628
SPATS2	12.83	8.21	9.76	11.78
ORMDL2	12.24	13.77	17.4	15.37
NR4A1	9.46	17.27	84.45	11.54
PDE1B	0.25	0.95	0.51	0.92
HOXC13	0.01	0	0	0.14
CDK2	29.52	9.74	207.44	15.48
LRP1	15.63	2.67	8.23	0.59
HOXC11	0.02	0	0	0
ATG101	9.63	11.6	20.83	13.54
NFE2	0.12	0.17	0.1	0.31
HOXC12	0	0	0	0
IKZF4	1.96	1.5	1.78	2.15
SMUG1	16.82	9.95	12.42	12.07
TUBA1B	1741.16	397.97	750.9	473.09
METTL21B	8.02	0.38	2.26	0.46
KBTBD4	11.02	10.82	9.56	12.19
SARDH	1.8	2.09	0.96	2.12
DBH	0.08	0.16	0.1	0.23
ATPAF1	76.7	38.52	45.25	40.15
STIL	3.98	2.45	3.37	4.37
HJURP	12.37	5.55	3.52	12.3
IL13RA2	0.07	0	2.96	0.45
COL10A1	0.04	0.07	0.29	0.05
AMD1	244.87	49.11	43.8	47.03
NDUFAF4	23.58	17.55	10.65	19.83
USP45	6.74	9.64	3.13	8.42
PLP1	1119.31	0.41	144.56	5.84
SERPINA7	0	0.03	0	0
MORF4L2	214.49	30.71	122.02	47.42
H2BFWT	0	0	0	0
RAB9B	0.98	0.3	0.26	0.27
NRK	0	0	0	0
FAM199X	13.04	11.71	10.42	12.7
ESX1	0	0	0	0
MAGEA9	0	0	0.79	0
ATXN3L	0	0	0.04	0
RAB9A	27.67	20.34	24.87	20.9
METTL8	11.65	42.74	18	33.75
TTC21B	15.07	8.48	4.71	10.73
NMI	7.85	21.41	25.55	25.95
TNFAIP6	1.48	0.13	0.4	0.09
ACVR1C	0.04	0.8	0.41	0.24
BAZ2B	19.23	12.99	11.08	15.62
SLC36A1	1.58	1.76	3.3	1.38
LPGAT1	24.51	18.96	15.17	20.35
BATF3	0.25	2.13	0.54	0.95
G0S2	1.9	1.25	12.95	0.61
KCNJ2	1.76	0.07	0.3	0.12
RAP2C	13.05	47.88	21.5	53.34
EXOSC9	20.24	30.93	34.05	33.92
PLA2G12A	25.33	6.56	10.15	6.65
B9D2	0.36	1.18	0.6	0.99
COQ8B	2.8	3.46	2.78	4.33
PFKFB2	16.15	7.39	11.1	4.95
C4BPA	0	0.04	0	0
C4BPB	0.17	0.29	0.03	0.23
RAB38	105.82	1.53	243.68	1.23
GPR83	0.03	0.02	0.05	0.06
AGO2	5.31	10.61	7.32	6.08
MIR4800	5.14	9.23	3.56	11.07
CKS2	44.02	27.83	44.28	53.74
DAW1	0	0	0	0
ACSL3	150.65	18.56	169.33	18.84
CHPF	10.04	0.32	6.77	0.9
DNPEP	11.26	15.2	31.23	16.81
INHA	0.44	0	0.28	0
MOGAT1	0	0	0.02	0
OBSL1	14.19	0.3	8.58	0.38
FAM124B	0.07	0.13	0.08	0.14
SLC12A4	7.02	3.56	7	3.13
ENKD1	1.77	1.05	1.92	0.35
MC3R	0	0	0	0.02
GCNT7	0.13	0.17	0.04	0.06
CTCFL	0.04	0.03	1.63	0.02
FAM210B	56.57	11.03	49.88	9.42
PI3	0	0	0	0.12
FAM209A	0.23	0.54	0.24	0.53
SNX21	4.03	0.6	3.07	0.62
SLPI	0.03	0	0	0
WFDC3	0.42	0	0.24	0
TTPAL	5.86	6.59	5.04	6.63
PREX1	16.48	37.7	16.29	32.75
KCNS1	0.07	0.06	0.15	0.03
SLC12A5	0	0	0.03	0.02
ARHGAP40	0	0.01	0.06	0.01
SDC4	6.28	2.66	28.12	4.21
NCOA3	18.01	73.38	14.22	94.51
PIGT	62.87	36.4	58.61	33.26
SEMG2	0	0	0	0
MATN4	0.01	0	0	0
NCOA5	16.46	14.37	8.21	24.48
VAPB	63.41	21.77	25	22.93
PARD6B	0.6	0.65	0.4	0.49
ATP5E	56.75	79.65	58.78	84.42
CHD6	25.61	27.51	21.74	25.59
PLCG1	36.77	29.75	19.14	30.6
TOX2	0.13	8.04	3.55	8.56
SRSF6	53.64	82.99	40.94	51.36
GDAP1L1	0.77	0	0.07	0
GTSF1L	0.02	0.58	1.21	1.79
ARFGEF2	13.7	11.04	8.58	13.05
ZNFX1	5.15	13.19	10.24	14.21
ZNF831	0.08	5	1.33	4.99
EDN3	0	0.2	0.02	0.34
CSE1L	45.37	17.31	25.36	27.12
TMEM189-UBE2V1	11.85	8.71	5.87	10.72
RAB22A	8.22	5.1	4.58	5.48
PTGIS	8.46	0	0.75	0
STAU1	58.29	26.93	34.85	30.39
CDH26	0.19	0.51	0.09	0.49
SNAI1	6.12	4.3	2.23	1.15
MOCS3	2.34	2.02	2.1	2.69
STX16	34.84	40.42	28.74	31.64
PMEPA1	0.2	2.38	0.48	4.38
RNF114	75.93	38.77	50.9	39.17
ANKRD60	0	0	0	0
DDX27	28.44	34.97	27.43	39.46
RBPJL	0	0	0.04	0
SEMG1	0	0	0	0
C20orf85	0	0	0	0
BCAS4	0.62	25.32	3.8	34.81
KCNK15	0.03	0	0.05	0
TP53TG5	0	0.29	0.07	0.18
PCK1	0.12	0	0	0.06
ZBP1	0.17	10.08	5.16	11.66
NEURL2	0.07	0.13	0.08	0.03
MAGEA10	0.02	0.14	0.47	0.14
LOC107986404	24.53	24.53	17	20.59
FASTKD3	5.24	5.77	4.77	7.16
PEPD	14.86	11.01	15.51	9.52
CHST8	0.01	0	0	0
IQSEC2	1.68	0.69	2.73	0.26
VAMP7	42.56	32.98	29.38	36.2
IL9R	0.03	7.18	0.66	5.15
XG	0.69	0.06	0.4	0
STAMBP	43	26.92	30.63	28.75
NAGK	17.88	58.08	46.71	36.11
MCEE	9.57	9.04	6.09	10.36
PAIP2B	1.65	2.11	0.83	2.57
SNRNP27	27.67	25.02	20.11	32.31
MPHOSPH10	32.74	22.27	21.84	21.47
IL17C	0	0.07	0.04	0
ATP8A1	0.41	31.21	6.29	28.33
USP22	97.98	56.57	32.44	57.91
POF1B	0.05	1.93	0.24	1.78
HIF3A	0.13	0.03	0	0.01
ZNF576	3.62	3.32	3.72	4.52
IRGC	0	0	0	0
ZNF45	5.53	7.54	3.61	7.85
LYPD3	0.62	3.32	1.67	1.19
PSG8	0.01	0.01	0.02	0.01
CEACAM8	0.05	0.03	0.02	0.07
NDP	0.32	0.02	0.04	0.09
USP9X	20.29	24.78	12.77	20.71
CRISP2	0	0	0	0
F13A1	2.04	12.76	0.75	3.71
GRM4	0	0	0.01	0.01
TRERF1	0.9	5.56	3.12	4.41
PACSIN1	0.13	3.79	1.56	7.03
BTN2A2	22.96	20.59	17.23	29.19
SIRT5	6.19	7.12	3.71	7.59
MRS2	18.52	12.65	8.05	13.84
WRNIP1	24.18	21.95	19.41	28.99
RRP36	23.43	23.78	26.37	25.08
BTN2A3P	1.22	0.46	0.55	0.93
BTN1A1	0.32	1.25	0.04	0.72
SNRPC	67.83	48.82	87.59	51.01
SLC17A3	0.03	0	0	0
SLC17A1	0	0	0	0
SERPINB6	69.08	31.74	57.11	38.05
XPO5	15.03	9.51	13.11	11.12
ABCC10	6.81	18.53	10.84	15.43
HIST1H1D	0.1	0.78	0.73	1.4
PEX6	10.05	5.34	1.66	2.58
NQO2	9.92	7.43	8.34	7.25
PRICKLE4	0.48	0.67	0.9	0.52
OARD1	37.67	43.09	50.76	45.95
UNC5CL	0.8	0.76	1.11	0.76
AARS2	5.74	3.9	3.62	3.56
HIST1H1A	0	0	0	0
ZNF391	2.5	3.36	0.43	2.51
RPS10	478.94	1759.42	776.48	1622.14
MOCS1	7.18	0.3	4.98	0.16
HIST1H2BJ	0.72	0.46	0.96	1.05
MED20	7.7	4.44	3.65	7.82
OR2B6	0.12	0	0	0.05
TBCC	6.36	15.73	13.19	14.15
SPDEF	0.03	0.01	0.01	0.01
TCP11	0.31	0	0.07	0
MAD2L1BP	11.25	8.07	23.66	8.85
APOBEC2	0.08	0.64	0.17	0.18
KLHDC3	34.34	22.44	30.9	22.85
GNMT	0.07	0.53	0.38	0.42
DNAH8	0.01	0.2	0.11	0.46
TREM1	14.15	2.17	10.85	3.43
MEA1	84.99	43.52	78.07	53.6
KLHL31	0.01	0.04	0.02	0
COL21A1	0	0	0	0
CDKN1A	39.96	22.61	44.04	13.68
SOX4	23.25	4.9	3.97	5.3
GLO1	69.7	46.66	51.61	39.84
CPNE5	2.17	28.02	4.58	44.04
KCNK17	0	0.25	0.03	0.27
RREB1	7.28	12.75	5.59	8.44
SSR1	117.33	74.11	69.3	95.54
RIOK1	9.81	12.15	11.14	16.7
NRN1	5.24	0.13	36.65	0.83
SLC35B3	7.86	10.61	6.73	12.03
RPP40	3.89	3.07	3.38	3.86
ATXN1	3.4	5.42	9.39	6.23
NUP153	19.14	19.61	13.32	24.88
DEK	113.47	121.7	109.25	175.77
EEF1E1	21.87	17.53	19.58	21.99
CRISP1	0	0	0	0.04
RUNX2	0.55	4.18	2.7	4.74
OPN5	0.05	0	0.03	0.02
GCM2	0	0	0	0
LRRFIP1	64	60.86	31.7	78.96
LOC93463	0	0.02	0.01	0.02
RAB17	13.5	0.1	26.22	0.39
CXCL6	0	0.01	0	0
EREG	0.38	3.13	4.6	0.67
TRIM51	3.65	0	18.12	0.19
DKFZP434K028	0	0.02	0	0
MYRF	5.51	0.04	0.49	0.09
SCGB1D2	0.04	0	1.35	0
SCGB2A1	0	0	0	0
AHNAK	14.53	41.49	44.01	42.96
EMC3	90.75	42.05	100.33	46.55
SSUH2	0.3	0.06	3.52	0.03
WNT1	0.01	0.09	0.04	0.18
SH3TC1	4.17	15.27	6.06	13.04
CNOT1	29.62	46.95	23.5	61.1
LRRC29	0.4	0.23	0.49	0.33
BBS2	18.06	8.65	9.83	8.6
MT1G	0.49	0	2.84	0.27
MT2A	21.32	4.41	87.86	12.73
C16orf70	8.28	3.97	4.93	4.8
GOT2	42.78	28.44	26.53	39.51
DOK4	1.89	0.43	2.2	0.49
PIWIL1	0.06	0	0	0.04
GPR18	0.5	66.43	10.17	77.19
CLYBL	5.94	7.35	2.8	5.21
TMTC4	2.38	3.66	1.08	3.27
RAP2A	6.94	6.53	5.55	11.62
SLC10A2	0	0.01	0.02	0.03
ABCC4	3.55	3.84	1.52	4.68
EFNB2	0.49	0.2	0.11	1.06
SOX21	0	0	0	0.01
TM9SF2	52.27	66	57.66	81.85
C17orf53	1.13	0.77	1.44	0.83
KIF25	0.56	0	0	0.02
IRF1	4.84	61.66	167.75	59.69
UPF3B	12.57	7.13	6.39	10.83
RNF113A	6.83	24.15	12.65	25.07
6-Sep	4.66	230.85	58.76	214.03
TMEM255A	0.16	1.21	15.22	1.48
NDUFA1	99.57	68.7	85.43	78.87
AMELX	0	0	0	0
ATP5S	4.36	4.22	2.46	4.13
BMP4	0.15	0.08	0.03	0.02
PTGER2	0.21	7.53	2.25	3.03
FAM193A	6.43	12.14	8.88	16.11
GRK4	1.93	0.42	1.73	0.8
SOX9	7.93	0.05	5.86	0.25
TEKT3	1.02	0.13	1.36	0.2
MYH2	0	0	0	0
HS3ST3B1	0.03	2.3	0.99	2.66
SLC25A35	0.97	2.14	1.07	1.24
MRPS7	32.96	22.59	23.54	19.83
GGA3	10.34	18.51	12.15	15.71
ARMC7	1.61	2.94	1.77	3.81
NUP85	11.31	8.59	9.28	11
SLC25A19	2.87	6.9	6.4	10.66
MIF4GD	5.67	21.99	13.28	20.58
NT5C	6.13	13.35	7.22	14.3
MSTO1	20.23	10.02	12.86	9.98
C1orf61	0.86	0.26	0.53	0.55
TTF1	5.17	12.78	6.13	15.39
GTF3C4	9.26	3.17	2.08	3.42
DDX31	7.44	4.34	2.04	3.67
BARHL1	0	0	0	0
KIR2DL1	0	0.13	0.06	0.33
PPP1R12C	3.85	5.59	5.13	6.28
MBOAT7	12.76	11.8	15.19	10.5
SRMS	0.02	0.12	0.03	0.03
OPRL1	0.44	1.25	0.37	1.34
SLC2A4RG	3.55	13.58	11.08	14.13
NPBWR2	0	0.07	0.06	0.03
FNDC11	0	0.11	0.05	0.24
BHLHE23	0	0	0	0
PPDPF	12.25	26.42	31.87	25
IL1B	4.9	44.72	22.36	20.81
PLGLB2	0.04	1.14	0.11	0.9
IL37	0	0	0	0
CHCHD5	3.87	5.47	5.55	5.62
PAX8	1.86	1.23	0.68	0.49
INSIG2	23.29	11.58	7.39	11.83
POLR1B	13.62	8.22	7.5	14.86
CCDC93	16.64	21.75	14.08	20.03
PSD4	0.5	52.98	9	63.69
SLC25A23	14.66	5.71	10.7	6.24
PSPN	0	0.05	0	0
GTF2F1	15.9	22.14	17.63	26.02
ALKBH7	1.26	2.34	2.28	1.75
CLPP	5.84	8.38	6.84	9.45
TNFSF9	2.11	6.96	4.24	2.33
GRIA3	0.06	0.06	0.11	0.05
THOC2	40.74	41.19	26.68	44.38
MED1	21.03	23.9	13.6	28.71
RPL23	1600.39	2665.34	1343.09	2590.97
ATG4C	29.06	20.32	9.69	22.52
CD70	0.1	1.96	1.05	2.3
C3	4.76	1.9	33.03	2.61
SH2D3A	0.08	2.76	0.44	3.58
TRIP10	17.05	5.65	7.95	5.33
MIR6791	7.64	19.24	13.52	19.5
TNFSF14	0.18	0.63	0.26	1.42
FOSB	106.36	362.9	314.67	285.21
OPA3	6.27	3.99	3.38	4.28
SNRPD2	145.72	168.26	145.03	164.35
RTN2	1.75	0.3	3.06	0.76
EML2	8.73	6.79	8.43	7.4
VASP	8.55	58.45	20.7	70.55
SYMPK	9.22	17.2	11.81	15.51
GPCPD1	7.3	45.78	14.67	42.38
SDCBP2	0.48	0.58	0.39	0.44
PANK2	16.34	16.61	14.59	21.99
TGM3	0.02	0	0.04	0
GNRH2	0.03	0.08	0	0
DEFB126	0	0	0.04	0
FOXA2	0	0	0	0
FAM182A	0.21	0.08	0.04	0.1
CD93	0.28	2.18	1.86	1.36
GZF1	5.05	8.82	7.35	7.2
PAX1	0	0	0	0
NAPB	3.91	4.61	4.03	5.38
CST8	0	0	0	0
NKX2-4	0.64	0	0.01	0
CENPB	11.13	8.48	9.25	8.93
PSMF1	118.71	121.67	118.16	128.58
NKX2-2	0.91	0.01	0.04	0.03
DTD1	22.21	14.76	15.21	13.24
CSTL1	0	0.19	0	0
RBCK1	13.98	28.91	33.62	30.19
TMX4	27.46	25.54	19.64	31.04
CST11	0	0	0	0
STK35	3.99	3.98	4.06	3.54
SNRPB	34.63	75.01	53.38	79.26
NRSN2	17.03	1.59	8.1	2.09
AP5S1	2.61	1.86	3.04	2.49
RRBP1	70.36	14.52	47.22	14.89
BMP2	0.01	0.03	0.16	0.21
ZNF133	4.32	3.4	4.03	3.3
FLRT3	10.39	0.01	0.06	0.11
OVOL2	0	0	0	0
PCSK2	0.94	0.01	2.56	0
GFRA4	0	0	0	0
MKKS	18.04	10.21	7.86	12.71
BFSP1	3.98	0.07	0.94	0.2
DSTN	177.91	43.95	134.06	48.51
LAMP5	0.03	3.45	1.12	1.78
SNRPB2	50.42	39.67	36.74	48.65
MGME1	18.71	27.28	16.95	28.43
LRRN4	0	0	0	0
TBC1D20	16.79	11.74	14.28	12.14
ITPA	21.57	17.22	17.92	16.87
TCF15	0.05	0	0	0
OTOR	0	0	0	0.04
MCM8	9.57	5.46	6.88	8.22
BANF2	0	0	0	0
TMEM74B	0.02	0.1	0.02	0.07
FAM110A	0.43	3.36	0.84	5.32
SIRPD	0	0.18	0.34	0.21
MRPS26	9.84	5.21	8.36	6.82
DEFB129	0	0	0	0
S1PR4	0.02	3.2	0.3	4.19
NCLN	3.09	4.28	3.55	4.11
CITED1	19.04	0.17	60.64	0.63
HNRNPR	194.13	131.71	133.04	182.42
ZNF436	9.29	2.54	3.29	3.26
MAX	38.88	66.08	47.14	70.04
CHURC1-FNTB	61.9	76.02	55.16	68.21
ARMCX5	23.51	13.39	11.06	12.21
GDF5	0.02	0.02	0.02	0.1
MMP24	0.05	0.03	0.01	0.05
NECAB3	2.43	1.23	4.5	1.22
ID1	4.91	1.28	0.66	0.24
RALY	60.09	69.08	64.91	80.33
DYNLRB1	123.57	103.31	138.96	94.48
C20orf173	0	0	0	0
EIF2S2	43.31	28.2	39.22	35.35
ERGIC3	316.18	197	185.51	160.79
ROMO1	12.26	12.01	16.66	14.69
FAM83C	0	0	0	0.01
BPIFB1	0.03	0.01	0	0.02
CEP250	11.27	18.28	6.2	16.92
PLAGL2	2.37	5.09	3.94	6.23
GRPR	0.16	0.44	0.17	0.07
KDM5C	24.58	43.85	21.04	31.62
MIR4329	14.28	1.52	21.29	2.16
TMEM115	9.87	5.82	15.75	6.23
PSMB2	67.9	54.57	72.26	66.84
AGO3	7.7	5.21	4.9	7.6
UROD	63.32	28.66	84.12	27.87
ST3GAL3	14.66	6.78	10.22	6.22
TMEM53	3.36	2.32	5.81	2.39
HECTD3	13.89	8.07	10.72	11.45
KLC1	68.68	46.05	49.42	44.1
XRCC3	1.98	1.9	1.52	2.33
TUBGCP3	6.12	13.46	4.87	16.01
MCF2L	0.07	2.17	0.67	2.82
F10	0.02	0.01	0.01	0
PCID2	16.31	25.94	14.28	27.81
PROZ	0	0.16	0	0.07
SLURP1	0	0	0	0
LRFN3	0.84	1.21	1.62	0.96
IGFLR1	0.45	19.28	8.08	16.84
CAPNS1	167.3	157.78	167.42	146.63
PDCD2L	2.96	3.44	2.69	5.13
RBM42	6.44	10.44	11.15	10.79
KIRREL2	0.01	0.01	0.06	0.07
UBA2	90.57	60.02	49.18	70.85
FFAR2	0	0	0.2	0.02
HCST	1.14	36.89	24.06	35.55
FFAR1	0	0.21	0	0.05
COX6B1	183.35	162.23	185.42	191.87
KRT36	0.05	0.03	0.07	0
THRA	14.37	7.61	8.96	4.81
CCR7	0.57	68.95	14.47	42.57
NR1D1	4.66	3.61	5.39	2.98
FRMD8	2.96	6.3	2.16	6.25
PRDX5	74.88	67.8	67.36	80.46
BCL2L12	1.8	4.53	3.67	4.69
IRF3	3.79	19.62	11.15	19.13
PRMT1	65.07	94.96	65.43	98.61
RRAS	3.86	3.5	13.75	3.41
PRRG2	0.06	0.19	0.02	0.09
SCAF1	2.17	2.85	2.93	3.75
PRR12	1.94	4.96	2.64	5.98
TSKS	0	0.17	0.05	0.04
FLRT1	1.82	0.01	0.3	0
ASL	4.95	5.21	6.85	6.09
SBDS	227.23	111.74	157.12	77.72
CSN1S1	0	0.02	0	0
STATH	0	0	0.46	0
HTN1	0.46	0.56	3.42	0.74
STAT5A	15.14	25.96	24.3	29.12
WNK4	5.2	0	0.56	0.01
BECN1	62.08	54.15	42.61	52.23
PRKCG	0	0	0.04	0.01
TRAP1	28.65	14.62	24.01	17.79
GLIS2	0.22	0.04	0.11	0.04
MIR423	39.04	20.63	11.49	20.41
DNAJC8	134.82	106.49	90.61	118.62
AHDC1	1.55	0.72	0.96	1.1
IFI6	83.52	14.73	83.39	16.88
DACH2	0	0	0	0
ZNF384	16.8	22.78	16.21	21.07
EMG1	24.43	27.45	27.14	29.85
SSX1	51.51	0.03	0.67	0.02
UXT	55.48	163.11	68.75	159.66
CFP	0.14	16.18	1.12	6.45
ELK1	7.16	10.76	9.83	10.67
TIMM17B	8.39	18.3	12.99	18.15
PCNX4	30.16	12.25	18.64	14.53
ATG14	10.61	6.15	5.97	5.57
KTN1	81.72	46.08	51.48	53.39
SIX1	0.02	0	0.81	0
RHOJ	107.78	0.05	15.39	0.17
DLGAP5	13.79	4.77	6.81	12.75
L3HYPDH	6.92	4.91	3.77	3.4
HSPA2	22.99	1.47	4.2	1.09
ZBTB1	13.08	47.39	25.33	40.41
TRMT5	4.95	1.75	2.82	2.54
SGPP1	10.73	24.38	9.5	31.85
PLEKHG3	11.43	1.8	22.35	1.55
PZP	0	0.05	0.08	0.02
PRDM7	0.22	0.16	10.12	0.19
RHOT1	27.14	15.17	13.14	15.95
EVI2A	31.05	116.14	41.02	128.09
LOC101927057	26.55	0.14	0.2	0.18
WDR60	23.16	5.21	4.15	3.93
AIF1L	78.79	0.13	15.99	0.33
FAM78A	1.38	20.61	4.3	24.37
NUP214	16.65	25.52	16.31	28.21
CTAG2	0	0	0.57	0
AVPR2	0.14	0.04	0.05	0.04
SLC10A3	1.12	6.61	3.78	6.94
MAP2K2	17.06	27.37	35.09	27.58
HNRNPH2	65.12	45.17	59.34	53.17
ARMCX1	7.69	0.34	9.12	0.58
