Gene	A	B	C	D	E	F	G	H	I	J	K	L
ORM1	0.215595	0.238857	0.039884	0.076103	0.151774	0.212128	0.669936	0.246876	0.249008	0.046454	0.054442	0.24739
OSBPL10	0.774383	0.828178	0.195403	0.199935	0.363653	0.380808	0.828178	0.599406	0.564711	0.125127	0.097111	0.01713
PALLD	0.10373	0.100533	0.065816	0.061871	0.103608	0.198137	0.080652	0.083239	0.078482	0.033511	0.078845	0.051094
PANX1	0.337354	0.382808	0.34297	0.271593	0.444055	0.491264	0.384159	0.439333	0.45575	0.392855	0.505964	0.488733
PAX5	0.054227	0.022943	0.023149	0.030038	0.019585	0.01365	0.057473	0.0	0.109129	0.010383	0.057473	0.00431
PCGF2	0.033308	0.028063	0.036196	0.036049	0.00796	0.069642	0.016844	0.104274	0.102994	0.024877	0.049126	0.0
PDGFB	0.161231	0.097762	0.087608	0.005882	0.187593	0.202854	0.149047	0.177491	0.102777	0.093729	0.145104	0.043379
PDK4	0.083755	0.193869	0.109322	0.082836	0.177339	0.114829	0.308436	0.270322	0.259093	0.081744	0.05748	0.061833
PGLYRP1	0.289352	0.24656	0.065754	0.103788	0.182006	0.22946	1.0	0.082606	0.070281	0.061008	0.034841	0.447714
PHEX	0.083242	0.180557	0.046812	0.114973	0.088717	0.084903	0.024728	0.132658	0.109828	0.05917	0.027841	0.056478
PI3	0.184339	0.175415	0.064194	0.055332	0.113874	0.139481	0.774436	0.072869	0.079492	0.0	0.017435	0.042056
PIK3CG	0.207809	0.200744	0.165755	0.173101	0.171016	0.2636	0.232956	0.23124	0.225546	0.152864	0.213796	0.219621
PLAT	0.042868	0.073043	0.107451	0.055873	0.028774	0.048581	0.02642	0.010638	0.059537	0.045597	0.081479	0.056002
POU2AF1	0.075893	0.081391	0.034308	0.035768	0.034073	0.036893	0.06753	0.049778	0.051455	0.031417	0.03415	0.030518
PPA1	0.30012	0.294318	0.40176	0.413372	0.361918	0.201783	0.223227	0.249453	0.247007	0.383367	0.405523	0.385848
PRKCDBP	0.628487	0.563826	0.18839	0.320397	0.380898	0.357932	0.816148	1.0	0.987127	0.234889	0.149865	0.285319
PROM1	0.046501	0.045146	0.042889	0.053853	0.028342	0.03173	0.052795	0.040208	0.019989	0.019716	0.039434	0.078696
PRR5	0.565225	0.556284	0.502785	0.474251	0.889475	1.0	0.340587	0.255527	0.260176	0.422921	0.878833	0.427644
PSAT1	0.23018	0.18755	0.298226	0.294357	0.290945	0.180608	0.13831	0.068272	0.048825	0.257717	0.275255	0.287505
PTPN13	0.540499	0.735173	0.70008	0.691503	0.624955	0.40528	0.513997	0.570744	0.421875	0.958013	0.464653	1.0
PTPRK	0.4925	0.480098	0.342194	0.27355	0.551248	0.308263	0.458758	0.269247	0.431842	0.179138	0.618933	0.311602
PTPRS	0.171892	0.028888	0.289005	0.233955	0.402804	0.172968	0.347078	0.202244	0.336898	0.037808	0.073913	0.223766
PTTG2	0.386942	0.258399	0.358621	0.344059	0.204269	0.324192	0.069757	0.30012	0.144586	0.423829	0.517875	0.22197
QPRT	0.135289	0.14104	0.092355	0.051776	0.088982	0.180535	0.167752	0.203386	0.204183	0.0	0.035058	0.079388
RAB9A	0.148434	0.151267	0.159644	0.164888	0.17821	0.260507	0.103237	0.112194	0.107171	0.157626	0.153753	0.164762
RAMP1	0.243502	0.243897	0.148658	0.18736	0.215248	0.547762	0.130187	0.0	0.020871	0.051388	0.053828	0.071445
RARRES2	0.059025	0.061082	0.063219	0.06777	0.040866	0.028945	0.055222	0.017595	0.03857	0.075754	0.011827	0.072359
RETN	0.592035	0.542829	0.069764	0.084643	0.230946	0.297132	0.784939	0.938653	1.0	0.034238	0.123736	0.339673
RNASE1	0.044182	0.032899	0.036106	0.003801	0.022899	0.04928	0.048291	0.019183	0.056785	0.012297	0.035306	0.020527
RNASE4	0.728495	0.674667	0.491556	0.407343	0.501517	0.481687	0.836441	0.944155	1.0	0.459989	0.389543	0.391826
RNF122	0.367459	0.317691	0.292597	0.293174	0.288958	0.281673	0.468255	0.319921	0.30728	0.270905	0.270322	0.273226
RPL7	0.153285	0.169416	0.215959	0.212235	0.197012	0.138344	0.143094	0.138041	0.141213	0.235988	0.2675	0.240798
RRAS	0.375795	0.354577	0.281945	0.263125	0.238703	0.2468	0.416267	0.511757	0.5223	0.286448	0.213859	0.23926
S100A12	0.218565	0.267796	0.055808	0.06709	0.104672	0.144413	0.469444	0.451676	0.4795	0.021717	0.0	0.065842
S100B	0.069869	0.072061	0.107318	0.317619	0.344799	0.036407	0.070602	0.094077	0.046355	0.162113	0.054508	0.079657
S100P	0.165505	0.172168	0.053549	0.055123	0.08555	0.119607	0.658085	0.174889	0.162911	0.020693	0.016362	0.103278
SCRN1	0.365502	0.371634	0.199391	0.170759	0.367715	0.454526	0.316607	0.348563	0.360663	0.151529	0.318391	0.090783
SDC1	0.046358	0.048165	0.044547	0.039977	0.037848	0.045294	0.045808	0.052002	0.049637	0.04582	0.040548	0.036816
SEC63	0.351571	0.332531	0.261102	0.281076	0.32344	0.449548	0.464035	0.384048	0.328462	0.228509	0.335848	0.197385
SERPINF2	0.057883	0.107695	0.012978	0.023554	0.0314	0.062752	0.08067	0.165933	0.20857	0.07303	0.025173	0.046469
SETBP1	0.599193	0.568454	0.34358	0.326167	0.50194	0.822616	0.493419	0.45397	0.450503	0.247921	0.495281	0.288926
SF3A3	0.751081	0.684301	0.924199	1.0	0.802276	0.669754	0.547254	0.535291	0.533105	0.94765	0.713566	0.887041
SFTPD	0.3903	0.42469	0.14449	0.130867	0.140355	0.321263	0.566041	0.643389	0.671724	0.140524	0.1431	0.054778
SFXN3	0.107525	0.13203	0.072157	0.122818	0.11258	0.171763	0.099504	0.173186	0.163957	0.1914	0.181957	0.164227
SH3BP2	0.484786	0.583733	0.188461	0.260848	0.373298	0.58278	0.468337	0.541116	0.447243	0.041352	0.217935	0.0
SIDT1	0.283817	0.312222	0.264234	0.258064	0.259467	0.320749	0.253956	0.211691	0.222699	0.281247	0.286141	0.239543
SIGLEC6	0.085391	0.019611	0.103212	0.068331	0.023406	0.088411	0.051235	0.142784	0.080449	0.182917	0.179144	0.07518
SLC12A3	0.187186	0.281989	0.142399	0.119452	0.070024	0.162388	0.315029	0.286599	0.391743	0.110464	0.176465	0.071861
SLC15A3	0.269782	0.250279	0.059511	0.056754	0.102707	0.124116	0.35013	0.384701	0.39551	0.031086	0.03282	0.029162
SLC17A5	0.015774	0.065153	0.08767	0.092988	0.016039	0.016908	0.053373	0.018572	0.16421	0.018579	0.0	0.016737
SLC1A4	0.05365	0.056722	0.0	0.020896	0.046711	0.091408	0.057105	0.02806	0.014397	0.024502	0.042363	0.057931
SLC38A1	0.260915	0.287664	0.377352	0.366669	0.370013	0.312736	0.149392	0.107826	0.100796	0.385596	0.419268	0.341245
SLC4A1AP	0.177049	0.198067	0.204282	0.194008	0.193257	0.213371	0.189855	0.190311	0.202535	0.186445	0.193782	0.205562
SLC6A13	0.0642	0.009152	0.007336	0.002006	0.200585	0.01391	0.162599	0.161331	0.013219	0.046405	0.0	0.040392
SLC7A7	0.256642	0.270234	0.051647	0.052618	0.086647	0.133465	0.328945	0.452762	0.441875	0.024086	0.014672	0.022943
SLC9A3R1	0.621647	0.54651	0.54137	0.539527	0.549181	0.709836	0.648342	0.649137	0.59941	0.485688	0.446853	0.54137
SLCO2B1	0.026432	0.015872	0.045811	0.044197	0.04398	0.048024	0.050217	0.073275	0.061438	0.029479	0.055295	0.027616
SMARCD3	0.560494	0.564306	0.295314	0.251675	0.333843	0.337415	0.803294	1.0	0.962389	0.277917	0.35115	0.256184
SOCS2	0.066878	0.062143	0.098322	0.095954	0.087545	0.097678	0.050789	0.037459	0.037141	0.084429	0.084449	0.116969
SPAG4	0.034897	0.032414	0.038877	0.017663	0.017829	0.0238	0.031695	0.0	0.010693	0.080692	0.034066	0.06059
STAB2	0.353302	0.199838	0.424584	0.783683	0.639718	0.483028	0.416829	0.291521	0.359174	0.482708	0.686865	0.469564
STEAP4	0.200595	0.232603	0.102593	0.051373	0.117058	0.087169	0.327863	0.333005	0.317348	0.049502	0.016422	0.064604
SYNE1	0.0829	0.138514	0.13568	0.152619	0.096075	0.117779	0.094594	0.092191	0.102703	0.11441	0.103546	0.122386
TAGLN	0.729054	0.725519	0.364556	0.370561	0.391423	0.44105	0.961093	0.980831	1.0	0.400255	0.365729	0.342297
TBC1D8	0.317193	0.302356	0.112712	0.158355	0.171238	0.201445	0.40009	0.53374	0.52221	0.039724	0.0	0.075451
TCL1A	0.172554	0.163642	0.040928	0.050278	0.047674	0.050289	0.187962	0.124259	0.118129	0.034972	0.022602	0.010191
TFEC	0.402661	0.471848	0.487932	0.542429	0.361488	0.405836	0.535291	0.588903	0.48259	0.537137	0.425414	0.389956
TGM3	0.194948	0.197374	0.103145	0.177891	0.195655	0.209884	0.602117	0.245335	0.236408	0.088605	0.19165	0.139844
TLL1	0.240348	0.131895	0.35291	0.159553	0.175275	0.36101	0.146695	0.197834	0.184856	0.175303	0.199611	0.194313
TLR5	0.400237	0.404531	0.309068	0.236727	0.208625	0.276302	0.55862	0.5645	0.614783	0.24745	0.216928	0.126807
TLR8	0.562923	0.565127	0.147437	0.125542	0.239292	0.30497	0.898459	0.819131	0.820895	0.060179	0.033484	0.113576
TM4SF5	0.073674	0.068825	0.160689	0.071928	0.060488	0.216913	0.144773	0.271361	0.179335	0.102357	0.121839	0.016535
TMC6	0.607751	0.614518	0.928523	0.885302	0.894448	0.819529	0.597906	0.470004	0.458145	1.0	0.885637	0.899652
TMEM9B	0.305746	0.299699	0.279389	0.281213	0.301533	0.400036	0.26083	0.33973	0.339153	0.263498	0.315833	0.302113
TMF1	0.08324	0.094274	0.102423	0.109334	0.089557	0.114077	0.099226	0.090816	0.105476	0.07022	0.08133	0.115898
TNFRSF10C	0.224026	0.178818	0.166081	0.235153	0.173835	0.195359	0.420527	0.258813	0.239279	0.232879	0.15938	0.217979
TNFRSF13B	0.222713	0.217826	0.098677	0.112427	0.110507	0.129191	0.215125	0.152595	0.144663	0.116047	0.126765	0.038732
TNFRSF25	0.461059	0.445951	0.873372	0.909546	0.621332	0.301636	0.342289	0.20477	0.21719	1.0	0.70339	0.885271
TNNI2	0.401435	0.365968	0.257638	0.101467	0.100304	0.346802	0.887394	0.761333	0.768833	0.027378	0.08477	0.122776
TOMM22	0.860021	0.830629	0.971919	0.980879	0.957884	0.834377	0.665825	0.788664	0.803547	0.952693	1.0	0.887445
TOMM34	0.269708	0.237325	0.279204	0.276955	0.223179	0.197667	0.228916	0.208955	0.20169	0.279204	0.21	0.252072
TRAF3IP2	0.828625	0.779417	0.963322	0.913998	0.822528	0.556381	0.617829	0.660392	0.650667	1.0	0.803729	0.976431
TRAK1	0.872648	0.935306	0.694852	0.638842	0.647084	0.773947	0.887024	0.953352	1.0	0.609497	0.717033	0.621473
TRAT1	0.405323	0.455044	0.859798	0.856106	0.548384	0.180817	0.275893	0.227538	0.230237	0.82245	0.581126	0.875959
TREM1	0.121439	0.111144	0.024376	0.014875	0.052692	0.071065	0.248461	0.210854	0.199614	0.008086	0.003586	0.006871
TREML2	0.17001	0.168716	0.173038	0.022841	0.030374	0.070429	0.487102	0.199971	0.156678	0.0	0.04463	0.077112
TRIB1	0.22117	0.218611	0.06853	0.068039	0.097601	0.144404	0.463763	0.506823	0.510173	0.049962	0.033021	0.085248
TSPAN7	0.487054	0.669844	0.64558	0.406413	0.085258	0.24547	0.203738	0.240585	0.073401	0.413915	0.474543	0.309152
TUBB6	0.150057	0.145226	0.040983	0.0	0.095402	0.07498	0.186475	0.233946	0.252814	0.118788	0.106109	0.060647
TULP2	0.059689	0.060067	0.067951	0.107247	0.032294	0.063652	0.101006	0.063076	0.366511	0.110612	0.0	0.47905
TYRO3	0.133614	0.018451	0.231339	0.210604	0.27449	0.0	0.057111	0.078147	0.16708	0.371372	0.041411	0.101018
UBE2J1	0.228561	0.233345	0.202175	0.190248	0.209455	0.223808	0.265986	0.249559	0.241446	0.189264	0.212111	0.187955
ULK2	0.501676	0.513122	0.423606	0.496512	0.439339	0.562534	0.494876	0.430804	0.5212	0.458406	0.463675	0.413
WEE1	0.257336	0.293565	0.29527	0.341411	0.309839	0.32879	0.200479	0.168387	0.094664	0.340866	0.297711	0.372919
YTHDF3	0.128093	0.142813	0.14048	0.120368	0.149918	0.170555	0.19936	0.213789	0.202153	0.138328	0.166825	0.125077
ZC3H12A	0.584332	0.575705	0.392606	0.396727	0.460935	0.516122	0.640819	0.854986	0.894217	0.399089	0.411619	0.391175
ZDHHC13	0.292342	0.301109	0.388125	0.366844	0.334922	0.331961	0.309391	0.276259	0.303121	0.383162	0.36187	0.393479
ZNF180	0.271506	0.138668	0.112096	0.068638	0.219008	0.107021	0.212448	0.095299	0.062801	0.244466	0.061763	0.097013
ZNF189	0.193701	0.183416	0.246985	0.279805	0.251719	0.247336	0.216853	0.131499	0.137493	0.212559	0.298993	0.19084
ZNF34	0.738846	0.718288	0.665285	0.660681	0.779195	1.0	0.600524	0.674124	0.613651	0.571776	0.697387	0.638835
ZNF552	0.003755	0.023364	0.043833	0.02927	0.06043	0.013921	0.063675	0.0	0.053267	0.010414	0.078215	0.010692
ZNF593	0.858408	0.852396	0.760261	0.772999	0.855181	0.878694	0.943549	1.0	0.983042	0.784497	0.774291	0.871053
