Gene	A	B	C	D	E	F	G	H	I	J	K	L
IKZF3	0.350779	0.344723	0.388488	0.410683	0.411332	0.448529	0.355753	0.431445	0.488754	0.415009	0.427768	0.452797
IL18	0.85718	0.819023	0.953498	0.901876	0.840546	0.795019	0.766081	0.728126	0.685311	1.0	0.825422	0.917623
IL1R2	0.030332	0.031148	0.01193	0.013711	0.021357	0.028605	0.109549	0.034117	0.033319	0.005707	0.019002	0.007474
IL22RA2	0.042221	0.013699	0.019303	0.049004	0.069271	0.090286	0.082641	0.104512	0.049813	0.107565	0.061587	0.08076
IL2RB	0.386941	0.390799	0.254826	0.257872	0.440884	0.837229	0.168076	0.054621	0.052411	0.195341	0.30001	0.219341
IL32	0.467998	0.475948	0.83507	0.839976	0.724544	0.334581	0.163546	0.108873	0.116976	0.815059	0.80167	0.926948
IL3RA	0.034349	0.019132	0.026221	0.023349	0.022009	0.02796	0.034153	0.032302	0.035133	0.014942	0.0	0.030938
IL7R	0.282155	0.281032	0.528076	0.518588	0.473075	0.069314	0.133292	0.080451	0.087851	0.497497	0.498162	0.510436
INSR	0.049198	0.033616	0.089279	0.022291	0.036149	0.053842	0.0	0.02362	0.037766	0.053895	0.024965	0.021584
ITGA6	0.065918	0.070747	0.124515	0.13995	0.121299	0.09392	0.024011	0.012692	0.002744	0.16156	0.16036	0.112166
ITK	0.345913	0.339197	0.565378	0.55632	0.519898	0.362671	0.156739	0.091586	0.091236	0.574852	0.514757	0.532313
ITM2A	0.539139	0.599241	0.98537	1.0	0.710672	0.520152	0.246525	0.173054	0.155218	0.999003	0.778787	0.967355
ITM2C	0.102667	0.10222	0.123368	0.12059	0.119467	0.040088	0.082663	0.040827	0.04212	0.13118	0.12782	0.113241
ITPRIPL2	0.095351	0.115569	0.043279	0.055725	0.07039	0.032512	0.148081	0.210858	0.212801	0.028081	0.072939	0.053729
KANK1	0.146841	0.161255	0.280276	0.265268	0.116192	0.003915	0.074012	0.096316	0.085999	0.288766	0.157614	0.26549
KCND3	0.145764	0.203953	0.227875	0.130223	0.277227	0.20266	0.248941	0.279112	0.424583	0.266182	0.330245	0.184826
KCNJ15	0.025716	0.018369	0.003451	0.009534	0.012219	0.019162	0.09878	0.015809	0.008767	0.015086	0.004537	0.004815
KCNJ2	0.234844	0.225751	0.039946	0.033256	0.066329	0.101292	0.305848	0.343341	0.361001	0.004671	0.006658	0.027196
KCNK17	0.00858	0.025242	0.011669	0.077163	0.074251	0.04221	0.0167	0.062988	0.054232	0.021005	0.050948	0.029322
KCTD12	0.084332	0.094158	0.023049	0.024989	0.03408	0.034856	0.097691	0.182614	0.17078	0.020257	0.01266	0.01231
KIAA0125	0.516692	0.604241	0.227207	0.114769	0.285628	0.289608	0.536434	0.410322	0.311566	0.18592	0.231372	0.0
KIAA1324	0.053201	0.055023	0.099485	0.103512	0.074158	0.037959	0.122281	0.022441	0.013844	0.121669	0.076445	0.121472
KIAA1598	0.18438	0.198268	0.039989	0.040384	0.057607	0.094103	0.274982	0.396862	0.428155	0.020962	0.0	0.056734
KIF16B	0.236562	0.209349	0.309341	0.294659	0.184879	0.211061	0.118218	0.211121	0.195848	0.265885	0.248981	0.294996
KIF21A	0.638763	0.575453	0.781816	0.793144	0.983702	0.780972	0.394132	0.514381	0.455936	0.830728	1.0	0.770489
KIT	0.126711	0.139683	0.132111	0.136395	0.163993	0.201554	0.151739	0.0	0.01883	0.153731	0.164491	0.169274
KLF4	0.223974	0.244001	0.059251	0.052476	0.082386	0.136497	0.374939	0.638691	0.607405	0.053226	0.030473	0.045409
KLRA1	0.143369	0.422287	0.167264	1.0	0.664277	0.11589	0.381232	0.036738	0.016726	0.341219	0.37037	0.12724
KLRB1	0.431285	0.415426	0.44212	0.483106	0.563085	1.0	0.242511	0.117299	0.114828	0.417078	0.575363	0.527159
KLRC3	0.195744	0.183209	0.120044	0.121493	0.347539	0.421307	0.06764	0.081475	0.060341	0.026235	0.404939	0.014167
KLRC4	2.8e-05	0.072266	0.007773	0.093197	0.017263	0.062881	0.009072	0.010324	0.009937	0.022212	0.005005	0.005631
KLRD1	0.406887	0.40286	0.174932	0.184011	0.538503	1.0	0.149733	0.058245	0.050585	0.039208	0.466921	0.01915
KLRF1	0.193983	0.189364	0.093307	0.103757	0.231638	0.656507	0.103729	0.032061	0.037601	0.034691	0.132762	0.029946
KLRG1	0.34031	0.360336	0.409056	0.414485	0.841681	0.435856	0.134931	0.089224	0.09716	0.287692	0.91207	0.366464
KLRK1	0.0075	0.0	0.013516	0.01706	0.021896	0.022912	0.000989	0.002418	0.003165	0.012033	0.01978	0.01022
KRT23	0.018076	0.021474	0.002299	0.004034	0.015564	0.004989	0.089524	0.00112	0.011507	0.004434	0.0	0.000177
KRT5	0.003118	0.002762	0.004165	0.0046	0.002621	0.00185	0.006452	0.00676	0.001569	0.003253	0.015459	0.0
LAMP3	0.047073	0.043061	0.045177	0.048776	0.043566	0.036932	0.050609	0.049331	0.036655	0.054497	0.054276	0.047966
LBH	0.470713	0.478365	0.780731	0.739632	0.666216	0.640137	0.265358	0.157114	0.157879	0.704088	0.761548	0.575026
LCK	0.054107	0.053922	0.106797	0.105481	0.101123	0.069899	0.03209	0.017428	0.015117	0.102193	0.10295	0.108898
LDLRAP1	0.144783	0.138971	0.294697	0.309166	0.293286	0.101904	0.084294	0.072249	0.076357	0.320264	0.334408	0.231354
LEPREL1	0.038295	0.012093	0.010233	0.054228	0.053566	0.028868	0.057126	0.031101	0.037612	0.029845	0.010627	0.013953
LGALS2	0.164499	0.154231	0.023006	0.022278	0.041172	0.058616	0.214761	0.27279	0.278494	0.006694	0.003454	0.020669
LGMN	0.074663	0.067878	0.087894	0.091381	0.070613	0.02989	0.076531	0.074317	0.07319	0.092509	0.086431	0.084419
LILRA3	0.634693	0.632861	0.077179	0.083453	0.192035	0.27183	0.891907	0.992605	1.0	0.005793	0.0	0.037113
LILRA4	0.008302	0.006427	0.002219	0.001478	0.006922	0.006772	0.00926	0.009833	0.007656	0.011365	0.0	0.002619
LOC100233209	0.012218	0.035188	0.142281	0.181476	0.035513	0.009712	0.079246	0.026909	0.001216	0.184409	0.160787	0.017105
LOC439949	0.168704	0.154183	0.267968	0.271982	0.22744	0.22124	0.064324	0.036058	0.001672	0.266271	0.287645	0.295639
LOC643733	0.469628	0.475694	0.581557	0.6398	0.736915	0.559952	0.308323	0.193049	0.173189	0.611012	1.0	0.738477
LOC650392	0.0	0.004195	0.03768	0.067261	0.099445	0.01634	0.057632	0.112457	0.107426	0.036396	0.019116	0.036813
LOC90925	1.0	0.916198	0.175591	0.279248	0.282279	0.37352	0.849867	0.564154	0.501313	0.14407	0.225488	0.017983
LRRN3	0.223245	0.228895	0.419259	0.370815	0.545288	0.036765	0.113801	0.081783	0.070563	0.344999	0.554503	0.120833
LTF	0.100498	0.106273	0.087919	0.046443	0.056474	0.075095	0.223841	0.056928	0.072106	0.094048	0.081494	0.516735
LY86	0.425289	0.415047	0.04304	0.048582	0.095421	0.151338	0.552329	0.628905	0.644326	0.009001	0.012481	0.014485
LYRM2	0.641855	0.633504	0.660433	0.5976	0.652133	0.543465	0.46368	0.597058	0.544062	0.617102	0.686083	0.59321
MAFB	0.429703	0.481333	0.063367	0.060052	0.140627	0.226437	0.621709	0.902189	0.955249	0.029831	0.016398	0.029175
MAFF	0.042194	0.041986	0.029655	0.029369	0.050323	0.103925	0.033359	0.039423	0.033306	0.028	0.059278	0.027665
MAK	0.071837	0.087524	0.008705	0.030521	0.068172	0.064742	0.31986	0.090896	0.110688	0.046059	0.0	0.02871
MAL	0.568544	0.518386	0.994014	0.960491	0.65063	0.082396	0.279998	0.172792	0.168959	1.0	0.702265	0.873742
MANSC1	0.092444	0.093029	0.026628	0.030815	0.032899	0.05694	0.261403	0.064383	0.055377	0.069668	0.013844	0.052865
METTL8	0.013838	0.01893	0.015883	0.008723	0.009574	0.010207	0.005744	0.0	0.005774	0.008545	0.019038	0.024587
MFHAS1	0.20368	0.223493	0.465864	0.441606	0.235381	0.196547	0.124615	0.147474	0.099542	0.483694	0.302468	0.466325
MGAM	0.029975	0.031504	0.009788	0.014578	0.022347	0.042657	0.095025	0.014195	0.02356	0.022888	0.008988	0.006178
MGC29506	0.29859	0.301916	0.181803	0.213026	0.225551	0.176962	0.336321	0.160287	0.164621	0.195616	0.233689	0.045379
MGST1	0.241902	0.229942	0.031268	0.035091	0.068729	0.098516	0.351481	0.471002	0.471002	0.00325	0.0	0.060025
MME	0.070138	0.075625	0.01384	0.01631	0.039661	0.051227	0.391283	0.003283	0.007106	0.0	0.003643	0.000122
MMP12	0.0	0.033815	0.01509	0.120905	0.024844	0.005889	0.019323	0.036584	0.012882	0.008833	0.013802	0.053368
MPHOSPH6	0.513834	0.730096	0.603049	0.741954	0.482778	0.666166	0.356861	1.0	0.733484	0.347723	0.729957	0.749294
MS4A1	0.005713	0.010135	0.002114	0.003056	0.00205	0.004916	0.009563	0.006218	0.003578	0.005143	0.000883	0.00367
MS4A6A	0.458254	0.440716	0.063945	0.060275	0.138787	0.22835	0.532164	0.770101	0.791759	0.007443	0.0	0.034493
MS4A7	0.471825	0.505306	0.086152	0.07353	0.144756	0.223248	0.591085	0.915637	0.907593	0.004633	0.0	0.01772
MXD1	0.223939	0.221686	0.062656	0.067411	0.099652	0.18931	0.501204	0.395557	0.404158	0.051416	0.05291	0.068244
MYBL1	0.072638	0.069378	0.074147	0.072434	0.104238	0.165504	0.044285	0.012684	0.011271	0.087554	0.121592	0.075574
MYC	0.577564	0.595308	0.710892	0.742142	0.483866	0.139836	0.378135	0.324848	0.329712	0.559047	0.408828	0.511891
MYOF	0.184691	0.232509	0.068787	0.074321	0.086276	0.116208	0.253965	0.395217	0.398876	0.058938	0.051061	0.032759
NAP1L5	0.414084	0.475659	0.535083	0.551202	0.734883	0.846132	0.245416	0.197527	0.179575	0.604962	1.0	0.566949
NAPSB	0.171091	0.167709	0.027321	0.026564	0.042101	0.055483	0.193943	0.226203	0.224947	0.008356	0.014284	0.069742
NAV1	0.014485	0.004027	0.003766	0.010575	0.007096	0.0	0.002849	0.011657	0.018747	0.005877	0.009165	0.028583
NCAM1	0.224788	0.187568	0.115086	0.097224	0.164551	0.569769	0.095304	0.038971	0.030647	0.010201	0.063512	0.0
NELL2	0.370518	0.386667	0.611082	0.587535	0.837957	0.065134	0.173023	0.121713	0.117023	0.56009	0.94849	0.432759
NFE2	0.22885	0.221761	0.065212	0.072537	0.115241	0.136298	0.764722	0.276702	0.25618	0.031092	0.083187	0.100473
NKG7	0.325922	0.31307	0.206025	0.208827	0.393072	1.0	0.173808	0.069857	0.07212	0.10896	0.334969	0.131516
NLRC3	0.183306	0.150538	0.229167	0.216202	0.213367	0.245207	0.103235	0.076844	0.067186	0.22502	0.226164	0.227382
NLRC4	0.212959	0.180648	0.000783	0.0	0.113561	0.131966	0.276504	0.294035	0.358358	0.054455	0.052122	0.025359
NLRP7	0.02082	0.003754	0.089105	0.048975	0.079808	0.044516	0.044768	0.011866	0.0	0.012585	0.054883	0.013592
NOG	0.257003	0.187393	0.40241	0.456525	0.377848	0.035806	0.05418	0.066194	0.114314	0.351936	0.350994	0.205414
NPC1	0.05934	0.064374	0.050932	0.062423	0.08351	0.15695	0.033465	0.030869	0.03452	0.050092	0.089969	0.069078
NRP1	0.06001	0.074674	0.039125	0.053245	0.035452	0.030816	0.077862	0.080984	0.101312	0.036727	0.041406	0.092512
NT5E	0.440564	0.496834	0.287491	0.295248	0.564569	0.076537	0.354294	0.287106	0.148469	0.165271	0.674469	0.201866
OASL	0.175398	0.193168	0.122079	0.12201	0.153507	0.166475	0.311676	0.351535	0.336202	0.12455	0.158562	0.160311
OCIAD2	0.433344	0.448726	0.757718	0.834998	0.648463	0.387619	0.261162	0.12333	0.114076	0.829048	0.684105	0.837024
ODF2L	0.406439	0.397417	0.557143	0.53443	0.500514	0.349383	0.270689	0.250737	0.226465	0.564269	0.53467	0.656012
OLFM4	0.074242	0.156061	0.527273	0.168595	0.415152	0.337063	0.687879	0.39697	0.528671	1.0	0.361879	0.809091
OLIG1	0.243611	0.219033	0.02573	0.039584	0.065204	0.165595	0.330529	0.420694	0.422135	0.036616	0.043279	0.039474
OXNAD1	0.052629	0.05106	0.105103	0.095849	0.120816	0.061314	0.026367	0.0	0.00428	0.114572	0.161343	0.085066
P2RX5	0.056729	0.055579	0.031135	0.025208	0.021987	0.01514	0.035836	0.02272	0.025269	0.019122	0.022664	0.0
P2RY10	0.428051	0.425707	0.603109	0.610756	0.463073	0.202446	0.238947	0.163511	0.154629	0.629876	0.534106	0.766993
PACSIN1	0.049602	0.042115	0.050616	0.059622	0.07217	0.077445	0.028896	0.0	0.010622	0.058142	0.079473	0.066855
PADI4	0.5554	0.571748	0.13947	0.139231	0.298839	0.213169	1.0	0.820108	0.77174	0.08534	0.225986	0.114818
PAPD5	0.062764	0.061398	0.055814	0.043055	0.079609	0.096779	0.022775	0.035347	0.029277	0.053189	0.076204	0.043354
PDGFC	0.170664	0.218137	0.097659	0.026039	0.042953	0.135308	0.281605	0.365791	0.378063	0.048543	0.026183	0.08912
PDK4	0.027919	0.098002	0.044585	0.027338	0.087411	0.048224	0.17229	0.145853	0.138504	0.026503	0.012511	0.014993
PDLIM1	0.141311	0.133118	0.050913	0.050627	0.072119	0.112046	0.11243	0.051974	0.059157	0.044881	0.050817	0.047124
PFKFB2	0.039007	0.036702	0.013741	0.00461	0.023936	0.046986	0.032358	0.011986	0.049246	0.001906	0.013974	0.0
PFN2	0.323708	0.292496	0.50396	0.602891	0.490935	0.290901	0.182666	0.078153	0.007096	0.567501	0.717019	0.475816
PGAP1	0.222299	0.196121	0.340796	0.301813	0.211965	0.152646	0.093713	0.135558	0.075163	0.34297	0.264715	0.291195
PHLDA2	0.087731	0.010738	0.021476	0.132968	0.022618	0.071053	0.198538	0.280786	0.275017	0.008773	0.019191	0.020836
PI3	0.133219	0.125485	0.034786	0.029318	0.068455	0.089667	0.804024	0.040551	0.044389	0.0	0.006745	0.021517
PIK3IP1	0.602259	0.584684	0.936679	0.92699	0.836444	0.368248	0.359702	0.234484	0.241229	1.0	0.814652	0.771918
PKHD1L1	0.521039	0.687189	0.06673	0.354051	0.210041	0.315602	0.293931	0.5449	0.57491	0.190467	0.15062	0.308444
PKIB	0.036613	0.063184	0.019911	0.184271	0.142821	0.100858	0.129991	0.270817	0.402912	0.077228	0.285621	0.177439
PLA2G7	0.425206	0.436427	0.061798	0.076498	0.169054	0.219851	0.622285	1.0	0.945545	0.021723	0.04634	0.034082
PLCB1	0.262482	0.257563	0.172365	0.072348	0.259498	0.398057	0.278058	0.413596	0.348468	0.234739	0.303802	0.21152
PLS3	0.020597	0.034012	0.101082	0.084263	0.052757	0.023177	0.031988	0.142026	0.094547	0.095235	0.061528	0.11312
PNOC	0.239968	0.25041	0.041992	0.053986	0.061033	0.081724	0.23873	0.177414	0.164474	0.023594	0.026779	0.016718
PON2	0.128032	0.137439	0.0957	0.092344	0.113001	0.214038	0.129122	0.162811	0.171803	0.073399	0.093573	0.091311
POU2AF1	0.184917	0.200249	0.061155	0.064229	0.060305	0.066597	0.158953	0.101122	0.105858	0.053178	0.060415	0.051516
PPAPDC1B	0.178485	0.196671	0.06824	0.072922	0.075124	0.05252	0.166476	0.097959	0.094132	0.05725	0.07436	0.072492
PPBP	0.140525	0.148872	0.099051	0.090806	0.112459	0.113643	0.168348	0.157002	0.153497	0.117326	0.115813	0.152739
PROK2	0.174386	0.177531	0.071767	0.070444	0.131794	0.104833	0.667689	0.1852	0.189535	0.046923	0.112165	0.062852
PRSS23	0.34532	0.329415	0.194074	0.194477	0.478887	1.0	0.156443	0.083948	0.08139	0.095615	0.38774	0.122162
PTGDS	0.034439	0.035641	0.010548	0.015211	0.032249	0.139694	0.018838	0.000642	0.0	0.002516	0.006303	0.00456
PTGS1	0.109205	0.10769	0.020851	0.022427	0.036431	0.069463	0.159708	0.237573	0.230834	0.0	0.018857	0.043679
PTGS2	0.530403	0.57063	0.105927	0.095071	0.229335	0.347853	1.0	0.903442	0.988765	0.009758	0.012409	0.045326
PVRIG	0.573947	0.551958	0.626244	0.605762	0.845921	1.0	0.26233	0.129846	0.138211	0.596899	0.865143	0.610745
PYHIN1	0.514458	0.495653	0.5436	0.54429	0.671588	1.0	0.199852	0.110378	0.112135	0.437139	0.486418	0.555926
RAB30	0.628603	0.612133	0.44811	0.464178	0.408564	0.333516	0.549847	0.396377	0.410376	0.462256	0.466646	0.503706
RAB7B	0.016512	0.0086	0.000619	0.005054	0.000573	0.000917	0.000344	0.004197	0.0	0.008256	0.013187	0.064155
RARRES3	0.603627	0.58552	0.768469	0.761859	0.793764	1.0	0.362961	0.30807	0.315918	0.694368	0.783455	0.703324
RASD1	0.022914	0.026503	0.010273	0.011981	0.024683	0.049155	0.025564	0.034364	0.038254	0.013529	0.033268	0.017223
RASGRP1	0.109529	0.113107	0.205099	0.211613	0.167299	0.119423	0.076489	0.042548	0.046825	0.229915	0.209683	0.25213
RASGRP3	0.946289	0.989258	0.445313	0.503309	0.421875	0.349338	0.944336	0.541992	0.485677	0.442383	0.392393	0.457031
RASSF4	0.127024	0.123952	0.032139	0.033849	0.070991	0.164465	0.179581	0.250358	0.239045	0.0	0.012442	0.009331
RBMS3	0.089121	0.025719	0.278351	0.135648	0.218448	0.151384	0.259902	0.148424	0.366251	0.203473	0.151926	0.096039
RBP7	0.329421	0.327158	0.063195	0.077451	0.108819	0.174952	0.628495	0.658059	0.676408	0.01342	0.018002	0.056808
RGS7	0.002924	0.028327	0.026616	0.015993	0.010006	0.132351	0.029212	0.015934	0.05334	0.014163	0.00177	0.018226
RHOH	0.194403	0.175601	0.27922	0.27499	0.249188	0.100119	0.127829	0.097812	0.08396	0.356736	0.303314	0.32175
RIN2	0.438281	0.45989	0.078499	0.020122	0.153279	0.254881	0.778176	0.947954	1.0	0.0	0.010889	0.029455
RNASE2	0.544851	0.579576	0.080684	0.083758	0.154112	0.209435	0.717098	1.0	0.993194	0.037494	0.02255	0.336511
RNF165	0.431709	0.483888	0.276606	0.321457	0.443919	1.0	0.178893	0.06602	0.012694	0.195346	0.298963	0.04528
ROBO1	0.037143	0.00613	0.067048	0.033371	0.011604	0.032	0.046857	0.013143	0.001905	0.028044	0.027619	0.155301
RORA	0.182721	0.18815	0.259365	0.235389	0.286516	0.283283	0.068145	0.051156	0.031878	0.289955	0.33945	0.346582
RRAS2	0.663888	0.724582	0.540943	0.414794	0.720524	0.998589	0.442203	0.358052	0.268823	0.42411	0.799739	0.409157
RTN1	0.203752	0.210465	0.037119	0.031298	0.06005	0.091637	0.302506	0.419305	0.411587	0.000741	0.0	0.01117
S100A12	0.063602	0.080915	0.010339	0.012607	0.022772	0.035796	0.158813	0.152977	0.163531	0.00309	0.0	0.012401
S100A8	0.404679	0.396688	0.099255	0.100256	0.178485	0.266943	0.677584	0.510132	0.626126	0.0	0.002896	0.161048
S100A9	0.588817	0.629298	0.133743	0.129704	0.23441	0.432221	0.91653	0.774151	0.76503	0.002807	0.009465	0.145404
S100B	0.002002	0.002224	0.004448	0.031806	0.037011	0.0	0.002022	0.003448	0.000547	0.008937	0.001061	0.002669
S100P	0.120537	0.126209	0.026763	0.028305	0.051176	0.079063	0.578839	0.128783	0.118288	0.008094	0.005974	0.064297
S1PR1	0.435171	0.461492	0.800253	0.756157	0.621546	0.452122	0.267166	0.173979	0.162849	0.930881	0.817724	1.0
S1PR5	0.376518	0.38278	0.20783	0.220079	0.482067	1.0	0.144841	0.048948	0.04897	0.090994	0.424025	0.106235
SCML4	0.09058	0.08597	0.128693	0.129793	0.121955	0.111851	0.028158	0.000723	0.016351	0.108252	0.114976	0.082043
SCN3A	0.238949	0.313756	0.29459	0.063369	0.221981	0.387944	0.130187	0.297063	0.477351	0.147783	0.244719	0.080792
SCN9A	0.158724	0.066768	0.168598	0.318625	0.277439	0.245122	0.156951	0.214939	0.153968	0.266159	0.338415	0.247683
SERPINF1	0.001371	0.000673	0.0	0.004554	0.004557	0.001876	0.005363	0.005794	0.009031	0.001431	1.8e-05	0.002321
SH2D1A	0.334144	0.346858	0.515019	0.482384	0.615123	0.675127	0.155708	0.093656	0.097167	0.416109	0.6571	0.507568
SIRPG	0.401317	0.42425	0.959735	1.0	0.69969	0.085206	0.202965	0.159637	0.078814	0.986107	0.796816	0.894431
SIRT2	0.197904	0.195385	0.179413	0.170963	0.222781	0.30107	0.260896	0.300149	0.274807	0.172179	0.174043	0.184501
SKAP1	0.629377	0.622873	0.909765	0.925648	0.846269	0.903038	0.302409	0.157876	0.157805	0.853871	0.893691	1.0
SKI	0.085302	0.056271	0.072689	0.076772	0.070356	0.095801	0.082021	0.089167	0.090456	0.065092	0.079253	0.102012
SLAMF1	0.40182	0.423073	0.810115	0.754707	0.584166	0.109089	0.215555	0.185377	0.228307	0.847972	0.682942	1.0
SLAMF6	0.737039	0.678577	0.94697	0.918969	0.922075	0.938088	0.446983	0.180058	0.170029	0.775741	0.79089	1.0
SLAMF8	0.019868	0.041005	0.013512	0.010517	0.061427	0.050181	0.034358	0.058738	0.07445	0.0	0.043976	0.045129
SLC41A2	0.0081	0.03977	0.014337	0.04454	0.064191	0.0	0.13192	0.034862	0.062398	0.072776	0.064429	0.032036
SLC46A2	0.259169	0.296455	0.145579	0.051486	0.16077	0.174261	0.388005	0.623838	0.591519	0.087881	0.10489	0.002107
SLC7A7	0.421724	0.437718	0.047465	0.048992	0.1036	0.192528	0.536897	0.768377	0.747056	0.009653	0.0	0.008562
SLFN13	0.645554	0.587518	0.922995	0.839314	0.786271	1.0	0.333229	0.070515	0.184711	0.84649	0.778159	0.824961
SLFN5	0.382945	0.412118	0.615162	0.670433	0.493871	0.356521	0.209915	0.156263	0.168335	0.637644	0.580565	0.581299
SMPD3	0.025055	0.002244	0.008212	0.032305	0.0	0.019817	0.007218	0.039378	0.015609	0.066897	0.002576	0.017894
SMPDL3A	0.442594	0.391019	0.083912	0.091367	0.145365	0.218832	0.6335	1.0	0.928449	0.002867	0.010895	0.080854
SNHG9	0.668203	0.660796	0.683722	0.686383	0.821646	0.737361	0.57473	0.52503	0.525558	0.841604	1.0	0.658568
SPATS2L	0.06525	0.07283	0.087173	0.090369	0.098474	0.049197	0.057446	0.08368	0.080681	0.08264	0.119253	0.119798
SPOCK2	0.705463	0.674334	0.954935	0.894269	0.94502	0.701444	0.321341	0.20111	0.209918	0.927696	1.0	0.892363
SPON2	0.088696	0.10385	0.038667	0.049374	0.088308	0.328955	0.047175	0.008673	0.007906	0.012639	0.036951	0.0
SRPX	0.002772	0.023771	0.001706	0.0	0.019038	0.001157	0.003944	0.004731	0.001306	0.002025	0.002862	0.002985
SSPN	0.03135	0.067092	0.0	0.015397	0.170481	0.030971	0.011791	0.083923	0.09895	0.031627	0.031627	0.017201
ST8SIA1	0.348115	0.358472	0.800615	0.77703	0.474996	0.176436	0.309273	0.160382	0.291147	0.705131	0.39084	1.0
STAB1	0.168678	0.144497	0.0	0.073916	0.071469	0.101307	0.270049	0.368032	0.371128	0.016274	7.3e-05	0.02418
STAP1	0.215372	0.233581	0.096082	0.092433	0.093461	0.147691	0.184131	0.129971	0.13821	0.087056	0.037595	0.048199
STAT4	0.456794	0.460918	0.629845	0.645399	0.832059	0.918698	0.193455	0.092016	0.094659	0.551244	0.763119	0.496759
STEAP4	0.088382	0.105473	0.035802	0.008674	0.042856	0.02687	0.167232	0.170963	0.159663	0.008011	0.0	0.014686
STMN3	0.535998	0.517914	0.944792	0.916171	0.754346	0.136695	0.260689	0.146507	0.146135	1.0	0.830026	0.867673
SWAP70	0.469	0.448932	0.134854	0.148572	0.165858	0.229301	0.49208	0.517872	0.487307	0.123379	0.105725	0.121032
TACSTD2	0.084922	0.087544	0.005074	0.008926	0.017658	0.012595	0.152968	0.153059	0.151158	0.0	0.001857	0.145979
TBX21	0.091774	0.132824	0.125032	0.109641	0.109958	0.096873	0.106987	0.100309	0.109749	0.150827	0.124631	0.104385
TCF4	0.024103	0.025699	0.003055	0.004308	0.01151	0.009075	0.019278	0.016227	0.017268	0.003634	0.001364	0.0
TCL1A	0.082412	0.07631	0.011223	0.014639	0.013548	0.01466	0.09077	0.051928	0.049446	0.008947	0.004667	0.000341
TGFBR3	0.409099	0.428619	0.3718	0.357588	0.564325	1.0	0.162681	0.074423	0.074653	0.299211	0.587946	0.364439
THRB	0.0	0.02034	0.008641	0.04637	0.047423	0.026438	0.078696	0.028824	0.03448	0.006275	0.019031	0.022671
TIGIT	0.562207	0.599881	0.811226	0.728799	0.805637	0.866044	0.210034	0.066465	0.148211	0.768101	0.855316	1.0
TJP2	0.116795	0.109604	0.10666	0.139636	0.065444	0.09695	0.134653	0.15917	0.174324	0.141674	0.047143	0.139322
TKT	0.578869	0.597181	0.269497	0.260141	0.300705	0.335096	0.830113	1.0	0.992852	0.246449	0.212233	0.260583
TKTL1	0.211672	0.233992	0.172521	0.183193	0.242248	0.625997	0.097512	0.053238	0.077775	0.151543	0.164643	0.119523
TLE1	0.116878	0.11031	0.065615	0.049715	0.088231	0.220098	0.09101	0.052321	0.056887	0.033563	0.067571	0.018157
TLR10	0.208552	0.175791	0.018039	0.102066	0.09004	0.105355	0.192209	0.088034	0.121492	0.065988	0.08819	0.023743
TLR3	0.216368	0.363763	0.432808	0.200542	0.532901	0.847081	0.103336	0.126043	0.066728	0.282206	0.274328	0.244591
TLR4	0.172148	0.163685	0.003053	0.017011	0.069195	0.090988	0.293231	0.354955	0.363634	0.00418	0.004071	0.0
TLR7	0.168279	0.161368	0.015674	0.031578	0.059966	0.08222	0.217483	0.319261	0.31069	0.037985	0.0	0.000571
TMEM14A	0.071327	0.065993	0.10916	0.112051	0.084927	0.071939	0.04295	0.005594	0.000362	0.124071	0.101721	0.145966
TMEM170B	0.486234	0.520437	0.133693	0.154493	0.197548	0.238448	0.694028	0.973349	1.0	0.107195	0.129759	0.111653
TMEM176B	0.130051	0.129905	0.016961	0.028535	0.037966	0.059057	0.154291	0.27264	0.274186	0.006441	0.0	0.002925
TNFAIP6	0.100697	0.107614	0.015678	0.023264	0.044557	0.053839	0.210105	0.249185	0.248989	0.019448	0.001798	0.017164
TNFRSF10C	0.034526	0.025416	0.022695	0.037363	0.024263	0.028783	0.081783	0.043083	0.038304	0.036982	0.02108	0.033212
TNFRSF17	0.372558	0.352739	0.218513	0.236746	0.279663	0.231136	0.352739	0.181636	0.196985	0.204301	0.314165	0.005891
TNFRSF21	0.07684	0.075869	0.011711	0.010354	0.031103	0.043548	0.132389	0.192918	0.196996	0.001534	0.021768	0.023855
TOX2	0.146713	0.124469	0.278003	0.276177	0.218953	0.158076	0.230722	0.018669	0.144886	0.328937	0.254221	0.389205
TPM2	0.056075	0.056802	0.102272	0.091713	0.075147	0.063344	0.042925	0.024874	0.019522	0.118484	0.075	0.086258
TRAT1	0.175955	0.202182	0.480513	0.475091	0.259946	0.058606	0.10143	0.077907	0.078629	0.444731	0.283688	0.497355
TREM1	0.03956	0.035471	0.005332	0.00291	0.013168	0.019006	0.101091	0.08118	0.075118	0.001031	0.0	0.000733
TRIB2	0.164509	0.157954	0.32163	0.300256	0.165142	0.193748	0.10039	0.057167	0.073813	0.320883	0.186323	0.292232
TSPAN13	0.055763	0.056651	0.011709	0.007474	0.01445	0.018003	0.048945	0.029087	0.03072	0.007117	0.010111	0.007443
TSPAN33	0.176986	0.153184	0.054812	0.061071	0.060093	0.06178	0.168475	0.188029	0.167403	0.048964	0.045585	0.063463
TTC39A	0.044655	0.0	0.016932	0.017812	0.02676	0.003731	0.005491	0.011652	0.009598	0.019333	0.029795	0.010002
