Fill	Fill	Fill	Fill	Fill
Fill	0.38	0.31	0.05	0.26
Fill	0.01	0.64	0.03	0.32
Fill	0.27	0.33	0.32	0.08
Fill	0.03	0.04	0.05	0.88
Fill	0.08	0.9	0	0.02
Fill	0.14	0.53	0.2	0.13
Fill	0.06	0.67	0.05	0.22
Fill	0.64	0	0.27	0.09
Fill	0.12	0.17	0.47	0.24
Fill	0.09	0.34	0.02	0.55
Fill	0.1	0.09	0.01	0.8
Fill	0.51	0.04	0.11	0.34
Fill	0	0.09	0.87	0.04
Fill	0.04	0.37	0.14	0.45
Fill	0.25	0.63	0.11	0.01
Fill	0.03	0.85	0.11	0.01
Fill	0.36	0.02	0.19	0.43
Fill	0.86	0.04	0.06	0.04
Fill	0.03	0.2	0.4	0.37
Fill	0.31	0.09	0.37	0.23
Fill	0.57	0.21	0.05	0.17
Fill	0.22	0.3	0.47	0.01
Fill	0.02	0.03	0.49	0.46
Fill	0.13	0.01	0.01	0.85
Fill	0.29	0.29	0.26	0.16
Fill	0.08	0.32	0.45	0.15
Fill	0	0.01	0.61	0.38
Fill	0.79	0.1	0.09	0.02
Fill	0.42	0.12	0.15	0.31
Fill	0.38	0.6	0.02	0
Fill	0.13	0.14	0.7	0.03
Fill	0.46	0.05	0.36	0.13
Fill	0.02	0.65	0.2	0.13
Fill	0.99	0	0	0.01
Fill	0.06	0	0.71	0.23
Fill	0.12	0.11	0.58	0.19
Fill	0.25	0.19	0.07	0.49
Fill	0.37	0.46	0.03	0.14
Fill	0.05	0.83	0.05	0.07
Fill	0.4	0.24	0.16	0.2
Fill	0.01	0.01	0	0.98
Fill	0.01	0.91	0	0.08
Fill	0.14	0.2	0.35	0.31
Fill	0.02	0.01	0.05	0.92
Fill	0.31	0.57	0.08	0.04
Fill	0.05	0.72	0.14	0.09
Fill	0.12	0.07	0.41	0.4
Fill	0.26	0.07	0.3	0.37
Fill	0.07	0.54	0.29	0.1
Fill	0	0.38	0.02	0.6
Fill	0.34	0.36	0.04	0.26
Fill	0.01	0.9	0.01	0.08
Fill	0.6	0.11	0	0.29
Fill	0.02	0.31	0.44	0.23
Fill	0.42	0.14	0.27	0.17
Fill	0.06	0.88	0.03	0.03
Fill	0.14	0.8	0.04	0.02
Fill	0.01	0.97	0.01	0.01
Fill	0.16	0.01	0.81	0.02
Fill	0.13	0.04	0.82	0.01
Fill	0.16	0.81	0.01	0.02
Fill	0.02	0	0.94	0.04
Fill	0.11	0.05	0.3	0.54
Fill	0.38	0.42	0.07	0.13
Fill	0.16	0.13	0.16	0.55
Fill	0.47	0.29	0.09	0.15
Fill	0.16	0.05	0.5	0.29
Fill	0.11	0.74	0.15	0
Fill	0.04	0.03	0.03	0.9
Fill	0.01	0.12	0.79	0.08
Fill	0.72	0.03	0.07	0.18
Fill	0.11	0.86	0.02	0.01
Fill	0.04	0.91	0.02	0.03
Fill	0.65	0.18	0.11	0.06
Fill	0	0.81	0.18	0.01
Fill	0.45	0.31	0.18	0.06
Fill	0.07	0.36	0.04	0.53
Fill	0.4	0.04	0.1	0.46
Fill	0.13	0.36	0.34	0.17
Fill	0.13	0.52	0.01	0.34
Fill	0.12	0.62	0.05	0.21
Fill	0.05	0.08	0.78	0.09
Fill	0.1	0.05	0.07	0.78
Fill	0.03	0.08	0.86	0.03
Fill	0.71	0	0.27	0.02
Fill	0.56	0.31	0.1	0.03
Fill	0.13	0.74	0.04	0.09
Fill	0.07	0.03	0.52	0.38
Fill	0.13	0.13	0.34	0.4
Fill	0.04	0.09	0.29	0.58
Fill	0.21	0.5	0.29	0
Fill	0.47	0.02	0.42	0.09
Fill	0.01	0	0.99	0
Fill	0.05	0.88	0.02	0.05
Fill	0.23	0.17	0.05	0.55
Fill	0.6	0.29	0.06	0.05
Fill	0.04	0.03	0.93	0
Fill	0.01	0.98	0	0.01
Fill	0.37	0.09	0.23	0.31
Fill	0.48	0.28	0.07	0.17
Fill	0.53	0.21	0.22	0.04
Fill	0.4	0.53	0.06	0.01
Fill	0	0.9	0.09	0.01
Fill	0.92	0	0.08	0
Fill	0.03	0.07	0.88	0.02
Fill	0	0.05	0.04	0.91
Fill	0.77	0.1	0.07	0.06
Fill	0.12	0.11	0.03	0.74
Fill	0.2	0.31	0.4	0.09
Fill	0.07	0.02	0.88	0.03
Fill	0.03	0.19	0.67	0.11
Fill	0.09	0.36	0.55	0
Fill	0.2	0.29	0.27	0.24
Fill	0.39	0.41	0.18	0.02
Fill	0.35	0.59	0.02	0.04
Fill	0.2	0.18	0.13	0.49
Fill	0.04	0.25	0.05	0.66
Fill	0.2	0.24	0.04	0.52
Fill	0.7	0.11	0.05	0.14
Fill	0.24	0.39	0.19	0.18
Fill	0.14	0.48	0.2	0.18
Fill	0.26	0.09	0.1	0.55
Fill	0.32	0.44	0.14	0.1
Fill	0.01	0.65	0.01	0.33
Fill	0.2	0.37	0.21	0.22
Fill	0.9	0.05	0.04	0.01
Fill	0.28	0.59	0.12	0.01
Fill	0.28	0.71	0.01	0
Fill	0	0.04	0.89	0.07
Fill	0.31	0.18	0.28	0.23
Fill	0.02	0.02	0.87	0.09
Fill	0.11	0.1	0.39	0.4
Fill	0.07	0.11	0.74	0.08
Fill	0	0.01	0.76	0.23
Fill	0	0	0.01	0.99
Fill	0.09	0.48	0.19	0.24
Fill	0	0.94	0.01	0.05
Fill	0.96	0	0.02	0.02
Fill	0.31	0.52	0.17	0
Fill	0.1	0.06	0.15	0.69
Fill	0.22	0.23	0.41	0.14
Fill	0.52	0.19	0.13	0.16
Fill	0	0	0.01	0.99
Fill	0.05	0.34	0.36	0.25
Fill	0.6	0.2	0.05	0.15
Fill	0.51	0.01	0.47	0.01
Fill	0.59	0.26	0.03	0.12
Fill	0.17	0.13	0.07	0.63
Fill	0.09	0.34	0.55	0.02
Fill	0.13	0.09	0.72	0.06
Fill	0.18	0.07	0	0.75
Fill	0.06	0.04	0.06	0.84
Fill	0.11	0.01	0.29	0.59
Fill	0.67	0.02	0.29	0.02
Fill	0.67	0.03	0.29	0.01
Fill	0.45	0.29	0.16	0.1
Fill	0.02	0.96	0.01	0.01
Fill	0.1	0.34	0.03	0.53
Fill	0	0.94	0.01	0.05
Fill	0.01	0.02	0.27	0.7
Fill	0.84	0.04	0.07	0.05
Fill	0.19	0.77	0.04	0
Fill	0.02	0.2	0.22	0.56
Fill	0.15	0.32	0.42	0.11
Fill	0.05	0.38	0.31	0.26
Fill	0.13	0.79	0.08	0
Fill	0.18	0.66	0.06	0.1
Fill	0.28	0.54	0.01	0.17
Fill	0.14	0.05	0.6	0.21
Fill	0.74	0	0.16	0.1
Fill	0.26	0.2	0.54	0
Fill	0.02	0.28	0	0.7
Fill	0.66	0.23	0.11	0
Fill	0.02	0.35	0.47	0.16
Fill	0.56	0.08	0.19	0.17
Fill	0.1	0.05	0.74	0.11
Fill	0.88	0.06	0.03	0.03
Fill	0.04	0.15	0.61	0.2
Fill	0.56	0.06	0.32	0.06
Fill	0.25	0.2	0.02	0.53
Fill	0.51	0.23	0.18	0.08
Fill	0.07	0.3	0.58	0.05
Fill	0.52	0.08	0.23	0.17
Fill	0.04	0.92	0.01	0.03
Fill	0.63	0.28	0.01	0.08
Fill	0.42	0	0.01	0.57
Fill	0.03	0.2	0.16	0.61
Fill	0.08	0.29	0.37	0.26
Fill	0.04	0.8	0.01	0.15
Fill	0.05	0.88	0.06	0.01
Fill	0.01	0.4	0.53	0.06
Fill	0.02	0.97	0	0.01
Fill	0.14	0	0.2	0.66
Fill	0.35	0.11	0.13	0.41
Fill	0.39	0.51	0.03	0.07
Fill	0.01	0.05	0.08	0.86
Fill	0.13	0.78	0	0.09
Fill	0.15	0	0.14	0.71
Fill	0.46	0.4	0.05	0.09
Fill	0.34	0.33	0.15	0.18
Fill	0.1	0	0.01	0.89
Fill	0.17	0.47	0.31	0.05
Fill	0.2	0	0.01	0.79
Fill	0.23	0.06	0.65	0.06
Fill	0.64	0.04	0.2	0.12
Fill	0.05	0.59	0.25	0.11
Fill	0.18	0.24	0.31	0.27
Fill	0.54	0.22	0.12	0.12
Fill	0.03	0.17	0.04	0.76
Fill	0.1	0.44	0.4	0.06
Fill	0.07	0.02	0.05	0.86
Fill	0.04	0.63	0.29	0.04
Fill	0.16	0.04	0.02	0.78
Fill	0.18	0.03	0.04	0.75
Fill	0.02	0.04	0.06	0.88
Fill	0.05	0.86	0.01	0.08
Fill	0.06	0.6	0.15	0.19
Fill	0.45	0.38	0.05	0.12
Fill	0.13	0.27	0.51	0.09
Fill	0.04	0.12	0.6	0.24
Fill	0.55	0.41	0.02	0.02
Fill	0.01	0.16	0.29	0.54
Fill	0.49	0.18	0.24	0.09
Fill	0.46	0.29	0.03	0.22
Fill	0.47	0.15	0.11	0.27
Fill	0.33	0.06	0.33	0.28
Fill	0.68	0.03	0.1	0.19
Fill	0.03	0.75	0.17	0.05
Fill	0	0	0.99	0.01
Fill	0.67	0.21	0.09	0.03
Fill	0.35	0.14	0.44	0.07
Fill	0.02	0.27	0.08	0.63
Fill	0.5	0.37	0.02	0.11
Fill	0.4	0.27	0.28	0.05
Fill	0.08	0.06	0.25	0.61
Fill	0.31	0.03	0.63	0.03
Fill	0	0.12	0.22	0.66
Fill	0.06	0.5	0.23	0.21
Fill	0.78	0.02	0.19	0.01
Fill	0.07	0.14	0.28	0.51
Fill	0.02	0.05	0.89	0.04
Fill	0.04	0.19	0.16	0.61
Fill	0.12	0.57	0.04	0.27
Fill	0.04	0.03	0.52	0.41
Fill	0.3	0.02	0	0.68
Fill	0.01	0	0	0.99
Fill	0.21	0.26	0.44	0.09
Fill	0.21	0.28	0.1	0.41
Fill	0.13	0.37	0.36	0.14
Fill	0.32	0.18	0.41	0.09
Fill	0.52	0.19	0.19	0.1
Fill	0.78	0.04	0.13	0.05
Fill	0.06	0.47	0.21	0.26
Fill	0.95	0.02	0.01	0.02
Fill	0.06	0.05	0.53	0.36
Fill	0	0.15	0.77	0.08
Fill	0.01	0.29	0.05	0.65
Fill	0.04	0.13	0.43	0.4
Fill	0.44	0.1	0.36	0.1
Fill	0.44	0.22	0.07	0.27
Fill	0.24	0.41	0.1	0.25
Fill	0.01	0.74	0.15	0.1
Fill	0.1	0.28	0.61	0.01
Fill	0.38	0.26	0.14	0.22
Fill	0.29	0.35	0.35	0.01
Fill	0.06	0.1	0.08	0.76
Fill	0.75	0.02	0.22	0.01
Fill	0.99	0	0	0.01
Fill	0.3	0.04	0.45	0.21
Fill	0.39	0.4	0.1	0.11
Fill	0.63	0.08	0.01	0.28
Fill	0.02	0.8	0.13	0.05
Fill	0.07	0.2	0.01	0.72
Fill	0.29	0.51	0.07	0.13
Fill	0.23	0.74	0	0.03
Fill	0.19	0.02	0.02	0.77
Fill	0.4	0.47	0.1	0.03
Fill	0	0.05	0.79	0.16
Fill	0.6	0.38	0	0.02
Fill	0.19	0.01	0.53	0.27
Fill	0.07	0.68	0.19	0.06
Fill	0.18	0.76	0.04	0.02
Fill	0.66	0.13	0.05	0.16
Fill	0.24	0.14	0.02	0.6
Fill	0.02	0.01	0.83	0.14
Fill	0.82	0.02	0.09	0.07
Fill	0.12	0.87	0	0.01
Fill	0.28	0.03	0	0.69
