MADD	ENSG00000110514
NAV2	ENSG00000166833
ANKDD1A	ENSG00000166839
MAGED1	ENSG00000179222
LOC105377536	ENSG00000249297
LOC101928924	ENSG00000249295
SNORA64	ENSG00000207405
POLR3E	ENSG00000058600
SNORA41	ENSG00000207406
LOC105372257	ENSG00000268845
LOC102724728	ENSG00000276017
RIMBP2	ENSG00000060709
FAM160A2	ENSG00000051009
FAIM	ENSG00000158234
MIR6790	ENSG00000273758
CIPC	ENSG00000198894
SHISA4	ENSG00000198892
PRMT6	ENSG00000198890
ATP6	ENSG00000198899
CAPZA2	ENSG00000198898
LCA5L	ENSG00000157578
PRRG1	ENSG00000130962
TSPAN18	ENSG00000157570
LINC00690	ENSG00000233570
MIR4431	ENSG00000264975
FRAT1	ENSG00000165879
PTPN20	ENSG00000204179
KLF6	ENSG00000067082
NPY4R	ENSG00000204174
GPRIN2	ENSG00000204175
SYT15	ENSG00000204176
BMS1P5	ENSG00000204177
AGAP9	ENSG00000204172
LRRC37A5P	ENSG00000204173
KIF18A	ENSG00000121621
LINC01047	ENSG00000232225
LINC00202-1	ENSG00000232224
LINC00865	ENSG00000232229
SLC22A16	ENSG00000004809
PPIAP30	ENSG00000206448
LOC100129935	ENSG00000268153
BORCS7	ENSG00000270316
CLCN4	ENSG00000073464
NXF2	ENSG00000269405
SPIB	ENSG00000269404
NFATC3	ENSG00000072736
C6orf203	ENSG00000130349
QRSL1	ENSG00000130348
KRTAP10-7	ENSG00000272804
PRSS22	ENSG00000005001
SNX9	ENSG00000130340
MIR4681	ENSG00000265719
UPF1	ENSG00000005007
TIMD4	ENSG00000145850
RGMB	ENSG00000174136
FAM53A	ENSG00000174137
ASB17	ENSG00000154007
FAM174A	ENSG00000174132
PPP2R5E	ENSG00000154001
TLR6	ENSG00000174130
ARHGDIB	ENSG00000111348
MGP	ENSG00000111341
RASAL1	ENSG00000111344
PPP1R1A	ENSG00000135447
CDK4	ENSG00000135446
BLOC1S1	ENSG00000135441
KRT85	ENSG00000135443
SMARCD3	ENSG00000082014
ACSL4	ENSG00000068366
EMD	ENSG00000102119
GRIN2D	ENSG00000105464
SYNGR4	ENSG00000105467
SNORD117	ENSG00000201785
RSF1	ENSG00000048649
LOC101927314	ENSG00000271860
FAM95C	ENSG00000273036
LOC100129550	ENSG00000273033
DGCR9	ENSG00000273032
ZNF28	ENSG00000198538
C2CD4A	ENSG00000198535
COL8A1	ENSG00000144810
ETNK2	ENSG00000143845
PPFIA4	ENSG00000143847
WHSC1L1	ENSG00000147548
PLA2G4E	ENSG00000188089
PRSS45	ENSG00000188086
MSMP	ENSG00000215183
GOLGA1	ENSG00000136935
XPA	ENSG00000136936
NCBP1	ENSG00000136937
PSMB7	ENSG00000136930
NR5A1	ENSG00000136931
CRP	ENSG00000132693
RABEPK	ENSG00000136933
ANP32B	ENSG00000136938
RAB25	ENSG00000132698
PITX1	ENSG00000069011
APOC1P1	ENSG00000214855
TRPC7	ENSG00000069018
LINC00612	ENSG00000214851
RAB6C	ENSG00000222014
MIR3064	ENSG00000108654
AATBC	ENSG00000215458
KRTAP10-1	ENSG00000215455
KRTAP10-4	ENSG00000215454
NT5C1A	ENSG00000116981
UAP1L1	ENSG00000197355
SENP5	ENSG00000119231
MAST3	ENSG00000099308
MAP4	ENSG00000047849
SLC24A1	ENSG00000074621
RNF208	ENSG00000212864
SNX21	ENSG00000124104
MTMR4	ENSG00000108389
4-Sep	ENSG00000108387
RAD51C	ENSG00000108384
ASPA	ENSG00000108381
EBF2	ENSG00000221818
OR6B1	ENSG00000221813
PPP3CB-AS1	ENSG00000221817
NUP54	ENSG00000138750
BMP2K	ENSG00000138756
G3BP2	ENSG00000138757
CXCL9	ENSG00000138755
ARHGEF38-IT1	ENSG00000249885
FRAS1	ENSG00000138759
ZIC5	ENSG00000139800
DBH	ENSG00000123454
GTF3A	ENSG00000122034
MIR3912	ENSG00000264249
CDCP2	ENSG00000157211
LINC00909	ENSG00000264247
GMPPB	ENSG00000173540
LOC101927434	ENSG00000234953
ACOT12	ENSG00000172497
AFF1	ENSG00000172493
STEAP2	ENSG00000157214
MAPK14	ENSG00000112062
TOMM20	ENSG00000173726
NEU4	ENSG00000204099
VTRNA1-2	ENSG00000202111
MTIF3	ENSG00000122033
C1orf100	ENSG00000173728
SLF2	ENSG00000119906
ATXN7L1	ENSG00000146776
OGFRL1	ENSG00000119900
NEO1	ENSG00000067141
MSRB2	ENSG00000148450
ICAM3	ENSG00000076662
KLC2	ENSG00000174996
MIR6882	ENSG00000275411
HNF1B	ENSG00000275410
OR8K1	ENSG00000150261
KRT4	ENSG00000170477
EIF3E	ENSG00000104408
TMED5	ENSG00000117500
MROH9	ENSG00000117501
LOX	ENSG00000113083
DR1	ENSG00000117505
ARRB1	ENSG00000137486
GZMK	ENSG00000113088
ZNF705A	ENSG00000196946
OR2T4	ENSG00000196944
NOP9	ENSG00000196943
C1orf220	ENSG00000213057
PPP6R2	ENSG00000100239
TIMP3	ENSG00000100234
TSPY1	ENSG00000258992
ZNF429	ENSG00000197013
ADAM18	ENSG00000168619
ZNF470	ENSG00000197016
SERTAD1	ENSG00000197019
GALK2	ENSG00000156958
DPYD-AS2	ENSG00000235777
LINC00501	ENSG00000203645
LINC00607	ENSG00000235770
SGK494	ENSG00000167524
STAT3	ENSG00000168610
C7	ENSG00000112936
KCNH1	ENSG00000143473
RPL13	ENSG00000167526
DTL	ENSG00000143476
DYRK3	ENSG00000143479
KRTAP13-2	ENSG00000182816
ERICH6	ENSG00000163645
ADAMTS18	ENSG00000140873
NUDT7	ENSG00000140876
TPBGL	ENSG00000261594
LINC01233	ENSG00000269364
CNIH3	ENSG00000143786
TMIGD1	ENSG00000182271
GS1-120K12.4	ENSG00000260976
TSTD1	ENSG00000215845
PCGF6	ENSG00000156374
LOC101927228	ENSG00000261623
CASP16P	ENSG00000228146
TMBIM4	ENSG00000228144
LOC338963	ENSG00000228141
WDTC1	ENSG00000142784
LOC105372556	ENSG00000225127
RPS21	ENSG00000171858
OPTN	ENSG00000123240
CELA3A	ENSG00000142789
LINC00972	ENSG00000225128
ITIH5	ENSG00000123243
TMEM185B	ENSG00000226479
S100A11	ENSG00000163191
NKX2-5	ENSG00000183072
AFMID	ENSG00000183077
LOC100996288	ENSG00000267289
LOC105371795	ENSG00000267288
LDLRAD2	ENSG00000187942
C2orf66	ENSG00000187944
CDK3	ENSG00000250506
LOC100506405	ENSG00000228496
LOC105369364	ENSG00000250508
TBX2-AS1	ENSG00000267280
NBPF20	ENSG00000162825
PCCB	ENSG00000114054
BPY2C	ENSG00000185894
FFAR3	ENSG00000185897
LAMP1	ENSG00000185896
TAS2R60	ENSG00000185899
UGP2	ENSG00000169764
HYAL2	ENSG00000068001
TAPT1	ENSG00000169762
TLE4	ENSG00000106829
OR56A4	ENSG00000183389
TMEM169	ENSG00000163449
KCNG4	ENSG00000168418
PDCL2	ENSG00000163440
FHL3	ENSG00000183386
MTNR1A	ENSG00000168412
COL4A1	ENSG00000187498
CDHR4	ENSG00000187492
LOC102723885	ENSG00000254003
LOC105372233	ENSG00000267751
EML2-AS1	ENSG00000267757
MIAT	ENSG00000225783
OR6V1	ENSG00000225781
ZNF430	ENSG00000118620
SCX	ENSG00000260428
LOC285766	ENSG00000263667
SNORA70D	ENSG00000263666
ZFR	ENSG00000056097
LINC00911	ENSG00000259107
LAMTOR1	ENSG00000149357
MAGEF1	ENSG00000177383
LINC01529	ENSG00000225872
PSMG3	ENSG00000157778
TNIP3	ENSG00000050730
LOC100289650	ENSG00000225877
CACNB4	ENSG00000182389
PAK1	ENSG00000149269
INTS4	ENSG00000149262
CAPN5	ENSG00000149260
MIR1207	ENSG00000221176
PGAM4	ENSG00000226784
TTTY17B	ENSG00000227439
FNBP1	ENSG00000187239
LCE3B	ENSG00000187238
CSE1L-AS1	ENSG00000227431
SESTD1	ENSG00000187231
MMP10	ENSG00000166670
TVP23A	ENSG00000166676
ADIG	ENSG00000182035
NR1D1	ENSG00000126368
OR10H1	ENSG00000186723
CHMP4A	ENSG00000254505
ZBTB45	ENSG00000119574
FBXO3-AS1	ENSG00000254508
MIR892C	ENSG00000252219
OR2D3	ENSG00000178358
SYDE2	ENSG00000097096
PDE10A	ENSG00000112541
COPZ2	ENSG00000005243
PRKAR2B	ENSG00000005249
KDM1B	ENSG00000165097
ALDH1A1	ENSG00000165092
TMC1	ENSG00000165091
HTR6	ENSG00000158748
ADGRF4	ENSG00000153294
NBL1	ENSG00000158747
SLC25A27	ENSG00000153291
ADGRF1	ENSG00000153292
PLAT	ENSG00000104368
JPH1	ENSG00000104369
IKBKB	ENSG00000104365
NIPAL2	ENSG00000104361
FUCA2	ENSG00000001036
LOC102724502	ENSG00000228961
HCG23	ENSG00000228962
TLCD2	ENSG00000185561
FAT3	ENSG00000165323
ARHGAP12	ENSG00000165322
LSAMP	ENSG00000185565
AHNAK2	ENSG00000185567
CEP76	ENSG00000101624
FOXD4	ENSG00000170122
PYROXD1	ENSG00000121350
IAPP	ENSG00000121351
GPR25	ENSG00000170128
PAAF1	ENSG00000175575
GPR82	ENSG00000171657
C11orf68	ENSG00000175573
LHFPL5	ENSG00000197753
NMRAL2P	ENSG00000171658
GPR34	ENSG00000171659
HOXC6	ENSG00000197757
RPL37A	ENSG00000197756
VWA1	ENSG00000179403
DNAJB8	ENSG00000179407
LINC00174	ENSG00000179406
RNA5S16	ENSG00000202257
CCNT2	ENSG00000082258
SNORD14C	ENSG00000202252
CLDND2	ENSG00000160318
PRMT2	ENSG00000160310
UBR5-AS1	ENSG00000246263
OLFML1	ENSG00000183801
FAM162B	ENSG00000183807
FNTB	ENSG00000257365
FGF11	ENSG00000161958
LOC107986404	ENSG00000124275
FASTKD3	ENSG00000124279
SENP3	ENSG00000161956
MTX3	ENSG00000177034
TNFSF13	ENSG00000161955
SNX6	ENSG00000129515
MIR876	ENSG00000215966
OR8G5	ENSG00000255298
EIF5AL1	ENSG00000253626
BCL2L11	ENSG00000153094
LINC00332	ENSG00000230710
ASCL3	ENSG00000176009
ARFGEF2	ENSG00000124198
LGR6	ENSG00000133067
UROC1	ENSG00000159650
FAM231A	ENSG00000237847
APLN	ENSG00000171388
GDAP1L1	ENSG00000124194
LOC102724023	ENSG00000280071
KCND3	ENSG00000171385
ARMC9	ENSG00000135931
EIF4E2	ENSG00000135930
CAB39	ENSG00000135932
MIR31	ENSG00000199177
RAP2C	ENSG00000123728
MIRLET7I	ENSG00000199179
MRPS6	ENSG00000243927
UBA6-AS1	ENSG00000248049
RND1	ENSG00000172602
FBXO40	ENSG00000163833
PNMA2	ENSG00000240694
LINC01068	ENSG00000227676
PDE6C	ENSG00000095464
TSPAN19	ENSG00000231738
LOC101927356	ENSG00000223770
LINC00551	ENSG00000272274
LOC105379695	ENSG00000272273
HTR1B	ENSG00000135312
CREM	ENSG00000095794
CHRNA6	ENSG00000147434
SNORA71E	ENSG00000274309
GNRH1	ENSG00000147437
MIR6864	ENSG00000274300
MIR5088	ENSG00000274306
NT5E	ENSG00000135318
DLEU7-AS1	ENSG00000237152
SGSM2	ENSG00000141258
VPS53	ENSG00000141252
SPATA22	ENSG00000141255
LOC105377480	ENSG00000249317
ELMOD2	ENSG00000179387
AGAP5	ENSG00000172650
APOBEC3B-AS1	ENSG00000249310
TRMT11	ENSG00000066651
BAZ2A	ENSG00000076108
EGR3	ENSG00000179388
THUMPD1	ENSG00000066654
LOC100130849	ENSG00000233437
VLDLR-AS1	ENSG00000236404
DNAJC1	ENSG00000136770
LOC151484	ENSG00000232520
LOC100996732	ENSG00000232527
LOC100289473	ENSG00000232528
MIR585	ENSG00000207619
MIR193A	ENSG00000207614
MIR515-2	ENSG00000207615
MIR515-1	ENSG00000207616
MIR3074	ENSG00000207617
MIR149	ENSG00000207611
MIR604	ENSG00000207612
MIR181C	ENSG00000207613
OCM	ENSG00000122543
7-Sep	ENSG00000122545
EEPD1	ENSG00000122547
MTIF2	ENSG00000085760
MIR6792	ENSG00000273657
ADPRM	ENSG00000170222
IQCA1L	ENSG00000278685
MIF	ENSG00000240972
MIR8057	ENSG00000276221
TSNAX-DISC1	ENSG00000270106
LINC01133	ENSG00000224259
RNU11	ENSG00000270103
VWC2L-IT1	ENSG00000224257
MIR4285	ENSG00000264675
SLC39A3	ENSG00000141873
OR5K1	ENSG00000232382
SEPT4-AS1	ENSG00000264672
MIR7155	ENSG00000278359
UGT8	ENSG00000174607
MIR3140	ENSG00000264678
LINC00493	ENSG00000232388
FLJ34503	ENSG00000175967
MS4A4E	ENSG00000214787
IPO9-AS1	ENSG00000231871
RPA2	ENSG00000117748
LOC102723536	ENSG00000231876
PDCD6IP	ENSG00000170248
POU2AF1	ENSG00000110777
USP47	ENSG00000170242
ENDOU	ENSG00000111405
USP46-AS1	ENSG00000248866
CHIA	ENSG00000134216
VAV3	ENSG00000134215
TTC27	ENSG00000018699
GJA5	ENSG00000265107
MIR3942	ENSG00000265102
PCDHB6	ENSG00000113211
RBL2	ENSG00000103479
GLIPR1	ENSG00000139278
ACSS2	ENSG00000131069
DEFB118	ENSG00000131068
SAE1	ENSG00000142230
ZNF341	ENSG00000131061
NTN5	ENSG00000142233
GGT7	ENSG00000131067
LMTK3	ENSG00000142235
CDR2L	ENSG00000109089
FLT3LG	ENSG00000090554
IFT20	ENSG00000109083
WSCD2	ENSG00000075035
TMEM97	ENSG00000109084
AFM	ENSG00000079557
SRSF8	ENSG00000263465
PPIAL4C	ENSG00000263464
MIR3130-2	ENSG00000263468
DYNLL1	ENSG00000088986
ME1	ENSG00000065833
CA6	ENSG00000131686
MIR1265	ENSG00000221371
NDST4	ENSG00000138653
PCDH10	ENSG00000138650
SPANXB1	ENSG00000227234
TMTC1	ENSG00000133687
ZGRF1	ENSG00000138658
ZNF669	ENSG00000188295
HES4	ENSG00000188290
IGFL1	ENSG00000188293
CYP4F3	ENSG00000186529
TPX2	ENSG00000088325
FAM86B1	ENSG00000186523
CYP4F8	ENSG00000186526
REM1	ENSG00000088320
MMS22L	ENSG00000146263
LINC00485	ENSG00000258169
FAXC	ENSG00000146267
LOC101928651	ENSG00000248529
ABCB6	ENSG00000115657
UXS1	ENSG00000115652
SBF1P1	ENSG00000248522
MB21D1	ENSG00000164430
SHC3	ENSG00000148082
FABP7	ENSG00000164434
KLHL6-AS1	ENSG00000242522
GNB2	ENSG00000172354
TLX3	ENSG00000164438
ABCG4	ENSG00000172350
CDY1B	ENSG00000172352
CCND2	ENSG00000118971
FGF23	ENSG00000118972
FAM208B	ENSG00000108021
GABRA5	ENSG00000186297
OR52B4	ENSG00000221996
PPP1CC	ENSG00000186298
ZNF630	ENSG00000221994
EXOC3-AS1	ENSG00000221990
CYP20A1	ENSG00000119004
VAMP5	ENSG00000168899
TMEM150A	ENSG00000168890
RUNX3	ENSG00000020633
MIR5692C1	ENSG00000265924
MIR5195	ENSG00000265929
LINC01043	ENSG00000260343
TMEM219	ENSG00000149932
TAOK2	ENSG00000149930
FGFR1	ENSG00000077782
DDAH1	ENSG00000153904
LOC149684	ENSG00000101425
CHMP4B	ENSG00000101421
LGI4	ENSG00000153902
TGIF2	ENSG00000118707
SH2D4A	ENSG00000104611
INTS10	ENSG00000104613
TBC1D22A	ENSG00000054611
LOC153910	ENSG00000236366
GAGE12F	ENSG00000236362
PFN3	ENSG00000196570
PLXNB2	ENSG00000196576
OR5AC2	ENSG00000196578
C1D	ENSG00000197223
TBC1D9B	ENSG00000197226
RAB1B	ENSG00000174903
TAF1B	ENSG00000115750
COL4A3BP	ENSG00000113163
HMGCR	ENSG00000113161
PFKFB1	ENSG00000158571
LOC102724452	ENSG00000259620
FKBP4	ENSG00000004478
MIR4796	ENSG00000264623
AP1M1	ENSG00000072958
SNORA71C	ENSG00000201512
ZNF845	ENSG00000213799
MRVI1	ENSG00000072952
TMEM38A	ENSG00000072954
ODC1	ENSG00000115758
IFT172	ENSG00000138002
LOC101928417	ENSG00000260832
AQP12B	ENSG00000185176
ZNF479	ENSG00000185177
FLJ26245	ENSG00000261122
PRKAG2	ENSG00000106617
RHEB	ENSG00000106615
SUPT4H1	ENSG00000213246
LINC01448	ENSG00000238284
STAG3L4	ENSG00000106610
RHOBTB2	ENSG00000008853
DLAT	ENSG00000150768
DIXDC1	ENSG00000150764
ENKD1	ENSG00000124074
DOCK1	ENSG00000150760
C12orf60	ENSG00000182993
FLJ30679	ENSG00000280278
ATP6V1G3	ENSG00000151418
NEK7	ENSG00000151414
NUBPL	ENSG00000151413
RBM43	ENSG00000184898
PRKCH	ENSG00000027075
SCARNA18B	ENSG00000238754
PCNX1	ENSG00000100731
ILF2	ENSG00000143621
RIT1	ENSG00000143622
ART5	ENSG00000167311
INTS3	ENSG00000143624
PKLR	ENSG00000143627
XIRP1	ENSG00000168334
C8orf22	ENSG00000168333
PLD4	ENSG00000166428
IFNGR1	ENSG00000027697
LRRC31	ENSG00000114248
DEPDC1	ENSG00000024526
SPRY2	ENSG00000136158
IL5RA	ENSG00000091181
HLF	ENSG00000108924
DSCAM-IT1	ENSG00000233756
FAM223A	ENSG00000279245
EI24	ENSG00000149547
B3GAT3	ENSG00000149541
SHANK2-AS1	ENSG00000226627
LINC00974	ENSG00000226629
TM4SF18	ENSG00000163762
HID1	ENSG00000167861
MRPL58	ENSG00000167862
ATP5H	ENSG00000167863
NPBWR2	ENSG00000125522
ARMT1	ENSG00000146476
SFT2D3	ENSG00000173349
ALKBH3	ENSG00000166199
ADSL	ENSG00000239900
NOLC1	ENSG00000166197
ZCCHC24	ENSG00000165424
TP53TG3D	ENSG00000205456
TP53TG3C	ENSG00000205457
A4GNT	ENSG00000118017
EEF1G	ENSG00000254772
NUDC	ENSG00000090273
YIPF3	ENSG00000137207
ZBTB10	ENSG00000205189
FABP9	ENSG00000205186
LNPK	ENSG00000144320
LINC00654	ENSG00000205181
MIR5193	ENSG00000182179
ASB18	ENSG00000182177
HTR3A	ENSG00000166736
RGMA	ENSG00000182175
CASC4	ENSG00000166734
TSEN54	ENSG00000182173
ARHGAP27	ENSG00000159314
UROD	ENSG00000126088
TMEM17	ENSG00000186889
RECK	ENSG00000122707
OR11H1	ENSG00000130538
CLTA	ENSG00000122705
RADIL	ENSG00000157927
OR13F1	ENSG00000186881
TMEM192	ENSG00000170088
LOC728554	ENSG00000170089
LIPT1	ENSG00000144182
WNT9B	ENSG00000158955
PRM3	ENSG00000178257
EN2	ENSG00000164778
KCNK16	ENSG00000095981
WDR6	ENSG00000178252
CDHR3	ENSG00000128536
PHKG1	ENSG00000164776
TGFBI	ENSG00000120708
FAM53C	ENSG00000120709
CSTF2T	ENSG00000177613
ETF1	ENSG00000120705
MIR507	ENSG00000207969
MIR620	ENSG00000207967
MIR629	ENSG00000207965
MIR30C1	ENSG00000207962
MIR569	ENSG00000207963
MIR153-2	ENSG00000207960
MIR496	ENSG00000207961
HRH1	ENSG00000196639
LINC00839	ENSG00000185904
CCT6P3	ENSG00000234585
LUADT1	ENSG00000196634
SDHAF3	ENSG00000196636
MCHR1	ENSG00000128285
APOL3	ENSG00000128284
CDC42EP1	ENSG00000128283
MIR548BB	ENSG00000281426
LOC100996671	ENSG00000256732
SYNJ2	ENSG00000078269
LINC00632	ENSG00000203930
CXorf66	ENSG00000203933
RNA5-8S5	ENSG00000274917
C8orf4	ENSG00000176907
OR51T1	ENSG00000176900
PNMA1	ENSG00000176903
MAMSTR	ENSG00000176909
PM20D2	ENSG00000146281
ACRV1	ENSG00000134940
SOWAHC	ENSG00000198142
LOC400710	ENSG00000204666
ZNF770	ENSG00000198146
KRT82	ENSG00000161850
ZNF252P-AS1	ENSG00000255559
UBQLN1	ENSG00000135018
SNORD59A	ENSG00000207031
LOC100507521	ENSG00000255553
ARHGEF26-AS1	ENSG00000243069
MAP1LC3B2	ENSG00000258102
ABCC13	ENSG00000243064
LINC00905	ENSG00000167459
EDC4	ENSG00000038358
CCL14	ENSG00000276409
PGAM1P5	ENSG00000257150
MIR6835	ENSG00000276404
LINC01151	ENSG00000253819
AMZ2P1	ENSG00000214174
TSPAN17	ENSG00000048140
SLC35G1	ENSG00000176273
CYLD	ENSG00000083799
LOC107983987	ENSG00000278961
TRIM41	ENSG00000146063
FAM193B	ENSG00000146067
HIGD2A	ENSG00000146066
RFXAP	ENSG00000133111
POSTN	ENSG00000133110
TPT1	ENSG00000133112
STOML3	ENSG00000133115
GPALPP1	ENSG00000133114
KL	ENSG00000133116
RFC3	ENSG00000133119
MRPL52	ENSG00000172590
SMPDL3A	ENSG00000172594
LRRK2	ENSG00000188906
ARPC1A	ENSG00000241685
BSX	ENSG00000188909
PCDH8	ENSG00000136099
NEK3	ENSG00000136098
LOC101928590	ENSG00000249106
USP17L17	ENSG00000249104
SNORA71D	ENSG00000200354
SYNPR-AS1	ENSG00000241359
LINC01399	ENSG00000233080
WTH3DI	ENSG00000233087
MIR3687-1	ENSG00000277437
CEP95	ENSG00000258890
MIR3156-2	ENSG00000265499
MIR1539	ENSG00000265496
RNF115	ENSG00000265491
OR5D13	ENSG00000279761
KCTD3	ENSG00000136636
IL10	ENSG00000136634
VPS45	ENSG00000136631
HLX	ENSG00000136630
C17orf50	ENSG00000270806
EFNA2	ENSG00000099617
RPS10-NUDT3	ENSG00000270800
ZNF287	ENSG00000141040
BHLHE22	ENSG00000180828
NDUFA9	ENSG00000139180
PSMG4	ENSG00000180822
CLSTN3	ENSG00000139182
MNX1	ENSG00000130675
KLRG1	ENSG00000139187
LOC101928530	ENSG00000236617
DROSHA	ENSG00000113360
CDH6	ENSG00000113361
PITPNA-AS1	ENSG00000236618
ARRDC3	ENSG00000113369
BTF3	ENSG00000145741
SLC30A5	ENSG00000145740
FBXL17	ENSG00000145743
ATOX1	ENSG00000177556
OTOP1	ENSG00000163982
ZMIZ1-AS1	ENSG00000224596
MICALCL	ENSG00000133808
AMPD3	ENSG00000133805
LOC100507534	ENSG00000261325
LYVE1	ENSG00000133800
CHRNA7	ENSG00000175344
PITX3	ENSG00000107859
CD160	ENSG00000117281
RAB29	ENSG00000117280
TNKS2	ENSG00000107854
LAPTM4A	ENSG00000068697
LOC101927420	ENSG00000224046
TMEM168	ENSG00000146802
TYSND1	ENSG00000156521
ASB15	ENSG00000146809
JRK	ENSG00000234616
SLC34A1	ENSG00000131183
F12	ENSG00000131187
RPL21P28	ENSG00000220749
PELI2	ENSG00000139946
TMEM109	ENSG00000110108
CCDC86	ENSG00000110104
PRPF19	ENSG00000110107
DRICH1	ENSG00000189269
SSX4B	ENSG00000269791
ZIM2-AS1	ENSG00000269793
EIF2S1	ENSG00000134001
SETD5	ENSG00000168137
ADAM20	ENSG00000134007
KCNJ4	ENSG00000168135
NEDD9	ENSG00000111859
RPAP2	ENSG00000122484
SMIM8	ENSG00000111850
TVP23B	ENSG00000171928
PCDH9-AS4	ENSG00000233840
SMOX	ENSG00000088826
SIGLEC1	ENSG00000088827
IL7R	ENSG00000168685
ZNF600	ENSG00000189190
KIAA1107	ENSG00000189195
LINC00994	ENSG00000189196
MIR3180-2	ENSG00000265373
MIR4675	ENSG00000265372
MIR4682	ENSG00000265370
MIR466	ENSG00000265376
MIR4679-2	ENSG00000265375
MIR6832	ENSG00000274494
P4HA3	ENSG00000149380
ZNF705D	ENSG00000215343
IFITM2	ENSG00000185201
STK24	ENSG00000102572
ACP5	ENSG00000102575
LOC285095	ENSG00000216921
SNRPG	ENSG00000143977
ASXL2	ENSG00000143970
SLIRP	ENSG00000119705
RBM25	ENSG00000119707
RITA1	ENSG00000139405
NDUFS1	ENSG00000023228
CDKN1B	ENSG00000111276
ACAD10	ENSG00000111271
PPT1	ENSG00000131238
DPP9	ENSG00000142002
GJA9	ENSG00000131233
CAP1	ENSG00000131236
DPH2	ENSG00000132768
OXGR1	ENSG00000165621
GFRA1	ENSG00000151892
UCMA	ENSG00000165623
FAM159B	ENSG00000145642
BEND7	ENSG00000165626
SREK1IP1	ENSG00000153006
MIR4646	ENSG00000266776
CPB1	ENSG00000153002
CYP4A11	ENSG00000187048
TMEM216	ENSG00000187049
PLCL1	ENSG00000115896
LSM3	ENSG00000170860
ZADH2	ENSG00000180011
OR1E1	ENSG00000180016
TMPRSS6	ENSG00000187045
MAPKAPK3	ENSG00000114738
ACVR2B	ENSG00000114739
CISH	ENSG00000114737
HEMK1	ENSG00000114735
ASB11	ENSG00000165192
CXorf38	ENSG00000185753
VEGFD	ENSG00000165197
PCDH19	ENSG00000165194
PIGA	ENSG00000165195
CLDN24	ENSG00000185758
PRR29-AS1	ENSG00000264954
AS3MT	ENSG00000214435
GPC2	ENSG00000213420
LOC345051	ENSG00000250673
LOC101926911	ENSG00000214432
FAM46A	ENSG00000112773
MBNL2	ENSG00000139793
LINC01247	ENSG00000227007
RPLP1	ENSG00000137818
GALNT10	ENSG00000164574
WDR12	ENSG00000138442
ABI2	ENSG00000138443
LOC101929577	ENSG00000249635
MIR1915	ENSG00000222071
ITGAV	ENSG00000138448
SLC40A1	ENSG00000138449
LOC101928982	ENSG00000267421
SOBP	ENSG00000112320
EIF3J	ENSG00000104131
SPG11	ENSG00000104133
EGR4	ENSG00000135625
PRELID2	ENSG00000186314
CA5BP1	ENSG00000186312
NAP1L3	ENSG00000186310
BACE1	ENSG00000186318
ZNF569	ENSG00000196437
NPIPB15	ENSG00000196436
EFNB2	ENSG00000125266
ASMT	ENSG00000196433
CRYBA4	ENSG00000196431
SLC35C1	ENSG00000181830
INPP5D	ENSG00000168918
CHURC1	ENSG00000258289
B3GALT5-AS1	ENSG00000184809
TREML2	ENSG00000112195
SLC35G2	ENSG00000168917
ZNF608	ENSG00000168916
ENHO	ENSG00000168913
FAM177B	ENSG00000197520
SMIM10L1	ENSG00000256537
LINC01545	ENSG00000204904
GPR87	ENSG00000138271
FAM222B	ENSG00000173065
SPINK9	ENSG00000204909
SATB1	ENSG00000182568
ABR	ENSG00000159842
ZYX	ENSG00000159840
SPO11	ENSG00000054796
ATP9A	ENSG00000054793
CLEC4G	ENSG00000182566
LOC100506393	ENSG00000256287
LOC100132078	ENSG00000255428
DNTT	ENSG00000107447
CCNJ	ENSG00000107443
PPFIBP1	ENSG00000110841
LOC101927501	ENSG00000224294
PRPF40B	ENSG00000110844
CD69	ENSG00000110848
ST7L	ENSG00000007341
TGFBR1	ENSG00000106799
MIR877	ENSG00000216101
IL1RAPL1	ENSG00000169306
HTT	ENSG00000197386
ZNF860	ENSG00000197385
PPP1R37	ENSG00000104866
DACT3	ENSG00000197380
ADARB1	ENSG00000197381
G6PD	ENSG00000160211
MIPOL1	ENSG00000151338
MIR3652	ENSG00000166598
MBIP	ENSG00000151332
FBLN5	ENSG00000140092
SERPINA10	ENSG00000140093
SLC24A4	ENSG00000140090
AARS2	ENSG00000124608
PEX16	ENSG00000121680
UNC5CL	ENSG00000124602
TTC24	ENSG00000187862
CCDC157	ENSG00000187860
FAM122A	ENSG00000187866
PALM3	ENSG00000187867
ZNF733P	ENSG00000185037
SEMA4B	ENSG00000185033
RNU4-2	ENSG00000202538
MROH2A	ENSG00000185038
TMEM190	ENSG00000160472
DET1	ENSG00000140543
MFGE8	ENSG00000140545
ZNF710	ENSG00000140548
PHOSPHO2-KLHL23	ENSG00000213160
LINC00850	ENSG00000280752
SP110	ENSG00000280755
LINC01498	ENSG00000247213
KRTAP9-7	ENSG00000180386
GNRHR2	ENSG00000211451
SELENOH	ENSG00000211450
DIO1	ENSG00000211452
STK38L	ENSG00000211455
AKR7L	ENSG00000211454
SACM1L	ENSG00000211456
TMEM178A	ENSG00000152154
GFY	ENSG00000261949
DHODH	ENSG00000102967
CCL22	ENSG00000102962
B3GAT1	ENSG00000109956
SNORA71A	ENSG00000225091
CDK2	ENSG00000123374
MSC	ENSG00000178860
