Symbol	MSC	Bronchial_Epithelial_cells	Fibroblasts	Endothelial_cells	Adipocytes	Keratinocytes	Schwann_cells	Smooth_muscle_cells	CD34+	Platelets	Monocytes_CD14+CD16-	Monocytes_CD16+CD14-	Macrophage	M1(IFNg)	M2(IL-4)	M(IFNa)	Dendritic_cells_(BDCA1+)	Dendritic_cells_(BDCA3+)	Dendritic_cells_(plasmacytoid+)	T_cells_(CD4+)	T_cells_(CD8+)	T_cells_(gamma-delta)	NK_cells	Neutrophils	Neutrophils_LPS	B_cells
DOCK3	0.010333	0.025016	0.015227	0.020863	0.011964	0.076137	0.143572	0.024364	0.014683	0.029585	0.028891	0.026648	0.816145	0.533636	1.0	0.381771	0.013324	0.012236	0.022841	0.03347	0.034052	0.031542	0.04677	0.022406	0.088645	0.028279
DOK2	0.030343	0.033664	0.0	0.018001	0.002306	0.078303	0.006979	0.007618	0.034279	0.107078	0.523631	0.531824	0.204875	0.160848	0.142937	0.043378	0.533484	0.077257	0.02567	0.46855	0.273091	0.448326	0.468678	0.130984	0.018538	0.058934
DPP4	0.081701	0.005497	0.33405	0.018603	0.003724	0.02252	0.0	0.15168	0.014629	0.167213	0.005763	0.00665	0.033884	0.014939	0.006348	0.092739	0.027307	0.312971	0.223335	0.145693	0.030642	1.0	0.012058	0.009008	0.000709	0.004433
DPY19L2	0.013736	0.0	0.017857	0.01998	0.021978	0.014652	0.10989	0.017582	1.0	0.063736	0.015797	0.016484	0.007992	0.008242	0.002198	0.010989	0.000916	0.042125	0.007326	0.020979	0.039307	0.016484	0.017399	0.021978	0.005495	0.054945
DPY19L2P2	0.01175	0.012577	0.034091	0.014683	0.018094	0.011474	0.084289	0.084731	1.0	0.161518	0.01506	0.019197	0.007462	0.004303	0.0	0.015887	0.01368	0.061121	0.012577	0.237343	0.092522	0.098632	0.068844	0.031774	0.032436	0.022507
DSC1	0.000403	0.000373	0.000182	0.00025	0.000236	1.0	0.0	0.000314	0.000491	0.00128	0.000579	0.000314	0.000186	0.000211	0.000244	0.000393	0.000245	0.000196	0.000196	0.005086	0.003858	0.000137	0.000108	0.000597	0.000403	0.001316
DSG1	0.000452	0.000226	0.0	0.000358	0.000347	0.976379	0.000648	0.000226	0.000226	0.000371	0.000384	0.000648	0.00044	0.000407	0.000262	0.000467	0.000799	0.000452	0.000317	0.000251	0.000324	0.000678	0.000286	0.000841	0.000905	0.000452
DSG2	0.000907	1.0	0.040857	0.002001	0.00095	0.054822	0.018389	0.002953	0.112579	0.000155	0.003076	0.002331	0.002802	0.003432	0.000777	0.002504	0.011267	0.01049	0.058879	0.004379	0.004124	0.000777	0.001079	0.005646	0.0	0.004662
DTL	0.034579	0.019216	0.120659	0.371387	0.0119	0.047665	0.379958	0.001951	0.531961	0.002536	0.000317	0.000358	0.129039	0.020069	0.0	0.064573	0.014664	0.026044	0.003446	0.003033	0.015577	1.0	0.008242	0.002731	0.009705	0.004584
DUSP1	0.072474	0.045903	0.084775	0.051038	0.065921	0.030245	0.032723	0.066357	0.017263	0.0	0.521412	0.829234	0.019497	0.01792	0.011595	0.022515	0.081628	0.072982	0.058588	0.031768	0.011977	0.035349	0.039684	0.29819	0.033416	0.006437
EBI3	0.025754	0.003285	0.009672	0.013239	0.012714	0.005414	0.009064	0.014964	0.011497	0.033761	0.023302	0.025032	0.017718	0.03773	0.022264	1.0	0.302725	0.152245	0.026249	0.008138	0.021604	0.030659	0.002601	0.033579	0.74854	0.077651
ECSCR	0.010637	0.003039	0.0006	1.0	0.004585	0.002559	0.001386	0.003839	0.008584	0.01753	0.006498	0.007038	0.011342	0.008077	0.002815	0.003519	0.005838	0.002852	0.002133	0.004304	0.006509	0.003999	0.002239	0.003455	0.0	0.011356
EDIL3	1.0	0.00587	0.242175	0.157738	0.287588	9e-06	0.160386	0.711123	0.00019	0.00053	0.000328	0.000389	0.000206	5e-05	0.000248	0.000154	0.000298	0.00028	8.1e-05	4.9e-05	0.000401	0.000172	0.0	0.000226	9e-06	0.000497
EDNRB	0.028996	0.0	0.0133	0.01684	0.040498	0.00024	1.0	0.003115	0.010943	0.001582	0.001827	0.002077	0.006993	0.002157	0.000527	0.004074	0.00012	0.000879	0.001438	0.000174	0.001475	0.002157	0.010504	0.00139	0.005152	0.000719
EFEMP1	0.706857	0.112138	0.444726	1.0	0.269424	0.063859	0.016945	0.592229	0.000568	0.001787	0.000148	9.6e-05	8.5e-05	6.7e-05	7.3e-05	8.3e-05	0.000172	8.9e-05	7e-05	0.000103	0.000169	0.00021	0.000147	0.000149	0.0	0.000172
EGF	0.012052	0.00429	0.007239	0.0	0.003048	0.017122	0.017122	6.8e-05	0.005946	1.0	0.00398	0.001599	0.000452	0.000875	0.000564	0.001806	0.002117	0.000151	0.004083	0.001242	0.002666	0.000564	0.000771	0.007767	0.003359	0.0046
EGFL6	0.010834	0.296991	0.095787	0.006207	0.003038	0.005331	0.002121	0.007807	0.014961	0.020739	0.012984	0.007395	0.004581	0.005503	0.00423	0.009458	0.00235	0.006478	0.005102	0.00727	0.015914	1.0	0.007509	0.015236	0.007739	0.017025
EGR1	0.034073	0.06765	0.163533	0.031478	0.030252	0.047034	0.019755	0.04612	0.11627	0.02294	0.206217	0.084252	0.025555	0.002668	0.002919	0.002709	0.041728	0.046442	0.080122	0.0	0.01755	0.014687	0.003202	0.136192	0.180019	5.2e-05
EGR2	0.026549	0.011292	0.016772	0.002348	0.000166	0.043592	0.006809	0.004866	0.055797	0.010694	0.093027	0.02657	0.816752	0.861485	1.0	0.373559	0.064287	0.037053	0.0	0.002268	0.013065	0.147423	0.005812	0.098824	0.083841	0.005189
EHF	0.000287	1.0	0.000496	0.000191	0.000329	0.403055	0.000273	0.000396	4.9e-05	0.000161	0.000402	0.000189	0.000953	0.003469	0.130425	0.066761	0.025087	0.05113	0.000468	3.9e-05	0.0	0.000245	6.3e-05	0.000596	0.001459	0.000119
ELANE	0.011147	0.007707	0.009149	0.007828	0.017619	0.0046	0.011701	0.014187	1.0	0.008683	0.020356	0.005192	0.00928	0.008927	0.007618	0.01466	0.01074	0.008964	0.006079	0.014445	0.052501	0.0046	0.004304	0.02768	0.012589	0.011258
ELAVL4	0.004105	0.006568	0.021346	0.017316	0.0	0.013136	0.019704	0.002627	0.068966	0.034154	0.037356	0.10509	0.080012	0.792282	0.022332	0.367816	1.0	0.344828	0.026273	0.012838	0.046735	0.01642	0.006568	0.053859	0.036125	0.041051
ELL2	0.006789	0.025471	0.012548	0.006981	0.011237	0.014608	0.0	0.00412	0.008053	0.0003	0.012127	0.009551	0.00504	0.007772	0.005244	0.009364	0.001217	0.00206	0.001686	0.003609	0.0068	0.010301	0.018635	0.012885	1.0	0.010582
ELMOD1	0.000179	0.000461	0.000512	0.016193	0.000495	1.0	0.000632	0.016465	0.000256	0.000195	0.000256	0.000359	0.00021	0.000154	0.000113	0.000495	0.000324	0.0	0.000256	0.000116	0.000303	0.000256	0.000376	0.000195	0.0	0.000359
ELOVL7	0.000255	0.016301	0.000841	0.000232	0.000238	0.761423	0.000645	0.000224	0.038137	1.0	0.001286	0.000408	0.023868	0.023585	0.002955	0.211946	0.010816	0.004703	0.002139	0.000583	0.001309	0.0	0.000238	0.007356	0.015231	0.001019
ELTD1	0.100937	0.000787	0.052893	1.0	0.015293	0.000787	0.116143	0.032667	0.03382	0.001311	0.001409	0.002097	0.001216	0.001311	0.000787	0.001136	0.000655	0.001136	0.000699	0.000596	0.00121	0.0	0.000262	0.000996	0.004195	0.001311
EMCN	0.00071	0.001209	0.009007	1.0	0.016321	0.00133	0.000604	0.002877	0.03385	0.002007	0.003317	0.001874	0.001143	0.00071	0.000919	0.0	0.000635	0.001088	0.000907	0.001885	0.00365	0.001572	0.003173	0.002297	0.001209	0.004382
EMR3	0.005315	0.005603	0.002596	0.003521	0.002582	0.007526	0.003461	0.002604	0.008735	0.012031	0.066952	0.124317	0.014428	0.006757	0.006559	0.030489	0.03156	0.019447	0.007306	0.00824	0.009432	0.003296	0.004422	1.0	0.304558	0.009888
ENAH	1.0	0.103094	0.440751	0.160104	0.436382	0.338249	0.089305	0.254037	0.004961	0.004027	0.002011	0.001131	0.001134	0.001204	0.000657	0.003356	0.001897	0.003265	0.000985	0.001094	0.002492	0.001313	0.000894	0.001926	0.002845	0.004815
ENHO	0.053932	0.079406	0.048883	0.065386	0.093482	0.042687	0.072674	0.079774	0.056457	0.069125	0.096389	0.15713	0.094094	0.111536	0.090422	0.08675	1.0	0.154835	0.077876	0.051616	0.060129	0.045441	0.078947	0.07243	0.089045	0.103733
ENOX1	0.207559	0.081835	0.636734	0.099914	0.532155	0.02164	0.114599	0.31271	0.047546	0.051204	0.054976	0.031545	0.028013	0.041832	0.025602	0.018592	0.111932	1.0	0.050594	0.026558	0.050887	0.013258	0.004877	0.052118	0.162984	0.09555
ENPP1	0.119768	0.010854	0.126551	0.01058	0.100296	0.002814	0.021908	0.280991	0.002311	0.00603	0.006143	0.005829	0.001535	0.001055	0.0	0.004824	0.012361	1.0	0.004824	0.002494	0.005288	0.004824	0.015627	0.005427	0.00407	0.007085
EOMES	0.00022	0.001081	0.00027	0.001302	0.00054	0.0	0.002837	0.000351	0.00439	0.224206	0.003031	0.008983	0.008559	0.014504	0.00027	0.003917	0.001756	0.002026	0.002634	0.034366	0.257271	1.0	0.381838	0.007159	0.01415	0.005032
EPHA4	0.159959	0.24122	0.317355	0.359139	0.16295	0.676322	0.065197	0.321815	0.035461	0.154473	0.038836	0.057336	0.024679	0.021533	0.020354	0.039221	0.017517	0.009143	0.118858	0.405467	1.0	0.014612	0.358284	0.055217	0.104332	0.130992
EPHB1	0.013173	0.025593	0.01289	0.015328	0.019571	0.004516	0.0	0.001204	0.050433	0.031916	0.027851	0.029733	0.017176	0.014584	0.02198	0.010538	0.002258	0.060971	1.0	0.021487	0.034452	0.008656	0.006022	0.327738	0.00414	0.05382
EPHX1	0.105681	0.224533	0.067837	0.035676	1.0	0.035704	0.032707	0.124628	0.002597	0.002417	0.019609	0.010312	0.071017	0.055422	0.147398	0.039998	0.002147	0.002247	0.002846	0.004524	0.002885	0.001923	0.0	0.004125	0.002522	0.004844
EPPK1	0.001556	0.028798	0.003905	0.002694	0.0	1.0	0.002292	0.00139	0.002903	0.004415	0.001728	0.001413	0.000674	0.001184	0.000474	0.001069	0.000611	0.001089	0.001184	0.038444	0.003555	0.000497	0.000898	0.002399	0.003132	0.00233
EPSTI1	0.027417	0.008054	0.030072	0.012493	0.017021	0.0	0.010624	0.014394	0.093902	0.094039	0.180114	0.265312	0.143937	0.752669	0.033791	0.682214	0.353445	0.254888	0.090132	0.101924	0.026454	0.336538	0.04161	0.150996	0.421358	0.058174
ERBB3	0.001002	0.395808	0.004855	0.000673	0.000411	0.459104	1.0	0.00037	0.002055	0.004069	0.005549	0.003083	0.001737	0.000848	0.000986	0.001233	0.000822	0.000154	0.0	0.005549	0.010291	0.004316	0.000103	0.002466	0.000925	0.008631
EREG	0.007196	0.15918	0.008722	0.000463	0.000339	0.475602	0.004603	0.001425	1.0	0.000611	0.104957	0.02292	0.065853	0.009231	0.001308	0.225566	0.144934	0.021612	0.001502	0.000304	0.000548	0.001018	0.018414	0.049687	0.157872	0.0
ERG	0.007443	0.002977	0.013206	1.0	0.002689	0.003073	0.001537	0.014215	0.374094	0.005455	0.00341	0.003362	0.002846	0.002401	0.001998	0.002497	0.011045	0.0085	0.005571	0.002873	0.005349	0.003554	0.001056	0.004764	0.005715	0.00413
ERMN	0.045276	0.018464	0.015272	0.007786	0.052511	0.023571	0.026976	0.012335	0.049957	0.039914	0.082302	0.274668	0.023571	0.019741	0.016421	0.016762	0.578963	0.616415	0.272114	0.157747	1.0	0.036339	0.495548	0.294245	0.063151	0.040169
ESAM	0.018458	0.026211	0.007245	1.0	0.016612	0.025103	0.0	0.01425	0.027318	0.467658	0.023027	0.016797	0.014733	0.017074	0.013364	0.012552	0.012552	0.01329	0.011444	0.017451	0.026466	0.012367	0.009967	0.035071	0.008214	0.031194
ESM1	0.045126	0.001245	0.041951	1.0	0.005477	0.001992	0.032864	0.024698	0.006224	0.020515	0.002178	0.002241	0.001177	0.001618	0.001394	0.0	0.003859	0.001867	0.001992	0.004572	0.002681	0.005726	0.004357	0.005278	0.006473	0.003112
ETV3	0.0	0.021992	0.007721	0.019525	0.011698	0.073462	0.03291	0.019184	0.321766	0.03528	0.154878	0.141153	0.056277	0.079077	0.098542	0.049754	0.531078	0.508619	0.39788	0.078226	0.190943	0.033222	0.329721	0.210466	0.116978	0.046791
F13A1	0.000893	0.000761	0.000262	0.000664	0.000353	0.000815	0.0	0.000484	0.025704	1.0	0.127336	0.011616	0.034033	0.000689	0.247078	0.017553	0.055008	0.001963	0.02243	0.003314	0.003874	0.000557	0.002255	0.022068	0.000455	0.007404
FABP3	0.010403	0.010109	0.066346	0.006415	0.152027	0.010305	0.012268	0.008107	0.011679	0.012111	0.007827	0.010502	0.68019	0.239474	0.368024	1.0	0.007852	0.008048	0.014427	0.003846	0.007391	0.006576	0.0	0.016351	0.012464	0.013053
FABP4	0.001978	0.000575	0.000397	0.069314	1.0	0.000755	0.000327	0.000467	0.068093	0.00167	0.00041	0.000282	0.216185	0.104777	0.233107	0.296931	0.000468	8.5e-05	0.000124	0.000105	0.000432	0.0	0.000107	0.000561	0.000541	0.000828
FABP7	0.002086	0.000538	0.000336	0.000392	0.001974	0.024047	0.227367	0.000861	0.000359	0.000969	0.000538	0.000538	0.000392	0.000673	0.000646	0.000538	0.000763	0.000718	0.000808	0.000661	0.000663	0.0	0.000628	0.001507	0.004845	0.001077
FAIM2	0.016249	0.035253	0.063758	0.015123	0.015423	0.459389	0.0	0.020711	0.011567	0.004847	0.025545	0.029745	1.0	0.678067	0.496625	0.326089	0.011843	0.01019	0.005508	0.027141	0.012754	0.020381	0.021758	0.012118	0.024512	0.00303
FAIM3	0.009127	0.028904	0.004711	0.009982	0.004378	0.016769	0.002023	0.009396	0.018817	0.02193	0.016039	0.025115	0.369956	0.23543	0.024941	0.259162	0.017972	0.00978	0.013748	1.0	0.224258	0.162389	0.022196	0.075939	0.008704	0.490035
FAM102A	0.074403	0.108197	0.132877	0.055243	0.071085	0.129418	0.336015	0.114311	0.017519	0.056651	0.013055	0.009573	0.035255	0.030793	0.022212	0.036122	0.031822	0.089968	0.030232	1.0	0.468747	0.149984	0.033037	0.050593	0.012985	0.071318
FAM105A	0.00893	0.007912	0.013168	0.004768	0.011755	0.00633	0.0	0.002894	0.092461	0.209608	0.392534	0.229004	0.357307	0.497909	0.1974	0.043857	0.824799	1.0	0.980445	0.116177	0.133013	0.240534	0.789872	0.175427	0.035379	0.011981
FAM110A	0.016741	0.157234	0.01751	0.009242	0.009731	0.190269	0.0	0.003278	0.001152	0.04968	0.166405	1.0	0.034664	0.025096	0.028015	0.014341	0.248592	0.202945	0.035595	0.072518	0.01567	0.158003	0.041421	0.107759	0.057746	0.017798
FAM113B	0.017226	0.051399	0.027658	0.017608	0.016067	0.015748	0.000719	0.008138	0.015428	0.675193	0.019505	0.020224	0.03156	0.03821	0.012358	0.036211	0.035252	0.046603	0.203918	1.0	0.517295	0.472985	0.215829	0.048042	0.024301	0.114949
FAM129C	0.019833	0.017905	0.015563	0.01505	0.011845	0.013681	0.004132	0.019998	0.053347	0.082582	0.019489	0.021027	0.013848	0.013222	0.012946	0.015885	0.023965	0.05656	1.0	0.016002	0.017227	0.020659	0.025709	0.023304	0.027821	0.244606
FAM169A	0.009048	0.010476	0.006905	0.0071	0.0	0.066667	0.005714	0.001905	0.342857	0.043048	0.000476	0.0	0.006061	0.005476	0.00419	0.011429	0.01	0.045714	0.044762	0.235671	0.393993	0.121905	1.0	0.021333	0.02619	0.017619
FAM171B	0.399715	0.0259	0.408424	0.211348	0.173326	0.009946	0.03822	1.0	0.040643	0.000576	0.002916	0.002373	0.003374	0.0	0.010754	0.007523	0.007977	0.007674	0.005604	0.000289	0.001433	0.002272	0.005352	0.000333	0.000606	0.000909
FAM19A5	0.057404	0.002812	0.31045	0.001619	0.007185	0.000937	1.0	0.005436	0.002187	0.002812	0.003397	0.003436	0.000937	0.000937	0.000562	0.000937	0.001718	0.000781	0.002812	0.001448	0.002595	0.002812	0.001406	0.002062	0.0	0.003749
FAM20B	0.000958	0.001064	0.001703	0.001664	0.001206	0.002767	0.0	0.001575	0.003512	0.007791	0.007051	0.005535	0.004257	0.002714	0.001703	0.009508	0.003956	0.00369	0.003619	0.003358	0.023579	0.003512	0.001792	0.003874	0.003832	1.0
FAM26F	0.004354	0.001982	0.015501	0.002626	0.005183	0.002134	0.0	0.003948	0.352061	0.139681	0.390391	0.889109	0.058523	1.0	0.005457	0.207395	0.716489	0.490115	0.333273	0.030575	0.012826	0.019017	0.154251	0.112928	0.239789	0.21658
FAM49A	0.022718	0.035876	0.01163	0.081143	0.0	0.033905	0.002365	0.026651	0.068796	0.088863	0.389735	1.0	0.087379	0.083333	0.044155	0.062685	0.580623	0.336093	0.308102	0.031629	0.037923	0.089691	0.288291	0.449832	0.032624	0.05273
FAM65B	0.001071	0.00311	0.017399	0.001594	0.0024	0.00289	0.0	0.00333	0.018464	0.135536	0.157825	0.258446	0.004853	0.01277	0.002419	0.004898	0.070158	0.053531	0.066705	0.198911	0.099562	0.058649	0.070403	1.0	0.072607	0.242161
FAM69B	0.026229	0.012254	0.006678	1.0	0.018863	0.012621	0.012805	0.037589	0.146454	0.122294	0.019414	0.018312	0.024871	0.029878	0.017431	0.028042	0.023223	0.0274	0.057508	0.013531	0.011788	0.021617	0.019643	0.02415	0.028639	0.030154
FAM70A	0.001819	0.004094	0.028201	0.000744	0.0	0.207109	0.015162	0.000364	0.001516	0.001456	0.005743	0.001213	0.127028	0.256423	0.164656	0.140701	0.015465	0.004928	0.002729	4.1e-05	0.005773	0.000455	0.019028	0.000728	0.004776	0.000227
FAM81B	0.000878	0.001818	0.001379	0.001659	0.001066	0.001567	0.001735	0.001467	0.002236	1.0	0.002727	0.001735	0.001385	0.00163	0.000865	0.001233	0.001317	0.000982	0.000982	0.001659	0.003284	0.001317	0.001024	0.002872	0.00094	0.003448
FAM83A	0.001802	1.0	0.002217	0.007887	0.007607	0.0166	0.00231	0.006449	0.006868	0.014876	0.014806	0.015184	0.007988	0.009101	0.007558	0.010934	0.008285	0.008008	0.00773	0.006241	0.015018	0.003973	0.0	0.014432	0.011549	0.018756
FAP	0.73233	0.003912	0.918073	0.033517	0.099124	0.001789	0.178871	1.0	0.002244	0.004184	0.004423	0.001865	0.001596	0.002945	0.0	0.003154	0.001334	0.001562	0.001031	0.001493	0.004366	0.001865	0.003874	0.004003	0.104885	0.009256
FARS2	0.096949	0.181897	0.197192	0.244875	0.226135	0.177504	0.16715	0.165895	0.261119	0.240819	0.159012	0.198212	0.186004	0.144364	0.133893	0.151463	0.356185	1.0	0.250922	0.207268	0.067064	0.405914	0.217429	0.018496	0.0	0.107067
FASLG	0.006541	0.02002	0.012488	0.016993	0.020548	0.01632	0.011034	0.012725	0.011827	0.085669	0.027354	0.031384	0.029823	0.038454	0.016848	0.036406	0.024909	0.017245	0.020548	0.026002	0.138888	1.0	0.089528	0.044757	0.039049	0.024381
FASN	0.012169	0.711796	0.039202	0.053656	1.0	0.164638	0.081626	0.014115	0.007439	0.004416	0.008843	0.013075	0.029908	0.026292	0.049924	0.035532	0.008204	0.01041	0.007461	0.037486	0.008486	0.045101	0.011666	0.004049	0.008892	0.006205
FBLN1	0.252364	0.102207	0.744451	0.002457	0.374749	0.001612	0.018145	1.0	0.000475	0.000682	0.00136	0.001974	0.000316	0.000411	0.0	0.001819	0.001044	0.000837	0.001095	0.000781	0.001183	0.000527	0.000785	0.001178	0.002155	0.001535
FBLN5	0.411257	0.006346	1.0	0.22193	0.065547	0.008609	0.06198	0.618601	0.008335	0.008527	0.007092	0.01005	0.011416	0.008095	0.004082	0.014509	0.000103	0.0	0.000583	0.111509	0.039828	0.029807	0.001029	0.010503	0.000377	0.011388
FBN1	1.0	0.001036	0.865929	0.13786	0.427063	0.000148	0.185572	0.864422	0.025294	0.000237	2.8e-05	0.0	0.000175	9.3e-05	0.000563	0.000592	0.000469	0.004269	0.001777	0.000114	0.000387	0.000518	0.001222	0.000918	0.001666	0.000333
FBN2	0.055302	0.057111	1.0	0.550968	0.233264	0.142852	0.018384	0.1402	0.024863	0.009282	0.185383	0.03948	0.014822	0.028179	0.016696	0.013261	0.02637	0.004219	0.001658	0.002452	0.005228	0.001055	0.003315	0.012718	0.011678	0.006254
FBP1	0.001622	0.011269	0.001456	0.003088	0.001993	0.016738	0.0	0.001559	0.008391	0.005199	0.090635	0.146238	1.0	0.908921	0.997295	0.84054	0.176747	0.094042	0.05927	0.00752	0.002522	0.000642	0.02255	0.028048	0.0031	0.003332
FBXL16	0.007026	0.107663	0.01519	0.049628	0.005507	0.203489	0.001962	0.027077	0.025381	0.181412	0.064227	0.055129	0.04583	0.054211	0.06004	0.024495	0.010823	0.011203	0.002215	1.0	0.108276	0.116777	0.009747	0.023279	0.0	0.054306
FBXO6	0.022483	0.170801	0.078543	0.027791	0.050447	0.044602	0.021221	0.024091	0.024144	0.021328	0.215038	0.358285	0.266761	1.0	0.14046	0.383437	0.32078	0.181694	0.159731	0.037042	0.020711	0.772575	0.235717	0.059055	0.062402	0.015775
FCAMR	0.015689	0.030867	0.010067	0.016762	0.018125	0.019624	0.013628	0.016026	0.033865	0.023222	0.025807	0.027119	0.022895	0.019624	0.026819	1.0	0.022247	0.021498	0.015127	0.023917	0.03398	0.021872	0.019249	0.028618	0.024121	0.027494
FCAR	0.010815	0.002265	0.0	0.001787	0.000706	0.003824	0.001096	0.005422	0.003727	0.002967	0.102192	0.039484	0.010184	0.013957	0.010216	0.006942	0.00475	0.002168	0.00246	0.002425	0.002423	0.000512	0.000268	0.371721	1.0	0.004457
FCER1A	0.000269	7.3e-05	0.0	0.000376	0.000269	0.000204	8e-06	0.000269	0.078009	0.014161	0.088228	0.024172	0.011937	0.001418	0.010052	0.00366	1.0	0.063384	0.257196	0.033139	0.005138	0.000269	0.033759	0.028835	0.002666	0.005747
FCER1G	0.000175	0.000156	0.001188	0.000666	0.000364	0.0	0.000416	0.000312	0.004649	0.013151	0.904947	0.957475	0.756899	0.954839	0.488658	0.869384	0.066718	0.033476	0.075132	0.037312	0.02112	0.021503	0.131306	0.414736	0.907469	0.087066
FCER2	0.028296	0.025111	0.007524	0.013025	0.017356	0.02031	0.0	0.013589	0.017356	0.013589	0.039582	0.048929	0.034678	0.055576	1.0	0.044313	0.02031	0.010247	0.01274	0.016802	0.023236	0.036743	0.009601	0.016027	0.050591	0.276588
FCF1	0.015745	0.0	0.033638	0.048407	0.074433	0.032445	0.076341	0.09161	0.330177	0.243911	0.104492	0.104015	0.124402	0.143856	0.179784	0.032445	0.137415	0.155546	0.607869	0.616544	1.0	0.120238	0.694707	0.251927	0.060119	0.177494
FCGR1A	0.007298	0.003538	0.003759	0.002734	0.003538	0.004718	0.006487	0.003184	0.004128	0.008846	0.014816	0.007077	0.013992	0.022556	0.006723	0.017691	0.00516	0.007666	0.004423	0.004664	0.005035	0.005307	0.011794	0.014507	1.0	0.006192
FCGR1B	0.000262	0.002261	0.000929	0.001204	0.001211	0.00105	0.0	0.001098	0.013447	0.006283	0.28429	0.094449	0.367399	1.0	0.095878	0.325382	0.016293	0.00634	0.000969	0.003451	0.003678	0.001534	0.002726	0.306516	0.461624	0.00323
FCGR2A	0.003517	0.000599	0.000823	0.000687	0.0	0.002579	0.009027	0.001842	0.0073	0.018975	0.262844	0.209205	0.133953	0.142477	0.034919	0.121631	0.083382	0.008048	0.002948	0.002445	0.003102	0.002188	0.008866	1.0	0.867963	0.007852
FCGR2B	0.001397	0.005315	0.00339	0.002666	0.0	0.004948	0.041051	0.002786	0.025565	0.047209	0.074451	0.068449	0.536165	0.403365	1.0	0.219917	0.298904	0.02978	0.010354	0.007564	0.017706	0.009988	0.020984	0.500898	0.064143	0.887457
FCGR3B	5.7e-05	0.001204	0.000195	0.000183	0.000176	0.00189	0.000543	0.0	0.01151	0.059571	0.064345	0.347049	0.006705	0.010898	0.001689	0.003921	0.003995	0.003089	0.004546	0.00269	0.008265	0.01222	0.010702	1.0	0.405393	0.007171
FCN1	0.001887	0.0	0.000144	0.000178	0.001344	0.000192	0.000307	0.000899	0.028611	0.011153	1.0	0.841626	0.095689	0.174287	0.017305	0.121011	0.376284	0.016178	0.004608	0.024744	0.008654	0.000461	0.023523	0.209157	0.004032	0.025664
FCRL1	0.002105	0.00266	0.002798	0.001551	0.001182	0.001921	0.00229	0.00133	0.013926	0.449025	0.004807	0.010601	0.002156	0.002521	0.003546	0.001921	0.022145	0.003306	0.002105	0.003919	0.014082	0.00266	0.004599	0.008865	0.008754	1.0
FCRL3	0.047529	0.044677	0.005466	0.033529	0.024715	0.034221	0.007605	0.039544	0.063688	0.090875	0.041469	0.043726	0.050639	0.052519	0.026996	0.055133	0.055133	0.059886	0.038973	0.079416	0.142074	0.076046	0.176806	0.036122	0.043251	1.0
FCRLA	0.001042	0.000687	0.003522	0.000515	0.003837	5.7e-05	0.136764	0.000876	0.001002	0.048314	0.000451	0.000215	0.018212	0.011082	0.000687	0.021162	0.002971	0.00116	0.037069	0.0	0.001087	0.000687	0.00116	0.001065	0.000923	1.0
FES	0.028547	0.01793	0.044203	0.127015	0.032566	0.024888	0.029687	0.060399	0.114625	0.028439	0.60827	0.274185	0.140757	0.147857	0.132381	0.063278	1.0	0.831803	0.517483	0.0	0.001042	0.05608	0.257269	0.498912	0.079474	0.01937
FFAR2	0.004026	0.00408	0.003487	0.00306	0.002785	0.003073	0.001491	0.003217	0.007029	0.004684	0.103605	0.114699	0.003962	0.010661	0.002958	0.015013	0.004655	0.004979	0.00372	0.002844	0.004163	0.003001	0.00408	1.0	0.318461	0.00818
FGD4	0.041026	0.098575	0.069658	0.231391	0.106553	0.197341	0.209117	0.104046	0.090598	0.044786	0.378419	0.519848	1.0	0.753846	0.189516	0.475024	0.333143	0.147009	0.016904	0.010256	0.020075	0.007977	0.0	0.756125	0.490598	0.037037
FGFBP1	0.001766	1.0	0.00085	0.00167	0.000802	0.623279	0.0	0.002138	0.002482	0.004521	0.00299	0.003417	0.002034	0.002024	0.002001	0.002367	0.001432	0.001804	0.000974	0.002034	0.002469	0.001795	0.002157	0.002344	0.001021	0.002596
FGFBP2	0.000497	0.00058	0.0	0.000241	0.0	0.000111	0.001161	0.000232	0.000691	0.081282	0.001109	0.021362	0.001598	0.001223	0.000199	0.001382	0.001105	0.001299	0.000525	0.00609	0.226681	0.061683	1.0	0.006533	0.002321	0.004228
FHIT	0.016787	0.123307	0.057075	0.057381	0.089937	0.070403	0.035405	0.043219	0.232778	0.061776	0.090802	0.050869	0.110877	0.11995	0.09303	0.120866	0.046189	0.041509	0.079356	1.0	0.162093	0.035405	0.107029	0.061287	0.0	0.086071
FHL2	1.0	0.164197	0.558228	0.547379	0.220048	0.078962	0.266079	0.45262	0.028962	0.101077	0.002527	0.002125	0.002898	0.001788	0.001764	0.003695	0.00311	0.005761	0.001503	0.00354	0.003724	0.004821	0.001133	0.002333	0.0	0.00311
FIBIN	1.0	0.029151	0.825377	0.014761	0.457447	0.046238	0.052622	0.248951	0.008684	0.003577	0.011196	0.013754	0.00073	0.003802	0.002225	0.005304	0.004647	0.006243	0.005492	0.007643	0.015372	0.000986	0.005962	0.018223	0.002676	0.02211
FLG	0.068731	0.000281	0.004897	8.1e-05	0.000251	0.81342	0.000164	0.003895	6.1e-05	0.000246	0.000182	0.000105	4.9e-05	5e-05	0.0	0.000134	6.1e-05	9.8e-05	7.6e-05	6.9e-05	0.000136	0.000105	0.000208	0.000281	0.000281	0.00061
