Gene	Chondrocyte.articular	B.cell.naive	B.cell.memory	Monocyte.CD14	NK.cell.CD56	Endothelial.large.blood.vessel	Endothelial.microvascular.mammary.or.endometrial	Endothelial.microvascular.non.reproductive	Epithelial.cell.mammary	Epithelial.renal.cortical	Epithelial.respiratory	Fibroblast.cardiac.ventricle	Fibroblast.of.arm	Fibroblast.of.lung	Fibroblast.of.the.aortic.adventitia	Fibroblast.or.papilla.dermal.cell	Hair.follicular.keratinocyte	Macrophage	Mature.neutrophil	Melanocyte.of.skin	Myometrial.cell	Osteoblast	MSC.like.pluripotent.cell	Myocyte.regular.cardiac	Smooth.muscle.cell.aortic	Smooth.muscle.cell.bronchial	Smooth.muscle.cell.of.bladder	Smooth.muscle.cell.coronary.artery	Smooth.muscle.cell.pulmonary.artery	Smooth.muscle.cell.of.trachea	Smooth.muscle.cell.uterine	T.Cell.CD4	T.cell.CD4.memory	T.cell.CD8.memory
DCLK2	0.765843	0.227222	0.655396	0.00313	0.002478	0.211814	0.143727	0.230687	0.049766	0.276232	0.00932	0.0635	0.133282	0.629506	0.37215	0.784942	0.000469	0.139943	0.0	0.293377	0.216872	0.889122	0.391261	0.273616	0.286226	0.394678	0.694083	0.63299	0.755983	1.0	0.81323	0.000117	0.001544	0.001623
DCST1	2.1e-05	0.02633	0.015014	0.001825	0.0	0.000427	0.000396	0.000444	0.000263	2.8e-05	0.003549	0.000395	2.6e-05	1.2e-05	0.000148	1e-05	0.000437	0.000738	0.681571	0.007005	0.001217	4.6e-05	5e-05	4.6e-05	1.2e-05	1.7e-05	8e-06	2.6e-05	0.001157	6.3e-05	5e-05	0.019948	1.4e-05	0.006574
DDAH2	0.340553	0.146916	0.438952	0.121488	0.220641	0.334775	0.371104	0.688344	0.101247	0.427599	0.073942	0.316544	0.376918	0.548818	0.7148	0.428295	0.04148	0.266637	0.236983	0.074874	0.282607	0.461232	0.109537	0.276622	0.602427	1.0	0.442524	0.583754	0.334011	0.573246	0.234232	0.0	0.024479	0.04986
DDIT3	0.139022	0.106531	0.104765	0.109967	0.088227	0.0	0.009315	0.015953	0.074322	0.00669	0.600221	0.047781	0.086078	1.0	0.131449	0.131746	0.118431	0.605167	0.581651	0.030159	0.113418	0.449199	0.089635	0.154891	0.132229	0.274887	0.353136	0.23854	0.155826	0.211387	0.890885	0.140265	0.115168	0.057703
DDIT4L	0.253622	0.001148	7.5e-05	0.002686	0.0	0.207894	0.239687	0.096656	0.001637	0.111963	0.020488	0.061058	0.094528	0.100664	0.291795	0.941911	0.000133	0.107677	0.00026	0.093476	0.077768	0.071444	0.178187	0.119942	0.071939	0.08989	0.147074	0.051963	0.246915	0.114115	0.204391	0.000257	0.002661	0.01065
DDX19A	0.077769	0.007144	0.011793	0.003671	5e-06	0.069544	0.068847	0.008343	0.047828	0.001355	0.00298	0.001713	0.086783	0.002138	0.060404	0.023639	0.026683	0.020865	0.007664	0.166859	0.373487	0.05075	0.040174	0.000663	0.01837	0.005084	0.006333	0.020328	0.006654	0.000906	0.020971	0.0	8e-06	1.5e-05
DEPDC1	0.261256	0.003048	0.001465	0.0	0.006075	0.542989	0.789242	0.172842	0.013927	0.174587	0.014338	0.027096	0.335917	0.085343	0.330345	0.033794	0.358644	0.039092	0.011057	0.329427	0.540384	0.032221	0.729632	0.707339	0.346094	0.034278	0.048811	0.05829	0.110815	0.356915	1.0	0.001021	0.001596	0.002692
DERL3	0.011618	0.712772	0.918985	0.003437	0.012966	0.018088	0.03327	0.023122	0.0	0.004561	0.007126	0.003976	0.03846	0.008038	0.00436	0.004272	0.129849	0.033376	0.039579	0.014847	0.046809	0.009665	0.019526	0.02988	0.011522	0.012569	0.009403	0.004902	0.02085	0.001351	0.031715	0.051911	0.020485	0.006609
DES	0.001354	3e-06	5e-06	0.002329	1e-06	4.3e-05	8e-06	0.000134	0.000453	0.000515	7e-06	0.008939	0.002117	0.09256	0.004581	0.00672	9e-06	1.8e-05	0.0	0.000116	0.163649	0.00132	0.249155	0.001734	0.000559	0.004639	0.003742	0.011728	0.002519	0.004568	1.0	3e-06	1e-06	1e-06
DGKI	0.246473	0.000109	0.000176	0.0	1.2e-05	0.041045	0.071242	0.122808	0.070933	0.551154	0.047552	0.068846	0.5904	0.075685	0.113313	0.19756	0.000299	0.048223	0.000649	0.032141	0.065105	1.0	0.382524	0.68466	0.228125	0.132046	0.275851	0.112445	0.677308	0.106096	0.120296	0.000248	0.004515	0.003046
DHDH	0.012073	0.000121	0.013182	0.001528	0.007915	0.002644	0.000339	0.004738	0.025917	0.052482	0.665067	0.000338	0.003303	0.004932	0.00544	0.0	0.075753	0.255582	0.154204	0.066415	0.00106	0.01633	0.002029	0.029606	0.007154	0.06573	0.009137	0.041597	0.005511	0.004281	0.004812	0.071768	0.081195	0.032588
DHRS3	0.128746	0.0	0.000356	0.003777	0.18304	0.069677	0.170841	0.150506	0.115167	0.05276	0.063979	0.009459	0.131802	0.07869	0.124177	0.077298	0.030499	0.071333	9.1e-05	0.014373	0.116096	0.249959	0.017222	0.287969	0.069951	0.496417	1.0	0.334867	0.026958	0.15223	0.156327	0.118094	0.076032	0.052996
DHX38	0.090748	0.404496	0.5058	0.248054	0.405812	0.404496	0.120845	0.538845	0.084755	0.195753	0.420225	0.138714	0.051678	0.432296	0.476205	0.246181	0.126086	0.124551	0.233062	0.149974	0.128338	0.192296	0.287566	0.367703	0.59983	0.819586	0.493149	1.0	0.311407	0.300285	0.448891	0.386715	0.320195	0.350677
DIRAS1	0.711742	0.212459	0.30107	0.000284	0.005093	0.006603	0.019518	0.014223	0.261144	0.003653	0.011026	0.101131	0.260947	1.0	0.469181	0.669586	0.000162	0.634403	0.049189	0.150022	0.030907	0.803762	0.148069	0.023576	0.114596	0.395181	0.151519	0.854927	0.124887	0.501611	0.175093	0.0	0.00106	0.001493
DLG3	0.146505	0.091382	0.080924	0.000474	0.267211	0.046974	0.034548	0.024533	0.248031	0.607409	0.444522	0.214563	0.041587	0.503228	0.283966	0.216307	0.224334	0.0	0.000135	0.044441	0.275371	0.137776	0.046623	0.281057	1.0	0.691231	0.494138	0.454796	0.366903	0.386401	0.488825	0.122936	0.275715	0.434276
DLG5	0.219962	8.9e-05	0.000558	0.007265	0.139124	0.059316	0.028375	0.04144	0.228243	0.099389	0.264801	0.215415	0.067016	0.234981	0.188982	0.278044	0.237123	0.000679	0.045831	0.072958	0.166197	0.279578	0.138965	0.149928	0.167368	0.276431	0.189319	0.251062	0.285479	0.304373	0.210128	0.0	0.009573	0.033413
DLGAP5	0.293116	0.0	0.000959	0.004608	0.023269	0.830324	0.871227	0.304976	0.006459	0.186485	0.008229	0.031608	0.238042	0.049787	0.128944	0.0462	0.452493	0.07503	0.056471	0.284035	0.815347	0.050764	0.490409	0.409083	0.410021	0.054272	0.062076	0.074022	0.078334	0.450859	0.906407	0.00308	0.00328	0.011114
DLL1	0.010436	0.02639	0.015876	0.003441	0.128617	0.043095	0.035429	0.128975	1.0	0.011221	0.079283	0.053897	0.015525	0.170482	0.026809	0.022368	0.6757	0.001829	0.0	0.012205	0.008532	0.00688	0.019117	0.016933	0.027946	0.002583	0.046127	0.022531	0.009195	0.024213	0.023656	0.044154	0.010243	0.012315
DMC1	0.803579	5.3e-05	0.014154	0.064567	0.286992	0.199587	0.140314	0.114327	0.04259	0.196374	0.23707	0.019388	0.416076	0.42355	0.218495	0.594945	0.166537	0.015376	0.189691	0.094738	0.538039	0.226666	1.0	0.251851	0.316534	0.93456	0.325394	0.251058	0.051365	0.71668	0.57303	0.077439	0.05691	0.113514
DMKN	0.003103	0.000467	0.000946	1e-06	0.003318	2.7e-05	1e-06	3e-06	0.036718	0.020635	0.035176	0.002701	0.007186	0.005351	0.008092	0.002175	0.096615	6e-06	0.0	0.002332	0.002825	0.005862	0.003351	0.000357	0.000297	0.002132	0.0029	0.00702	0.000513	0.001816	0.003474	5.5e-05	0.000119	0.001555
DMPK	0.14884	0.066984	0.049212	0.000798	0.05722	0.046752	0.053563	0.047098	0.042833	0.066472	0.044846	0.090056	0.107034	0.452698	0.338218	0.798785	0.025533	0.0	0.023192	0.041516	0.114513	0.132257	0.101632	0.1639	1.0	0.366543	0.295806	0.493285	0.450517	0.295588	0.136075	0.028998	0.040421	0.066707
DMRTC2	5.6e-05	0.000185	0.000289	0.000368	3.4e-05	1.2e-05	0.00044	1.7e-05	0.000303	6.2e-05	7e-06	0.000439	6.1e-05	0.001394	0.000185	4.4e-05	0.000482	0.0	1.0	0.000192	0.001281	8.1e-05	8.5e-05	8.1e-05	4.6e-05	5.1e-05	4.2e-05	6.1e-05	3.6e-05	9.8e-05	8.5e-05	0.0	4.8e-05	7.7e-05
DNAI2	0.000157	0.000523	0.043525	0.000144	0.160975	3.5e-05	0.00124	0.004328	0.000855	0.000176	0.002468	0.001238	0.000171	0.000131	0.000523	0.000125	0.00136	0.0	0.001977	0.000542	0.003615	0.000228	0.000241	0.000227	0.000131	0.011315	0.000119	0.000171	0.000102	0.000278	0.000239	0.120563	1.0	0.27777
DNAJB4	0.296855	0.000924	0.0	0.144959	0.019901	0.839056	0.19179	0.993354	0.073947	0.047696	0.037086	0.343675	0.545396	0.18785	0.152075	0.070824	0.018754	0.013165	0.012079	0.08554	0.182132	0.133528	0.240097	1.0	0.281082	0.177222	0.12943	0.156099	0.290366	0.131316	0.112644	0.001989	0.007082	0.013082
DNAJC12	0.067993	0.01974	5e-06	0.0	0.002653	0.276633	0.132731	0.433247	0.319811	0.57122	0.049879	0.971541	0.206995	0.289627	0.828144	0.044468	0.086066	0.215534	0.000468	0.129723	0.455416	0.462526	0.393051	1.0	0.21589	0.242881	0.889465	0.210706	0.285952	0.184808	0.246106	0.00847	0.009583	0.004417
DNAJC5B	1e-05	0.031503	0.26708	0.007473	0.000905	1e-06	8.4e-05	2e-06	5.8e-05	0.000508	0.0	8.4e-05	0.000388	0.002226	3.5e-05	7e-06	9.3e-05	0.070063	0.0	3.6e-05	0.000248	1.4e-05	1.5e-05	0.001688	0.000306	0.015824	7e-06	1.1e-05	6e-06	0.005177	0.001703	1.3e-05	8e-06	1.4e-05
DNASE2B	8e-06	2.5e-05	4e-05	0.0	5e-06	0.000329	6e-05	0.000196	4.2e-05	9e-06	3.9e-05	6e-05	8e-06	0.000343	2.5e-05	6e-06	6.6e-05	1.0	1e-06	0.00938	0.003785	1.1e-05	1.2e-05	1.1e-05	0.000356	0.000787	0.000214	0.000339	0.000313	1.3e-05	1.2e-05	0.0	7e-06	1.1e-05
DOCK3	0.007852	0.003032	0.00443	0.0	0.025873	0.003114	0.011575	0.000545	0.00982	0.015564	0.00569	0.006729	0.020151	0.007339	0.013693	0.011442	0.006435	1.0	0.007997	0.004028	0.009701	0.012765	0.01438	0.006929	0.016242	0.008553	0.003663	0.004675	0.009796	0.007959	0.003114	0.03922	0.051679	0.03183
DOCK4	0.105623	0.004293	0.0	0.069895	0.000921	1.0	0.264968	0.444368	0.027272	0.13057	0.037616	0.045137	0.013997	0.173784	0.057064	0.170172	0.055248	0.194023	0.415321	0.047545	0.033133	0.132318	0.095496	0.074753	0.231407	0.093668	0.029391	0.063217	0.06525	0.085836	0.077617	0.005367	0.000618	9.5e-05
DOCK6	0.08476	0.007029	0.025244	0.004369	0.0	0.896408	0.893128	0.775848	0.188715	0.101371	0.193933	0.307058	0.137952	0.119627	0.130502	0.116262	0.482068	0.024443	0.07201	0.100206	0.244273	1.0	0.121631	0.15302	0.115513	0.113697	0.061106	0.127803	0.301662	0.113035	0.130598	0.001903	0.002068	0.00194
DOK1	0.528669	0.109431	0.186808	0.362958	0.267391	0.082848	0.120554	0.175659	0.027556	0.083091	0.0	0.290465	0.267024	0.213521	0.152081	0.146073	0.022816	0.526307	0.429245	0.003839	0.206479	0.731896	0.214619	0.713911	0.639407	0.246498	0.206425	0.236887	0.663344	0.250414	0.182795	0.036818	0.124555	0.152405
DPEP3	1.8e-05	0.07244	0.03464	0.016808	0.014428	2e-06	0.000161	0.003986	0.00011	2.1e-05	0.0	0.00016	2e-05	1.5e-05	6.6e-05	1.4e-05	0.009794	0.003196	1.0	6.9e-05	0.000473	2.7e-05	2.9e-05	0.000678	1.5e-05	1.6e-05	1.3e-05	2e-05	1.1e-05	3.4e-05	2.9e-05	0.013035	0.00206	0.004446
DPM3	0.045494	0.032778	0.144413	0.055589	0.14927	0.072215	0.624385	0.129974	0.052421	0.005398	0.043758	0.218772	0.244558	0.093567	0.082813	0.040636	0.185943	0.152243	0.025227	0.309454	1.0	0.029753	0.187247	0.051135	0.09237	0.332382	0.206994	0.133613	0.0	0.026734	0.087463	0.028516	0.196535	0.142529
DPPA4	0.00011	1.0	0.027824	0.001978	0.023621	1.3e-05	0.000969	2.4e-05	0.000664	0.000125	0.0	0.019325	0.014987	0.037131	0.0004	0.223345	0.018707	0.006128	0.009013	0.000415	0.002852	0.000166	0.000176	0.009443	8.9e-05	9.9e-05	8e-05	0.000121	0.002716	0.000205	0.000175	0.236854	0.007079	0.012728
DPYSL3	0.344545	6e-06	1e-05	2.4e-05	1e-06	0.31078	0.171265	0.114365	0.006938	0.049918	0.011997	0.090844	0.05781	0.578837	0.387167	0.597353	0.013913	0.007705	0.0	0.01116	0.254531	0.308141	0.061679	0.298298	0.348799	0.515897	0.373654	1.0	0.776992	0.522754	0.367477	0.00058	1e-06	2e-06
DPYSL4	0.077551	0.01098	0.0	0.002977	0.029229	0.535067	0.162861	0.177736	0.062205	0.011078	0.042082	1.0	0.063225	0.010669	0.044596	0.066831	0.035192	0.00063	0.010889	0.187101	0.090802	0.031435	0.208752	0.166092	0.082569	0.072789	0.168296	0.171649	0.822008	0.048572	0.045327	0.175178	0.002857	0.003187
DRAP1	0.175147	0.135862	0.247085	0.10764	0.342502	0.163456	0.231655	0.137816	0.167442	0.070502	0.266765	0.234651	0.529637	0.334931	0.330634	0.198622	0.439738	0.161526	0.096278	0.076753	0.559339	0.246553	0.792963	0.356223	1.0	0.507847	0.377328	0.333025	0.173225	0.46961	0.62944	0.09991	0.21752	0.267185
DSC1	1e-05	1e-06	2e-06	0.0	9.8e-05	0.0	3e-06	3e-06	0.000572	0.0	0.000148	3e-06	0.0	0.0	8.8e-05	7e-06	0.000158	0.0	3.7e-05	1e-06	9e-06	1e-06	1e-06	2.4e-05	0.0	0.0	0.0	0.0	0.0	1e-06	1e-06	0.009435	0.00059	0.000157
DSC2	0.001627	4e-06	6e-06	0.04553	0.0	8.9e-05	0.000412	0.000419	0.234513	0.064521	0.236517	1e-05	3.9e-05	4.3e-05	0.000722	0.000222	0.039976	0.01816	0.131138	4e-06	3e-05	0.000344	1e-06	9.7e-05	3.7e-05	0.000217	0.0	0.000258	9.7e-05	8.7e-05	6.1e-05	0.0	6.4e-05	1e-06
DSEL	0.260353	0.003073	0.000561	2e-06	0.00012	0.063878	0.03022	0.06067	0.026878	0.035527	0.015437	0.255694	0.383247	0.597886	0.346366	0.86288	0.01324	0.000213	9.5e-05	0.01739	0.088303	0.812231	0.592437	0.301538	0.209646	0.373356	0.319852	0.173135	0.34896	1.0	0.365511	0.007967	0.009193	0.025046
DSP	0.000223	0.002377	0.000132	0.0	0.0	0.000718	0.000358	0.00753	0.072923	0.014733	0.122615	5.4e-05	0.010517	5e-06	0.000341	0.000492	0.027698	0.000436	5e-06	0.000104	4.9e-05	0.01268	9.8e-05	0.002496	4.8e-05	7.9e-05	6.7e-05	0.002891	0.001239	2.7e-05	3.6e-05	0.0	2e-06	0.0
DSTN	1.0	0.0	0.000205	0.013318	0.048053	0.138923	0.169223	0.080902	0.334022	0.234648	0.188648	0.198738	0.323589	0.20746	0.323589	0.276623	0.229101	0.075828	0.007193	0.11709	0.22497	0.541262	0.132072	0.280894	0.216378	0.109836	0.174511	0.117226	0.197658	0.174866	0.194422	0.021609	0.04345	0.028585
DTHD1	6e-06	0.000921	0.001342	0.000859	1.0	0.0	6.1e-05	1e-06	4.2e-05	7e-06	0.002305	6.1e-05	7e-06	5e-06	2.5e-05	5e-06	6.8e-05	1.1e-05	0.00514	0.000673	0.000183	1e-05	1.1e-05	1e-05	5e-06	6e-06	4e-06	7e-06	3e-06	1.2e-05	0.0003	0.016064	0.036548	0.544091
DTL	0.082903	0.0	0.003017	0.001562	0.073915	0.277933	0.318734	0.226689	0.052333	0.097628	0.033582	0.021543	0.1941	0.019295	0.425606	0.026379	0.243988	0.08319	0.037069	0.278604	0.14346	0.043553	0.479281	0.313528	0.323281	0.013944	0.022708	0.048798	0.066927	0.07122	0.222856	0.000654	0.018102	0.025392
DTNA	0.047796	4.7e-05	0.015667	0.114759	0.000298	0.188958	0.067134	0.054649	0.25084	0.321188	0.144391	0.350497	0.221018	1.0	0.725655	0.264427	0.043154	0.259409	0.011761	0.33245	0.454987	0.257719	0.851521	0.648328	0.574284	0.564761	0.320782	0.778081	0.702928	0.573669	0.346429	0.000144	0.0	1e-05
DTWD1	0.9985	0.125234	0.095207	0.084386	0.062821	0.059651	0.028611	0.084432	0.155856	0.057681	0.049211	0.385266	0.662623	1.0	0.190901	0.452589	0.044073	0.063698	0.035209	0.061438	0.141716	0.277607	0.221962	0.320176	0.272622	0.359924	0.599683	0.194629	0.399415	0.395611	0.223977	0.151108	0.104628	0.093517
DUSP2	0.001214	0.018834	0.300971	0.799856	0.564801	0.000595	0.000192	0.000906	0.028275	0.0	0.010544	0.004918	0.005497	0.000623	0.00061	0.000987	0.021597	0.119314	0.047553	0.001335	0.004337	0.002725	0.00135	0.002747	0.000549	0.001331	0.001198	9.1e-05	0.002467	0.000803	0.002044	0.046916	0.360088	1.0
DUSP4	0.030498	0.000571	0.002833	0.000227	0.000513	0.097523	0.008964	0.070981	0.179432	0.073632	0.123942	0.046857	0.053034	0.000752	0.004464	0.291301	0.243838	0.001504	0.002049	1.0	0.002121	0.017798	0.006591	0.050681	0.005559	0.000309	0.006295	0.056408	0.020498	0.0	0.003462	0.003935	0.103511	0.02493
DUSP7	0.028503	0.0	0.003481	0.12662	0.067047	0.060715	0.132248	0.035527	0.445769	0.014485	0.507643	0.06547	0.040984	0.01267	0.016795	0.138034	1.0	0.045029	0.084995	0.027057	0.08259	0.054618	0.063218	0.029851	0.03245	0.005829	0.017603	0.022243	0.063607	0.026139	0.024116	0.035932	0.104613	0.073377
DUXAP10	0.007973	0.000913	0.0	0.000897	0.008437	0.258712	0.032509	0.650392	0.23168	0.030937	0.013942	0.028235	0.009316	0.067354	0.036029	0.050642	0.009378	0.004112	0.000844	0.019354	0.001188	1.0	0.213497	0.14945	0.110769	0.001667	0.00581	0.110698	0.023718	0.012297	0.014869	0.011322	0.000485	0.002463
DYRK3	0.605368	0.0	1.8e-05	0.000749	0.000479	0.184928	0.168395	0.256528	0.53564	0.156751	0.629387	0.175982	0.341213	0.506576	0.298851	0.344962	0.464214	0.06542	0.01635	0.290582	0.392872	0.776953	0.470015	0.383419	0.31318	0.365754	0.483384	0.302607	0.341479	0.437069	1.0	0.001621	0.019678	0.00499
E2F1	0.062231	0.001096	0.102292	0.0	0.18589	0.371666	0.364828	0.251841	0.052804	0.069617	0.020643	0.078395	0.269027	0.032523	0.346393	0.03968	0.187086	0.213467	0.003278	0.33457	0.292916	0.053014	0.261396	0.313983	0.378414	0.039221	0.049304	0.114172	0.133023	0.079977	0.53643	0.025467	0.072982	0.051747
E2F5	0.012994	0.841607	1.0	0.00249	0.087692	0.020898	0.006694	0.021065	0.058786	0.056019	0.040232	0.004666	0.007958	0.038782	0.009188	0.010893	0.048254	0.003884	0.0	0.041581	0.023761	0.03644	0.019211	0.02173	0.014721	0.007058	0.031098	0.032591	0.03945	0.010165	0.039196	0.043812	0.010197	0.0114
EAF2	0.001695	1.0	0.671952	0.118227	0.016947	0.004687	0.004632	0.001934	0.008836	0.005001	0.015151	0.007561	0.002621	0.005058	0.003597	0.002099	0.005419	0.028343	0.067398	0.002812	0.003347	0.002544	0.00401	0.008753	0.005856	0.007581	0.007645	0.005687	0.00334	0.001758	0.005668	0.026941	0.021845	0.016259
EBF1	0.543704	0.405842	0.338837	0.000706	0.000865	0.004511	0.012621	0.017139	0.000634	0.000433	1e-06	0.26316	0.180515	0.009301	0.149405	0.187343	0.001107	0.0	0.001845	0.011082	0.009403	0.478307	0.201999	0.080835	0.081111	0.066831	0.04363	0.10067	0.133917	0.045708	0.02112	0.000366	0.000335	0.000599
EBI3	0.000591	0.032532	0.276225	0.001632	0.00193	0.018537	0.0681	0.030998	0.000123	0.043017	0.00401	0.00018	0.03294	0.005654	0.005572	1.6e-05	0.008703	0.000527	0.0	7.7e-05	0.01513	3.1e-05	0.002124	0.004393	1.7e-05	0.002291	0.000648	0.002621	0.001484	0.010484	3.2e-05	0.000136	1.7e-05	2.9e-05
ECE1	0.08256	0.052632	0.176016	0.151499	0.029512	1.0	0.68129	0.397176	0.39624	0.30841	0.166002	0.152769	0.194572	0.210299	0.11575	0.460347	0.139685	0.038584	0.545556	0.0	0.246426	0.049051	0.139279	0.285858	0.470813	0.070588	0.146327	0.343775	0.728621	0.230207	0.124437	0.105477	0.182669	0.074975
ECM1	0.024189	0.00066	0.00045	0.0	6.2e-05	0.000647	0.003395	0.000143	0.011706	0.00025	0.007004	0.061413	0.239011	0.016096	0.024443	0.094975	0.022216	0.059493	0.000438	0.065278	0.082671	0.023872	0.019171	0.010473	0.020809	0.025425	0.008335	0.010025	0.060581	0.049108	0.007713	0.000174	6e-06	5.9e-05
ECSCR	0.004795	2e-06	4e-06	5e-06	0.0	0.507574	0.594512	1.0	4e-06	0.001183	1.2e-05	0.003744	0.000643	9.3e-05	0.003954	0.00024	6e-06	6.8e-05	0.0	2e-06	0.0002	6.3e-05	0.000479	0.010789	0.012707	1e-06	0.000351	0.01123	0.005106	0.002679	0.002498	0.001551	0.000228	1e-06
EDAR	1.5e-05	4.9e-05	7.6e-05	8e-06	9e-06	3e-06	0.000116	5e-06	0.038814	0.013297	0.006484	0.000115	1.6e-05	1.2e-05	4.9e-05	0.000468	0.000127	0.0	2e-06	5e-05	0.000337	2.1e-05	2.2e-05	2.1e-05	1.2e-05	1.3e-05	1.1e-05	1.6e-05	0.000321	2.6e-05	2.2e-05	0.650305	0.062921	0.006627
EDARADD	0.05363	9e-05	0.000157	0.000243	0.148693	0.001713	0.009747	0.00109	1.0	0.004044	0.194482	0.01703	0.097421	0.0	9e-05	0.023301	0.399399	9e-05	9.4e-05	0.017767	0.127641	0.086941	2.5e-05	0.003236	0.083052	0.001618	0.005425	0.00103	0.002126	0.002375	0.026127	0.009236	0.237208	0.532754
EDEM3	0.413501	0.10103	0.047325	0.261531	0.095073	0.325228	0.129875	0.368739	0.160428	0.284563	0.380747	0.298628	0.13911	0.316155	0.345054	0.190383	0.145519	0.139767	0.300465	0.310226	0.163965	0.246256	0.517734	0.7503	0.950155	0.583544	0.555418	1.0	0.845017	0.305221	0.47079	0.264792	0.23727	0.135378
EDN1	0.001183	0.00333	0.003986	0.002719	0.000618	1.0	0.4491	0.544862	0.026674	0.184234	0.043505	0.00501	0.01353	0.000526	0.008212	0.008953	0.013686	0.000174	0.017394	0.0	0.001325	0.002649	0.00023	0.181358	0.045279	0.000318	0.003513	0.46072	0.059779	0.001272	0.002522	0.009301	0.000314	0.000364
EEF1A1	0.366798	0.01092	0.011128	0.02232	0.011768	0.456785	0.366798	0.456785	0.13337	0.5977	0.456785	0.366798	0.107135	0.456785	0.408869	0.13337	0.366798	0.018392	0.0	0.408869	0.5977	0.408869	0.456785	0.456785	0.456785	0.456785	0.5977	0.408869	0.408869	1.0	0.5977	0.059105	0.017513	0.012644
EFEMP2	0.238392	0.007076	0.005934	0.01395	0.013498	0.060012	0.124967	0.060717	0.019506	0.045678	0.012704	0.581261	1.0	0.14969	0.191692	0.246128	0.034577	0.0	0.040387	0.009982	0.389155	0.212231	0.122747	0.133616	0.196206	0.251252	0.222174	0.24957	0.326877	0.243356	0.103553	0.013941	0.010671	0.007433
EFHD1	0.006073	2.4e-05	3.7e-05	0.0	0.000864	0.001264	0.003013	0.001219	0.01833	0.129749	0.001432	0.008628	0.000497	0.000178	0.004018	0.007037	6.2e-05	1.3e-05	0.000214	0.012105	0.000163	0.02545	0.006036	0.019498	0.032582	6e-06	0.000135	0.002836	0.027733	0.00032	0.000756	0.011313	0.006403	0.002774
EFNA1	0.00681	3e-06	6e-06	0.0	0.000384	0.179424	0.066182	0.566333	0.161964	0.177002	0.159636	0.038184	6.2e-05	0.000408	0.000834	0.000164	0.077446	2.4e-05	0.013175	0.023234	3.9e-05	0.001309	0.001264	0.001781	0.002858	0.003222	0.002619	0.007657	0.00533	0.00068	0.00112	0.010177	0.000564	0.000313
EFNA5	0.128251	0.000358	2.6e-05	0.000227	0.042958	0.117625	0.031514	1.0	0.198422	0.382908	0.054306	0.027765	0.006343	0.014907	0.099948	0.058224	0.04497	0.0	0.019712	0.027571	0.011766	0.067873	0.048326	0.012867	0.107143	0.025306	0.005618	0.029369	0.016742	0.024684	0.006472	9e-06	4e-06	0.014757
EFNB1	0.025464	0.000387	0.002755	0.021406	0.012111	0.209657	0.487863	0.093965	0.599998	0.286237	0.577424	0.219918	0.023487	0.150708	0.052321	0.113637	1.0	0.024834	0.003401	0.009783	0.130351	0.107699	0.082435	0.107486	0.065547	0.041832	0.044726	0.115724	0.118974	0.048907	0.06397	0.0	0.014653	0.009016
EFR3B	0.07004	0.001168	0.001759	0.0	0.001243	0.017541	0.021065	0.027306	0.001662	0.006988	0.002264	0.012773	0.023221	0.012477	0.019059	0.024568	0.026507	0.062805	0.005701	1.0	0.010711	0.015603	0.023028	0.033637	0.064643	0.016218	0.032954	0.066792	0.035031	0.017541	0.016572	0.000202	1.3e-05	2.1e-05
EGFL7	0.004186	1e-06	2e-06	0.000638	4.8e-05	0.398051	1.0	0.376468	0.001734	0.006995	0.012493	0.032374	0.011892	0.004491	0.002261	0.003182	0.01245	0.027721	3.3e-05	0.005861	0.014398	0.00264	0.004594	0.034162	0.011398	0.006388	0.010843	0.023729	0.023581	0.006871	0.005598	0.000756	0.0	3.4e-05
EGLN3	0.004073	0.026301	0.074202	0.000797	0.007572	0.028138	0.001161	0.024912	0.067539	0.10216	0.458525	0.067498	0.001987	0.009242	0.006954	0.001155	0.020555	0.0	0.002148	0.104543	0.008272	0.000948	0.018815	0.027567	0.000636	0.002862	0.017015	0.005744	0.012315	0.003562	0.002308	0.028296	0.085524	0.014713
EGR2	0.001454	0.002784	0.00897	0.11785	0.005282	0.000496	0.001486	0.000503	0.003727	0.000626	0.000583	0.013711	0.005565	0.003899	0.001074	0.001565	0.001185	0.452614	0.036494	0.000611	3e-05	0.009148	0.000957	0.01162	0.000151	0.000148	0.001239	0.00236	0.002237	0.000399	0.002539	0.0	0.000674	0.000813
EHBP1	0.384995	0.100168	0.086559	0.035599	0.081167	0.088869	0.054797	0.074348	0.18069	0.194864	0.617876	0.177185	0.173177	0.570848	0.679223	0.942273	0.167197	0.0	0.046095	0.28439	0.124531	0.367899	0.271486	0.210705	0.145289	0.871975	0.315843	0.308418	0.25255	1.0	0.280788	0.107561	0.09467	0.090091
EHD4	0.041742	0.0	0.004407	0.117309	0.006286	1.0	0.919136	0.504349	0.476463	0.323148	0.194579	0.021479	0.100539	0.063922	0.02718	0.171366	0.274678	0.173374	0.030188	0.239501	0.202161	0.060833	0.066314	0.075315	0.11887	0.043258	0.028301	0.077745	0.110704	0.0987	0.124748	0.011214	0.061046	0.015593
